a	a	art_def
aaron	aaron	nom
aarao	aarao	nom
aba	aba	nom
abacate	abacate	nom
abacateiro	abacateiro	nom
abacateiros	abacateiro	nom
abacates	abacate	nom
abacaxi	abacaxi	nom
abacaxis	abacaxi	nom
abacaxizeiro	abacaxizeiro	nom
abaciais	abacial	adj
abacial	abacial	adj
abaca	abaca	nom
abada	abada	nom
abadai	abadar	ver
abadam	abadar	ver
abadarao	abadar	ver
abadas	abada	nom
abade	abade	nom
abadenga	abadengo	adj
abadengas	abadengo	adj
abadengo	abadengo	adj
abadengos	abadengo	adj
abades	abade	nom
abadessa	abadessar	ver
abadessas	abade	nom
abadesses	abadessar	ver
abadia	abadia	nom
abadias	abadia	nom
abadie	abadiar	ver
abadiense	abadiense	adj
abadienses	abadiense	adj
abadio	abadiar	ver
abadiania	abadiania	nom
abado	abadar	ver
abados	abar	ver
abadou	abadar	ver
abaete	abaetar	ver
abaeteense	abaeteense	adj
abaeteenses	abaeteense	adj
abaetetubense	abaetetubense	adj
abaetetubenses	abaetetubense	adj
abaete	abaete	nom
abafa	abafar	ver
abafada	abafado	adj
abafadas	abafado	adj
abafado	abafado	adj
abafador	abafador	nom
abafadores	abafador	nom
abafados	abafado	adj
abafam	abafar	ver
abafamento	abafamento	nom
abafando	abafar	ver
abafar	abafar	ver
abafaram	abafar	ver
abafava	abafar	ver
abafe	abafar	ver
abafo	abafo	nom
abafou	abafar	ver
abaguncado	abaguncar	ver
abai	abar	ver
abairramento	abairramento	nom
abais	abar	ver
abaixa	abaixar	ver
abaixada	abaixado	adj
abaixadas	abaixado	adj
abaixado	abaixado	adj
abaixador	abaixador	adj
abaixadora	abaixador	adj
abaixadoras	abaixador	adj
abaixadores	abaixador	adj
abaixados	abaixado	adj
abaixam	abaixar	ver
abaixamento	abaixamento	nom
abaixamentos	abaixamento	nom
abaixando	abaixar	ver
abaixar	abaixar	ver
abaixaram	abaixar	ver
abaixarem	abaixar	ver
abaixaria	abaixar	ver
abaixariam	abaixar	ver
abaixassem	abaixar	ver
abaixava	abaixar	ver
abaixavam	abaixar	ver
abaixe	abaixar	ver
abaixei	abaixar	ver
abaixem	abaixar	ver
abaixo	abaixo	adv
abaixou	abaixar	ver
abajur	abajur	nom
abajures	abajur	nom
abala	abalar	ver
abalada	abalado	adj
abaladas	abalado	adj
abalado	abalado	adj
abalados	abalado	adj
abalai	abalar	ver
abalam	abalar	ver
abalamento	abalamento	nom
abalando	abalar	ver
abalanca	balancar	ver
abalar	abalar	ver
abalara	abalar	ver
abalaram	abalar	ver
abalaria	abalar	ver
abalariam	abalar	ver
abalara	abalar	ver
abalassem	abalar	ver
abalava	abalar	ver
abalavam	abalar	ver
abale	abalar	ver
abalei	abalar	ver
abalem	abalar	ver
abalizada	abalizado	adj
abalizadas	abalizado	adj
abalizado	abalizado	adj
abalizados	abalizado	adj
abalizar	abalizar	ver
abalo	abalo	nom
abalofar	abalofar	ver
abalone	abalonar	ver
abalones	abalonar	ver
abalos	abalo	nom
abalou	abalar	ver
abalroa	abalroar	ver
abalroada	abalroar	ver
abalroadas	abalroar	ver
abalroado	abalroar	ver
abalroamento	abalroamento	nom
abalroamentos	abalroamento	nom
abalroar	abalroar	ver
abalroaram	abalroar	ver
abalroou	abalroar	ver
abaluartada	abaluartar	ver
abaluartadas	abaluartar	ver
abaluartado	abaluartar	ver
abaluartados	abaluartar	ver
abam	abar	ver
abana	abanar	ver
abanadas	abanar	ver
abanadela	abanadela	nom
abanador	abanador	nom
abanadores	abanador	adj
abanam	abanar	ver
abanando	abanar	ver
abanar	abanar	ver
abanava	abanar	ver
abancado	abancar	ver
abanda	abandar	ver
abandalhar	abandalhar	ver
abandando	abandar	ver
abandeirado	abandeirar	ver
abando	abandar	ver
abandoa	abandoar	ver
abandoado	abandoar	ver
abandona	abandonar	ver
abandonada	abandonado	adj
abandonadas	abandonado	adj
abandonado	abandonado	adj
abandonados	abandonado	adj
abandonai	abandonar	ver
abandonam	abandonar	ver
abandonamos	abandonar	ver
abandonando	abandonar	ver
abandonar	abandonar	ver
abandonara	abandonar	ver
abandonaram	abandonar	ver
abandonarei	abandonar	ver
abandonarem	abandonar	ver
abandonares	abandonar	ver
abandonaria	abandonar	ver
abandonariam	abandonar	ver
abandonarmos	abandonar	ver
abandonara	abandonar	ver
abandonarao	abandonar	ver
abandonariamos	abandonar	ver
abandonas	abandonar	ver
abandonasse	abandonar	ver
abandonassem	abandonar	ver
abandonaste	abandonar	ver
abandonava	abandonar	ver
abandonavam	abandonar	ver
abandone	abandonar	ver
abandonei	abandonar	ver
abandonem	abandonar	ver
abandonemos	abandonar	ver
abandones	abandonar	ver
abandono	abandono	nom
abandonos	abandono	nom
abandonou	abandonar	ver
abandoou	abandoar	ver
abandou	abandar	ver
abane	abanar	ver
abanes	abanar	ver
abanico	abanicar	ver
abano	abano	nom
abanos	abano	nom
abanou	abanar	ver
abanao	abanao	nom
abar	abar	ver
abara	abar	ver
abaram	abar	ver
abarata	abaratar	ver
abarca	abarcar	ver
abarcada	abarcado	adj
abarcadas	abarcado	adj
abarcado	abarcar	ver
abarcados	abarcar	ver
abarcam	abarcar	ver
abarcando	abarcar	ver
abarcante	abarcante	adj
abarcar	abarcar	ver
abarcaram	abarcar	ver
abarcarem	abarcar	ver
abarcaria	abarcar	ver
abarcara	abarcar	ver
abarcas	abarcar	ver
abarcasse	abarcar	ver
abarcava	abarcar	ver
abarcavam	abarcar	ver
abarcou	abarcar	ver
abares	abar	ver
abarque	abarcar	ver
abarquem	abarcar	ver
abarraca	abarracar	ver
abarracados	abarracado	adj
abarracamento	abarracamento	nom
abarrancado	abarrancar	ver
abarrota	abarrotar	ver
abarrotada	abarrotado	adj
abarrotadas	abarrotar	ver
abarrotado	abarrotado	adj
abarrotados	abarrotar	ver
abarrotam	abarrotar	ver
abarrotando	abarrotar	ver
abarrotar	abarrotar	ver
abarrotaram	abarrotar	ver
abarrotavam	abarrotar	ver
abarrotou	abarrotar	ver
abara	abar	ver
abas	aba	nom
abasse	abar	ver
abastada	abastado	adj
abastadas	abastado	adj
abastado	abastado	adj
abastados	abastado	adj
abastanca	abastanca	nom
abastar	abastar	ver
abastarda	abastardar	ver
abastardamento	abastardamento	nom
abaste	abar	ver
abastece	abastecer	ver
abastecedor	abastecedor	adj
abastecedora	abastecedor	adj
abastecedoras	abastecedor	adj
abastecedores	abastecedor	adj
abastecem	abastecer	ver
abastecendo	abastecer	ver
abastecer	abastecer	ver
abastecera	abastecer	ver
abasteceram	abastecer	ver
abastecerem	abastecer	ver
abasteceria	abastecer	ver
abasteceriam	abastecer	ver
abastecera	abastecer	ver
abastecesse	abastecer	ver
abastecessem	abastecer	ver
abasteceu	abastecer	ver
abastecia	abastecer	ver
abasteciam	abastecer	ver
abastecida	abastecer	ver
abastecidas	abastecer	ver
abastecido	abastecer	ver
abastecidos	abastecer	ver
abastecimento	abastecimento	nom
abastecimentos	abastecimento	nom
abasteca	abastecer	ver
abastecam	abastecer	ver
abasto	abastar	ver
abata	abater	ver
abatam	abater	ver
abate	abate	nom
abatedor	abatedor	nom
abatedouro	abatedouro	nom
abatedouros	abatedouro	nom
abatem	abater	ver
abatendo	abater	ver
abater	abater	ver
abatera	abater	ver
abateram	abater	ver
abaterem	abater	ver
abateria	abater	ver
abatera	abater	ver
abates	abate	nom
abatesse	abater	ver
abatessem	abater	ver
abateu	abater	ver
abati	abater	ver
abatia	abater	ver
abatiam	abater	ver
abatida	abatido	adj
abatidas	abatido	adj
abatido	abatido	adj
abatidos	abatido	adj
abatimento	abatimento	nom
abatimentos	abatimento	nom
abatis	abati	nom
abato	abater	ver
abaulada	abaulado	adj
abauladas	abaulado	adj
abaulado	abaulado	adj
abaulados	abaulado	adj
abaulamento	abaulamento	nom
abaulamentos	abaulamento	nom
abaunilhado	abaunilhar	ver
abaxiais	abaxial	adj
abaxial	abaxial	adj
abbud	abbud	nom
abc	abc	nom
abcesso	abcesso	nom
abcessos	abcesso	nom
abcissa	abcissa	nom
abcissas	abcissa	nom
abdala	abdala	nom
abdalla	abdalla	nom
abdias	abdias	nom
abdica	abdicar	ver
abdicada	abdicar	ver
abdicado	abdicar	ver
abdicam	abdicar	ver
abdicando	abdicar	ver
abdicar	abdicar	ver
abdicara	abdicar	ver
abdicaram	abdicar	ver
abdicarei	abdicar	ver
abdicarem	abdicar	ver
abdicaria	abdicar	ver
abdicasse	abdicar	ver
abdicassem	abdicar	ver
abdicava	abdicar	ver
abdicavam	abdicar	ver
abdicacao	abdicacao	nom
abdicacoes	abdicacao	nom
abdico	abdicar	ver
abdicou	abdicar	ver
abdiel	abdiel	nom
abdique	abdicar	ver
abdiquei	abdicar	ver
abdome	abdome	nom
abdominais	abdominal	nom
abdominal	abdominal	adj
abdominoscopia	abdominoscopia	nom
abducente	abducente	adj
abdus	abdus	nom
abdutor	abdutor	adj
abdutora	abdutor	adj
abduz	abduzir	ver
abduzem	abduzir	ver
abduzida	abduzir	ver
abduzidas	abduzir	ver
abduzido	abduzir	ver
abduzidos	abduzir	ver
abduzindo	abduzir	ver
abduzir	abduzir	ver
abduziram	abduzir	ver
abduziu	abduzir	ver
abducao	abducao	nom
abducoes	abducao	nom
abdomen	abdomen	nom
abdomen	abdomen	nom
abe	abar	ver
abeca	abecar	ver
abeceda	abecedar	ver
abecedario	abecedario	nom
abegao	abegao	nom
abei	abar	ver
abeira	abeirar	ver
abeiro	abeirar	ver
abel	abel	nom
abelardo	abelardo	nom
abelha	abelha	nom
abelharuco	abelharuco	nom
abelharucos	abelharuco	nom
abelhas	abelha	nom
abelheira	abelheiro	nom
abelheiro	abelheiro	nom
abelheiros	abelheiro	nom
abelhinha	abelha	nom
abelhinhas	abelha	nom
abelho	abelhar	ver
abelhuda	abelhudo	adj
abelhudo	abelhudo	adj
abelhudos	abelhudo	nom
abelhao	abelhao	nom
abelson	abelson	nom
abem	abar	ver
abemolada	abemolar	ver
abencoa	abencoar	ver
abencoada	abencoado	adj
abencoadas	abencoado	adj
abencoado	abencoado	adj
abencoador	abencoador	nom
abencoadora	abencoador	adj
abencoados	abencoar	ver
abencoai	abencoar	ver
abencoam	abencoar	ver
abencoamos	abencoar	ver
abencoando	abencoar	ver
abencoar	abencoar	ver
abencoaram	abencoar	ver
abencoarei	abencoar	ver
abencoarem	abencoar	ver
abencoares	abencoar	ver
abencoaria	abencoar	ver
abencoara	abencoar	ver
abencoasse	abencoar	ver
abencoava	abencoar	ver
abencoe	abencoar	ver
abencoem	abencoar	ver
abencoes	abencoar	ver
abencoou	abencoar	ver
abencoo	abencoar	ver
aberrante	aberrante	adj
aberrantes	aberrante	adj
aberracao	aberracao	nom
aberracoes	aberracao	nom
aberta	aberto	adj
abertamente	abertamente	adv
abertas	aberto	adj
aberto	aberto	adj
abertos	aberto	adj
abertura	abertura	nom
aberturas	abertura	nom
abes	abar	ver
abestalhado	abestalhar	ver
abestia	abestiar	ver
abeta	abeta	nom
abetas	abeta	nom
abete	abete	nom
abeto	abeto	nom
abetos	abeto	nom
abi	abi	nom
abicada	abicar	ver
abieiro	abieiro	nom
abiel	abiel	nom
abigail	abigail	nom
abimael	abimael	nom
abio	abio	nom
abiogenese	abiogenese	nom
abis	abi	nom
abismada	abismado	adj
abismado	abismar	ver
abismados	abismar	ver
abismais	abismal	adj
abismal	abismal	adj
abismo	abismo	nom
abismos	abismo	nom
abismou	abismar	ver
abissais	abissal	adj
abissal	abissal	adj
abisso	abisso	nom
abissinia	abissinio	nom
abissinio	abissinio	adj
abissinios	abissinio	adj
abita	abita	nom
abitada	abitar	ver
abitado	abitar	ver
abito	abitar	ver
abiu	abiu	nom
abiotica	abiotico	adj
abioticas	abiotico	adj
abiotico	abiotico	adj
abioticos	abiotico	adj
abjecta	abjecto	adj
abjectas	abjecto	adj
abjecto	abjecto	adj
abjectos	abjecto	adj
abjeta	abjeto	adj
abjetamente	abjetamente	adv
abjetas	abjeto	adj
abjeto	abjeto	adj
abjetos	abjeto	adj
abjecao	abjecao	nom
abjudicada	abjudicar	ver
abjudicado	abjudicar	ver
abjura	abjurar	ver
abjurado	abjurar	ver
abjurando	abjurar	ver
abjurar	abjurar	ver
abjuraram	abjurar	ver
abjurarem	abjurar	ver
abjurasse	abjurar	ver
abjuracao	abjuracao	nom
abjuracoes	abjuracao	nom
abjure	abjurar	ver
abjurou	abjurar	ver
ablaut	ablaut	nom
ablacao	ablacao	nom
ablacoes	ablacao	nom
ablegado	ablegar	ver
abluir	abluir	ver
ablucao	ablucao	nom
ablucoes	ablucao	nom
abnegada	abnegado	adj
abnegadas	abnegado	adj
abnegado	abnegado	adj
abnegados	abnegado	adj
abnegacao	abnegacao	nom
abner	abner	nom
abnormal	abnormal	adj
abnormalidades	abnormalidade	nom
abo	abar	ver
aboa	aboar	ver
aboba	abobar	ver
abobada	abobado	adj
abobadada	abobadado	adj
abobadadas	abobadado	adj
abobadado	abobadado	adj
abobadados	abobadado	adj
abobadas	abobado	adj
abobado	abobado	adj
abobados	abobado	adj
abobalhada	abobalhado	adj
abobalhado	abobalhado	adj
abobalhados	abobalhado	adj
abobe	abobar	ver
abobo	abobar	ver
abobora	aboborar	ver
aboborado	aboborar	ver
aboboras	aboborar	ver
aboboreira	aboboreira	nom
abobra	abobra	nom
abobreira	abobreira	nom
abobreiras	abobreira	nom
abobrinha	abobra	nom
abobrinhas	abobra	nom
aboca	abocar	ver
abocada	abocar	ver
abocadas	abocar	ver
abocado	abocar	ver
abocanha	abocanhar	ver
abocanhada	abocanhar	ver
abocanhado	abocanhar	ver
abocanham	abocanhar	ver
abocanhamento	abocanhamento	nom
abocanhando	abocanhar	ver
abocanhar	abocanhar	ver
abocanhava	abocanhar	ver
abocanhe	abocanhar	ver
abocanhou	abocanhar	ver
aboe	aboar	ver
aboiando	aboiar	ver
aboio	aboio	nom
aboios	aboio	nom
abola	abolar	ver
abole	abolir	ver
abolem	abolar	ver
aboli	abolir	ver
abolia	abolir	ver
aboliam	abolir	ver
abolicionismo	abolicionismo	nom
abolicionista	abolicionista	adj
abolicionistas	abolicionista	nom
abolida	abolir	ver
abolidas	abolir	ver
abolido	abolir	ver
abolidos	abolir	ver
abolimos	abolir	ver
abolindo	abolir	ver
abolir	abolir	ver
abolira	abolir	ver
aboliram	abolir	ver
abolirei	abolir	ver
abolirem	abolir	ver
aboliria	abolir	ver
abolirmos	abolir	ver
abolira	abolir	ver
abolirao	abolir	ver
abolisse	abolir	ver
abolissem	abolir	ver
aboliu	abolir	ver
abolicao	abolicao	nom
abomba	abombar	ver
abomina	abominar	ver
abominada	abominar	ver
abominado	abominar	ver
abominados	abominar	ver
abominam	abominar	ver
abominamos	abominar	ver
abominando	abominar	ver
abominar	abominar	ver
abominarem	abominar	ver
abominava	abominar	ver
abominavam	abominar	ver
abominacao	abominacao	nom
abominacoes	abominacao	nom
abomine	abominar	ver
abominei	abominar	ver
abomino	abominar	ver
abominou	abominar	ver
abominaveis	abominavel	adj
abominavel	abominavel	adj
abona	abonar	ver
abonada	abonado	adj
abonadas	abonado	adj
abonado	abonar	ver
abonador	abonador	adj
abonadora	abonador	adj
abonados	abonado	adj
abonam	abonar	ver
abonar	abonar	ver
abonatoria	abonatorio	adj
abonatorias	abonatorio	adj
abonacoes	abonacao	nom
abondo	abondar	ver
abone	abonar	ver
abonem	abonar	ver
abono	abono	nom
abonos	abono	nom
abonou	abonar	ver
aboral	aboral	adj
aborda	abordar	ver
abordada	abordar	ver
abordadas	abordar	ver
abordado	abordar	ver
abordados	abordar	ver
abordagem	abordagem	nom
abordagens	abordagem	nom
abordam	abordar	ver
abordamos	abordar	ver
abordando	abordar	ver
abordar	abordar	ver
abordara	abordar	ver
abordaram	abordar	ver
abordarei	abordar	ver
abordarem	abordar	ver
abordaremos	abordar	ver
abordaria	abordar	ver
abordariam	abordar	ver
abordarmos	abordar	ver
abordara	abordar	ver
abordasse	abordar	ver
abordassem	abordar	ver
abordava	abordar	ver
abordavam	abordar	ver
aborde	abordar	ver
abordei	abordar	ver
abordem	abordar	ver
abordo	abordar	ver
abordou	abordar	ver
abordavel	abordavel	adj
aborrece	aborrecer	ver
aborrecem	aborrecer	ver
aborrecemos	aborrecer	ver
aborrecendo	aborrecer	ver
aborrecer	aborrecer	ver
aborreceram	aborrecer	ver
aborrecesse	aborrecer	ver
aborreceu	aborrecer	ver
aborreci	aborrecer	ver
aborrecia	aborrecer	ver
aborreciam	aborrecer	ver
aborrecida	aborrecido	adj
aborrecidas	aborrecido	adj
aborrecido	aborrecido	adj
aborrecidos	aborrecido	adj
aborrecimento	aborrecimento	nom
aborrecimentos	aborrecimento	nom
aborrecivel	aborrecivel	adj
aborregada	aborregar	ver
aborreca	aborrecer	ver
aborreco	aborrecer	ver
aborta	abortar	ver
abortada	abortado	adj
abortadas	abortar	ver
abortado	abortar	ver
abortados	abortado	adj
abortam	abortar	ver
abortamento	abortamento	nom
abortamentos	abortamento	nom
abortando	abortar	ver
abortar	abortar	ver
abortaram	abortar	ver
abortarem	abortar	ver
abortasse	abortar	ver
aborte	abortar	ver
abortiva	abortivo	adj
abortivas	abortivo	adj
abortivo	abortivo	adj
abortivos	abortivo	adj
aborto	aborto	nom
abortos	aborto	nom
abortou	abortar	ver
aborigene	aborigene	nom
aborigenes	aborigene	adj
aborigine	aborigine	adj
aborigines	aborigine	adj
abotoa	abotoar	ver
abotoada	abotoado	adj
abotoado	abotoado	adj
abotoadura	abotoadura	nom
abotoaduras	abotoadura	nom
abotoamento	abotoamento	nom
abotoar	abotoar	ver
abou	abar	ver
abra	abrir	ver
abraca	abracar	ver
abracadabra	abracadabra	nom
abracar	abracar	ver
abrace	abracar	ver
abracei	abracar	ver
abracem	abracar	ver
abraces	abracar	ver
abraco	abracar	ver
abraham	abraham	nom
abram	abrir	ver
abramos	abrir	ver
abranda	abrandar	ver
abrandada	abrandado	adj
abrandadas	abrandado	adj
abrandado	abrandado	ver
abrandados	abrandado	adj
abrandam	abrandar	ver
abrandamento	abrandamento	nom
abrandando	abrandar	ver
abrandar	abrandar	ver
abrandaram	abrandar	ver
abrandaria	abrandar	ver
abrandasse	abrandar	ver
abrandava	abrandar	ver
abrandem	abrandar	ver
abrandou	abrandar	ver
abrange	abranger	ver
abrangem	abranger	ver
abrangendo	abranger	ver
abrangente	abrangente	adj
abrangentes	abrangente	adj
abranger	abranger	ver
abrangeram	abranger	ver
abrangerem	abranger	ver
abrangeria	abranger	ver
abrangeriam	abranger	ver
abrangera	abranger	ver
abrangesse	abranger	ver
abrangessem	abranger	ver
abrangeu	abranger	ver
abrangia	abranger	ver
abrangiam	abranger	ver
abrangida	abrangido	adj
abrangidas	abrangido	adj
abrangido	abranger	ver
abrangidos	abrangido	adj
abrangencia	abrangencia	nom
abrangencias	abrangencia	nom
abranja	abranger	ver
abranjam	abranger	ver
abrantes	abrantes	nom
abras	abrir	ver
abrasa	abrasar	ver
abrasada	abrasado	adj
abrasado	abrasar	ver
abrasador	abrasador	adj
abrasadora	abrasador	adj
abrasadoras	abrasador	adj
abrasados	abrasar	ver
abrasante	abrasante	adj
abrasar	abrasar	ver
abrasaram	abrasar	ver
abrasem	abrasar	ver
abrasileira	abrasileirar	ver
abrasileirada	abrasileirar	ver
abrasileiradas	abrasileirar	ver
abrasileirado	abrasileirar	ver
abrasileiramento	abrasileiramento	nom
abrasileirando	abrasileirar	ver
abrasileirar	abrasileirar	ver
abrasileiraram	abrasileirar	ver
abrasiva	abrasivo	adj
abrasivas	abrasivo	adj
abrasividade	abrasividade	nom
abrasivo	abrasivo	adj
abrasivos	abrasivo	nom
abrasao	abrasao	nom
abrasoes	abrasao	nom
abraao	abraao	nom
abraca	abracar	ver
abracada	abracar	ver
abracadas	abracar	ver
abracadeira	abracadeira	nom
abracadeiras	abracadeira	nom
abracado	abracar	ver
abracados	abracado	adj
abracam	abracar	ver
abracamos	abracar	ver
abracando	abracar	ver
abracar	abracar	ver
abracara	abracar	ver
abracaram	abracar	ver
abracarem	abracar	ver
abracaria	abracar	ver
abracara	abracar	ver
abracarao	abracar	ver
abracasse	abracar	ver
abracassem	abracar	ver
abracava	abracar	ver
abracavam	abracar	ver
abraco	abraco	nom
abracos	abraco	nom
abracou	abracar	ver
abre	abrir	ver
abrem	abrir	ver
abres	abrir	ver
abreu	abreu	nom
abreugrafia	abreugrafia	nom
abrevia	abreviar	ver
abreviada	abreviar	ver
abreviadamente	abreviadamente	adv
abreviadas	abreviar	ver
abreviado	abreviar	ver
abreviados	abreviar	ver
abreviam	abreviar	ver
abreviando	abreviar	ver
abreviar	abreviar	ver
abreviaram	abreviar	ver
abreviaria	abreviar	ver
abreviassem	abreviar	ver
abreviatura	abreviatura	nom
abreviaturas	abreviatura	nom
abreviava	abreviar	ver
abreviacao	abreviacao	nom
abreviacoes	abreviacao	nom
abrevie	abreviar	ver
abreviou	abreviar	ver
abri	abrir	ver
abria	abrir	ver
abriam	abrir	ver
abrico	abrico	nom
abridor	abridor	nom
abridores	abridor	nom
abriga	abrigar	ver
abrigada	abrigado	adj
abrigadas	abrigado	adj
abrigado	abrigar	ver
abrigados	abrigado	adj
abrigam	abrigar	ver
abrigamos	abrigar	ver
abrigando	abrigar	ver
abrigar	abrigar	ver
abrigara	abrigar	ver
abrigaram	abrigar	ver
abrigarem	abrigar	ver
abrigaria	abrigar	ver
abrigariam	abrigar	ver
abrigara	abrigar	ver
abrigarao	abrigar	ver
abrigas	abrigar	ver
abrigasse	abrigar	ver
abrigassem	abrigar	ver
abrigava	abrigar	ver
abrigavam	abrigar	ver
abrigo	abrigo	nom
abrigos	abrigo	nom
abrigou	abrigar	ver
abrigue	abrigar	ver
abriguem	abrigar	ver
abril	abril	nom
abrilada	abrilada	nom
abrilhanta	abrilhantar	ver
abrilhantada	abrilhantar	ver
abrilhantado	abrilhantar	ver
abrilhantados	abrilhantado	adj
abrilhantam	abrilhantar	ver
abrilhantamento	abrilhantamento	nom
abrilhantando	abrilhantar	ver
abrilhantar	abrilhantar	ver
abrilhantaram	abrilhantar	ver
abrilhantara	abrilhantar	ver
abrilhantava	abrilhantar	ver
abrilhantavam	abrilhantar	ver
abrilhantou	abrilhantar	ver
abrimos	abrir	ver
abrindo	abrir	ver
abrir	abrir	ver
abrira	abrir	ver
abriram	abrir	ver
abrirei	abrir	ver
abrirem	abrir	ver
abriremos	abrir	ver
abrires	abrir	ver
abriria	abrir	ver
abririam	abrir	ver
abrirmos	abrir	ver
abrira	abrir	ver
abrirao	abrir	ver
abris	abrir	ver
abrisse	abrir	ver
abrissem	abrir	ver
abrisses	abrir	ver
abriste	abrir	ver
abriu	abrir	ver
abro	abrir	ver
abrogado	abrogar	ver
abrolhamento	abrolhamento	nom
abrolho	abrolho	nom
abrolhos	abrolho	nom
abronzo	abronzar	ver
abrota	abrotar	ver
abrupta	abrupto	adj
abruptamente	abruptamente	adv
abruptas	abrupto	adj
abrupto	abrupto	adj
abruptos	abrupto	adj
abrupcao	abrupcao	nom
abrutalhado	abrutalhar	ver
abrao	abrao	nom
abrissemos	abrir	ver
absalao	absalao	nom
abscesso	abscesso	nom
abscessos	abscesso	nom
abscissa	abscissa	nom
abscissas	abscissa	nom
abscisao	abscisao	nom
absenta	absentar	ver
absente	absentar	ver
absentes	absentar	ver
absenteismo	absenteismo	nom
absentismo	absentismo	nom
absidais	absidal	adj
absidal	absidal	adj
abside	abside	nom
absides	abside	nom
absidiola	absidiola	nom
absidiolas	absidiola	nom
absinto	absinto	nom
absolto	absolver	ver
absoltos	absolver	ver
absoluta	absoluto	adj
absolutamente	absolutamente	adv
absolutas	absoluto	adj
absolutismo	absolutismo	nom
absolutista	absolutista	adj
absolutistas	absolutista	adj
absoluto	absoluto	adj
absolutos	absoluto	adj
absolutoria	absolutorio	adj
absolutorias	absolutorio	adj
absolutorio	absolutorio	adj
absolutorios	absolutorio	adj
absolve	absolver	ver
absolvem	absolver	ver
absolvendo	absolver	ver
absolvente	absolvente	adj
absolver	absolver	ver
absolvera	absolver	ver
absolveram	absolver	ver
absolvera	absolver	ver
absolvessem	absolver	ver
absolveu	absolver	ver
absolvia	absolver	ver
absolvida	absolver	ver
absolvidas	absolvido	adj
absolvido	absolver	ver
absolvidos	absolvido	adj
absolvicao	absolvicao	nom
absolvicoes	absolvicao	nom
absolvo	absolver	ver
absolve	absolver	ver
absorbancia	absorbancia	nom
absorsor	absorsor	nom
absorta	absorto	adj
absortas	absorto	adj
absorto	absorto	adj
absortos	absorto	adj
absorva	absorver	ver
absorvam	absorver	ver
absorve	absorver	ver
absorvedor	absorvedor	adj
absorvedora	absorvedor	adj
absorvedoras	absorvedor	adj
absorvedores	absorvedor	adj
absorvem	absorver	ver
absorvemos	absorver	ver
absorvendo	absorver	ver
absorvente	absorvente	adj
absorventes	absorvente	nom
absorver	absorver	ver
absorvera	absorver	ver
absorveram	absorver	ver
absorverem	absorver	ver
absorveria	absorver	ver
absorveriam	absorver	ver
absorvera	absorver	ver
absorverao	absorver	ver
absorvesse	absorver	ver
absorvessem	absorver	ver
absorveu	absorver	ver
absorvi	absorver	ver
absorvia	absorver	ver
absorviam	absorver	ver
absorvida	absorver	ver
absorvidas	absorver	ver
absorvido	absorver	ver
absorvidos	absorver	ver
absorvo	absorver	ver
absorvencia	absorvencia	nom
absorviveis	absorvivel	adj
absorvivel	absorvivel	adj
absorcao	absorcao	nom
absorcoes	absorcao	nom
abstemos	abster	ver
abstencionismo	abstencionismo	nom
abstencionistas	abstencionista	nom
abstendo	abster	ver
abstenha	abster	ver
abstenhais	abster	ver
abstenham	abster	ver
abstenho	abster	ver
abstencao	abstencao	nom
abstencoes	abstencao	nom
abster	abster	ver
absterei	abster	ver
absterem	abster	ver
absteria	abster	ver
absteve	abster	ver
abstido	abster	ver
abstinente	abstinente	nom
abstinentes	abstinente	adj
abstinha	abster	ver
abstinham	abster	ver
abstinencia	abstinencia	nom
abstinencias	abstinencia	nom
abstive	abster	ver
abstiver	abster	ver
abstivera	abster	ver
abstiveram	abster	ver
abstivesse	abster	ver
abstivessem	abster	ver
abstracionismo	abstracionismo	nom
abstracionista	abstracionista	adj
abstracionistas	abstracionista	adj
abstract	abstract	nom
abstracta	abstracto	adj
abstractas	abstracto	adj
abstracto	abstracto	adj
abstractos	abstracto	adj
abstracts	abstract	nom
abstraccao	abstraccao	nom
abstraccoes	abstraccao	nom
abstraem	abstrair	ver
abstrai	abstrair	ver
abstraia	abstrair	ver
abstraindo	abstrair	ver
abstraio	abstrair	ver
abstrair	abstrair	ver
abstraiu	abstrair	ver
abstrata	abstrato	adj
abstratamente	abstratamente	adv
abstratas	abstrato	adj
abstrativa	abstrativo	adj
abstrato	abstrato	adj
abstratos	abstrato	adj
abstracao	abstracao	nom
abstracoes	abstracao	nom
abstraida	abstraido	adj
abstraidas	abstraido	adj
abstraido	abstraido	adj
abstraidos	abstraido	adj
abstrusa	abstruso	adj
abstrusas	abstruso	adj
abstruso	abstruso	adj
abstrusos	abstruso	adj
abstem	abster	ver
abstem	abster	ver
abstemio	abstemio	adj
abstemios	abstemio	adj
absurda	absurdo	adj
absurdamente	absurdamente	adv
absurdas	absurdo	adj
absurdez	absurdez	nom
absurdidade	absurdidade	nom
absurdidades	absurdidade	nom
absurdo	absurdo	adj
absurdos	absurdo	adj
abula	abolir	ver
abulia	abulia	nom
abunda	abundar	ver
abundam	abundar	ver
abundancia	abundanciar	ver
abundando	abundar	ver
abundante	abundante	adj
abundantemente	abundantemente	adv
abundantes	abundante	adj
abundar	abundar	ver
abundaram	abundar	ver
abundarem	abundar	ver
abundaria	abundar	ver
abundarao	abundar	ver
abundas	abundar	ver
abundassem	abundar	ver
abundava	abundar	ver
abundavam	abundar	ver
abunde	abundar	ver
