"","term","estimate","std.error","statistic","p.value"
"1","resultadoPrejudicado",0.0974485297523161,1.38772479141879,0.0702217978340548,0.944017124986942
"2","resultadoProcedente",-0.475436261153413,1.3176835445012,-0.360812171585087,0.718239863274398
"3","`resultadoProcedente em parte`",-0.420340553919088,1.50874554737591,-0.278602680650934,0.780549755273402
"4","`resultadoSem mérito`",3.54232009350118,1.20919782435935,2.92947938057856,0.00339530338774013
"5","tt(resultadoPrejudicado)",0.11014095087008,0.21303663606057,0.517004741094229,0.605152849212036
"6","tt(resultadoProcedente)",0.119894877465016,0.197691288523325,0.606475269398982,0.544199199662479
"7","tt(`resultadoProcedente em parte`)",0.0830472492423446,0.225333878235899,0.368551990018135,0.712461686463332
"8","tt(`resultadoSem mérito`)",-0.440338220669758,0.183101972930893,-2.40487971604736,0.0161777896303901
