"","numero","data_autuacao","data_baixa","tem_rito_art_12","em_tramitacao","resultado"
"95",413,2016-06-16,2018-08-14,"Não","Não","Procedente"
"96",414,2016-07-08,2017-03-30,"Não","Não","Sem mérito"
"97",415,2016-07-14,2018-10-01,"Não","Não","Sem mérito"
"98",416,2016-07-19,2017-11-24,"Não","Não","Prejudicado"
"99",417,2016-07-27,2017-08-22,"Não","Não","Sem mérito"
"100",418,2016-07-27,2020-05-15,"Não","Não","Improcedente"
"101",419,2016-08-05,2021-09-01,"Não","Não","Improcedente"
"102",420,2016-08-05,NA,"Não","Sim","Sem julgamento"
"103",421,2016-08-24,2017-06-16,"Não","Não","Sem mérito"
"104",422,2016-09-13,NA,"Não","Sim","Sem julgamento"
"105",423,2016-10-04,2020-07-09,"Sim","Não","Sem mérito"
"106",424,2016-10-26,NA,"Não","Sim","Sem julgamento"
"107",425,2016-10-31,2018-11-16,"Não","Não","Prejudicado"
"108",426,2016-11-03,2021-11-26,"Não","Não","Sem mérito"
"109",427,2016-11-04,2022-12-01,"Não","Não","Sem mérito"
"110",428,2016-11-07,2017-05-26,"Não","Não","Sem mérito"
"111",429,2016-11-09,NA,"Não","Sim","Sem julgamento"
"112",430,2016-11-11,2023-05-19,"Não","Não","Sem mérito"
"113",431,2016-11-11,2017-03-21,"Não","Não","Sem mérito"
"114",432,2016-11-11,2017-02-13,"Não","Não","Sem mérito"
"115",433,2016-11-17,NA,"Não","Sim","Sem julgamento"
"116",434,2016-11-18,NA,"Não","Sim","Sem julgamento"
"117",435,2016-11-23,2018-10-02,"Não","Não","Sem mérito"
"118",436,2016-11-30,2017-02-24,"Não","Não","Sem mérito"
"119",437,2016-12-20,2020-10-26,"Não","Não","Procedente"
"120",438,2016-12-20,2020-02-07,"Não","Não","Sem mérito"
"121",439,2017-01-02,2017-06-13,"Não","Não","Sem mérito"
"122",440,2017-02-15,2020-02-10,"Não","Não","Sem mérito"
"123",441,2017-02-24,2017-08-25,"Não","Não","Sem mérito"
"124",442,2017-03-08,NA,"Não","Sim","Sem julgamento"
"125",443,2017-03-14,2020-05-19,"Não","Não","Sem mérito"
"126",444,2017-03-14,2020-06-18,"Sim","Não","Procedente"
"127",445,2017-03-22,NA,"Não","Sim","Sem julgamento"
"128",446,2017-03-22,2019-11-06,"Não","Não","Procedente em parte"
"129",447,2017-03-29,2017-08-23,"Não","Não","Sem mérito"
"130",448,2017-04-05,2020-12-15,"Não","Não","Sem mérito"
"131",449,2017-04-07,2019-11-04,"Não","Não","Procedente"
"132",450,2017-04-18,2019-10-08,"Sim","Não","Sem mérito"
"133",451,2017-04-27,2019-02-21,"Não","Não","Sem mérito"
"134",452,2017-05-03,2020-05-27,"Não","Não","Procedente em parte"
"135",453,2017-05-04,2019-12-13,"Não","Não","Sem mérito"
"136",454,2017-05-08,NA,"Não","Sim","Sem julgamento"
"137",455,2017-05-11,2023-08-14,"Sim","Não","Sem mérito"
"138",456,2017-05-16,2017-08-31,"Não","Não","Sem mérito"
"139",457,2017-05-22,2020-06-16,"Não","Não","Procedente"
"140",458,2017-05-23,2019-11-22,"Não","Não","Sem mérito"
"141",459,2017-05-25,2017-08-03,"Não","Não","Prejudicado"
"142",460,2017-06-06,2020-09-11,"Não","Não","Procedente"
"143",461,2017-06-06,2020-10-08,"Não","Não","Procedente"
"144",462,2017-06-06,2024-08-30,"Não","Não","Procedente"
"145",463,2017-06-07,2019-03-08,"Não","Não","Prejudicado"
"146",464,2017-06-08,2018-11-08,"Não","Não","Sem mérito"
"147",465,2017-06-08,2020-10-01,"Não","Não","Procedente"
"148",466,2017-06-08,NA,"Não","Sim","Sem julgamento"
"149",467,2017-06-08,2020-08-14,"Não","Não","Procedente"
"150",468,2017-06-09,2018-06-27,"Não","Não","Sem mérito"
"151",469,2017-06-20,2017-08-24,"Não","Não","Sem mérito"
"152",470,2017-06-22,2022-09-01,"Não","Não","Sem mérito"
"153",471,2017-06-26,2020-05-26,"Sim","Não","Sem mérito"
