"","numero","data_autuacao","data_baixa","tem_rito_art_12","em_tramitacao","resultado"
"396",714,2020-07-06,2021-12-13,"Não","Não","Procedente em parte"
"397",715,2020-07-07,2021-03-08,"Sim","Não","Procedente em parte"
"398",716,2020-07-07,NA,"Não","Sim","Sem julgamento"
"399",717,2020-07-09,2022-11-17,"Sim","Não","Sem mérito"
"400",718,2020-07-09,2021-03-05,"Não","Não","Procedente em parte"
"401",719,2020-07-09,2021-09-22,"Não","Não","Sem mérito"
"402",720,2020-07-15,2021-08-27,"Não","Não","Sem mérito"
"403",721,2020-07-17,2021-09-22,"Não","Não","Sem mérito"
"404",722,2020-07-27,2022-06-20,"Não","Não","Procedente"
"405",723,2020-08-05,2021-04-27,"Sim","Não","Sem mérito"
"406",724,2020-08-12,2020-12-09,"Não","Não","Sem mérito"
"407",725,2020-08-20,2020-12-07,"Não","Não","Sem mérito"
"408",726,2020-08-21,2021-08-25,"Não","Não","Sem mérito"
"409",727,2020-08-24,2023-09-19,"Sim","Não","Sem mérito"
"410",728,2020-08-25,2021-05-04,"Não","Não","Sem mérito"
"411",729,2020-08-25,2020-12-09,"Não","Não","Sem mérito"
"412",730,2020-08-25,2023-09-25,"Não","Não","Sem mérito"
"413",731,2020-08-25,2021-04-14,"Sim","Não","Procedente"
"414",732,2020-08-25,2021-05-27,"Não","Não","Procedente"
"415",733,2020-08-26,2020-09-25,"Não","Não","Sem mérito"
"416",734,2020-08-28,2023-05-15,"Sim","Não","Improcedente"
"417",735,2020-09-01,2023-02-15,"Não","Não","Prejudicado"
"418",736,2020-09-03,2020-10-05,"Não","Não","Sem mérito"
"419",737,2020-09-03,2021-09-27,"Sim","Não","Sem mérito"
"420",738,2020-09-03,2021-08-05,"Não","Não","Prejudicado"
"421",739,2020-09-08,2021-02-10,"Não","Não","Sem mérito"
"422",740,2020-09-09,2020-11-19,"Não","Não","Sem mérito"
"423",741,2020-09-10,2020-10-20,"Não","Não","Sem mérito"
"424",742,2020-09-10,NA,"Não","Sim","Sem julgamento"
"425",743,2020-09-18,2024-06-19,"Não","Sim","Sem julgamento"
"426",744,2020-09-18,2023-03-01,"Não","Não","Prejudicado"
"427",745,2020-09-18,2023-12-18,"Não","Não","Improcedente"
"428",746,2020-09-25,2024-06-19,"Não","Sim","Sem julgamento"
"429",747,2020-09-30,2022-02-09,"Não","Não","Procedente"
"430",748,2020-10-01,2022-08-16,"Não","Não","Procedente em parte"
"431",749,2020-10-02,2022-02-09,"Não","Não","Procedente em parte"
"432",750,2020-10-06,2021-12-15,"Não","Não","Sem mérito"
"433",751,2020-10-06,2023-03-01,"Não","Não","Sem mérito"
"434",752,2020-10-08,2021-02-09,"Sim","Não","Sem mérito"
"435",753,2020-10-16,2021-05-18,"Não","Não","Sem mérito"
"436",754,2020-10-22,2023-09-26,"Não","Não","Sem mérito"
"437",755,2020-10-22,2024-02-23,"Não","Não","Sem mérito"
"438",756,2020-10-23,2023-09-19,"Não","Não","Sem mérito"
"439",757,2020-10-28,2021-04-27,"Não","Não","Sem mérito"
"440",758,2020-11-04,NA,"Não","Sim","Sem julgamento"
"441",759,2020-11-06,NA,"Não","Sim","Sem julgamento"
"442",760,2020-11-12,2024-08-05,"Não","Sim","Sem julgamento"
"443",761,2020-11-12,2023-03-07,"Não","Não","Prejudicado"
"444",762,2020-11-12,NA,"Não","Sim","Sem julgamento"
"445",763,2020-11-13,2022-11-28,"Não","Não","Improcedente"
"446",764,2020-11-25,2021-10-08,"Não","Não","Procedente"
"447",765,2020-11-26,NA,"Não","Sim","Sem julgamento"
"448",766,2020-11-27,NA,"Não","Sim","Sem julgamento"
"449",767,2020-11-27,2023-03-10,"Sim","Não","Sem mérito"
"450",768,2020-12-07,2021-02-24,"Não","Não","Sem mérito"
"451",769,2020-12-09,NA,"Não","Sim","Sem julgamento"
"452",770,2020-12-09,2023-11-28,"Não","Não","Sem mérito"
"453",771,2020-12-11,2021-10-19,"Não","Não","Sem mérito"
"454",772,2020-12-11,2023-08-12,"Sim","Não","Prejudicado"
"455",773,2020-12-14,2021-05-10,"Não","Não","Sem mérito"
"456",774,2020-12-15,NA,"Não","Sim","Sem julgamento"
"457",775,2020-12-15,2024-08-30,"Não","Não","Sem mérito"
"458",776,2020-12-15,2023-08-14,"Não","Não","Sem mérito"
"459",777,2020-12-17,2025-05-14,"Não","Não","Procedente em parte"
"460",778,2021-01-06,2022-03-15,"Não","Não","Sem mérito"
"461",779,2021-01-06,2023-10-30,"Não","Não","Procedente"
"462",780,2021-01-07,2021-03-10,"Não","Não","Sem mérito"
"463",781,2021-01-07,2021-04-01,"Não","Não","Sem mérito"
"464",782,2021-01-08,2021-06-14,"Não","Não","Sem mérito"
"465",783,2021-01-11,2023-05-15,"Não","Não","Procedente"
"466",784,2021-01-21,2021-02-25,"Não","Não","Sem mérito"
"467",785,2021-01-25,2022-04-05,"Não","Não","Prejudicado"
"468",786,2021-01-26,2021-03-15,"Não","Não","Sem mérito"
"469",787,2021-02-01,2025-02-07,"Sim","Não","Procedente"
"470",788,2021-02-03,2023-06-30,"Não","Não","Sem mérito"
"471",789,2021-02-11,2021-09-16,"Não","Não","Procedente"
"472",790,2021-02-11,2025-05-27,"Não","Não","Sem mérito"
"473",791,2021-02-19,2023-02-28,"Não","Não","Prejudicado"
"474",792,2021-02-19,2023-02-28,"Não","Não","Prejudicado"
"475",793,2021-02-23,2022-02-25,"Não","Não","Procedente"
"476",794,2021-02-25,2021-06-24,"Não","Não","Improcedente"
"477",795,2021-03-02,2023-02-22,"Sim","Não","Prejudicado"
"478",796,2021-03-02,2021-05-28,"Não","Não","Sem mérito"
"479",797,2021-03-03,2023-10-17,"Sim","Não","Sem mérito"
"480",798,2021-03-03,2023-02-21,"Não","Não","Sem mérito"
"481",799,2021-03-04,2023-10-17,"Sim","Não","Sem mérito"
"482",800,2021-03-05,NA,"Não","Sim","Sem julgamento"
"483",801,2021-03-12,2022-09-26,"Não","Não","Sem mérito"
"484",802,2021-03-12,2021-08-09,"Sim","Não","Prejudicado"
"485",803,2021-03-12,2021-06-01,"Não","Não","Sem mérito"
"486",804,2021-03-12,2022-09-26,"Não","Não","Sem mérito"
"487",805,2021-03-15,2023-05-30,"Não","Não","Sem mérito"
"488",806,2021-03-16,2021-04-22,"Não","Não","Sem mérito"
"489",807,2021-03-16,2024-09-04,"Sim","Não","Sem mérito"
"490",808,2021-03-17,2024-06-14,"Não","Não","Sem mérito"
"491",809,2021-03-17,NA,"Sim","Sim","Sem julgamento"
"492",810,2021-03-18,2021-04-29,"Não","Não","Sem mérito"
"493",811,2021-03-19,2021-08-06,"Sim","Não","Improcedente"
"494",812,2021-03-19,2022-02-23,"Não","Não","Prejudicado"
"495",813,2021-03-19,2021-08-23,"Não","Não","Sem mérito"
"496",814,2021-03-22,2021-06-15,"Sim","Não","Sem mérito"
"497",815,2021-03-24,2024-01-26,"Não","Não","Sem mérito"
"498",816,2021-03-25,2023-10-17,"Sim","Não","Sem mérito"
"499",817,2021-03-29,NA,"Não","Sim","Sem julgamento"
"500",818,2021-04-05,2023-02-09,"Sim","Não","Sem mérito"
"501",819,2021-04-05,2025-04-07,"Sim","Não","Procedente"
"502",820,2021-04-05,2021-09-30,"Sim","Não","Prejudicado"
"503",821,2021-04-07,2023-10-17,"Não","Não","Sem mérito"
"504",822,2021-04-08,2023-06-07,"Não","Não","Sem mérito"
"505",823,2021-04-08,2022-02-02,"Não","Não","Sem mérito"
"506",824,2021-04-09,2025-03-19,"Não","Não","Improcedente"
"507",825,2021-04-09,2021-12-06,"Não","Não","Improcedente"
"508",826,2021-04-13,NA,"Sim","Sim","Sem julgamento"
"509",827,2021-04-13,2021-08-25,"Não","Não","Sem mérito"
"510",828,2021-04-15,NA,"Não","Sim","Sem julgamento"
"511",829,2021-04-16,2021-06-29,"Não","Não","Sem mérito"
"512",830,2021-04-16,2021-06-14,"Não","Não","Sem mérito"
"513",831,2021-04-22,2025-02-24,"Não","Não","Sem mérito"
"514",832,2021-04-28,2023-05-15,"Não","Não","Improcedente"
"515",833,2021-04-28,2022-09-05,"Sim","Não","Procedente"
"516",834,2021-04-30,2023-04-24,"Não","Não","Sem mérito"
"517",835,2021-05-03,2024-02-02,"Não","Não","Sem mérito"
"518",836,2021-05-03,2021-08-24,"Não","Não","Procedente"
"519",837,2021-05-03,NA,"Não","Sim","Sem julgamento"
"520",838,2021-05-05,2022-08-31,"Não","Não","Sem mérito"
"521",839,2021-05-06,2021-08-23,"Não","Não","Sem mérito"
"522",840,2021-05-06,2021-09-10,"Não","Não","Sem mérito"
"523",841,2021-05-06,2021-10-08,"Sim","Não","Sem mérito"
"524",842,2021-05-06,2023-03-20,"Sim","Não","Sem mérito"
"525",843,2021-05-11,2021-12-10,"Não","Não","Sem mérito"
"526",844,2021-05-18,2022-09-14,"Não","Não","Procedente"
"527",845,2021-05-21,2023-06-15,"Não","Não","Sem mérito"
"528",846,2021-05-21,2021-08-18,"Não","Não","Sem mérito"
"529",847,2021-05-24,NA,"Não","Sim","Sem julgamento"
"530",848,2021-05-31,2022-08-12,"Não","Não","Prejudicado"
"531",849,2021-06-02,2021-10-14,"Não","Não","Sem mérito"
"532",850,2021-06-08,2023-09-15,"Não","Não","Procedente"
"533",851,2021-06-08,2023-05-09,"Não","Não","Procedente"
"534",852,2021-06-14,2023-04-17,"Não","Não","Prejudicado"
"535",853,2021-06-15,2024-09-27,"Não","Não","Procedente"
"536",854,2021-06-15,2023-05-09,"Não","Sim","Sem julgamento"
"537",855,2021-06-16,2023-02-28,"Não","Não","Prejudicado"
"538",856,2021-06-18,2022-09-27,"Sim","Não","Sem mérito"
"539",857,2021-06-22,2024-06-21,"Não","Sim","Sem julgamento"
"540",858,2021-06-22,2023-09-22,"Não","Não","Procedente"
"541",859,2021-06-30,2021-11-04,"Não","Não","Sem mérito"
"542",860,2021-06-30,2023-02-23,"Não","Não","Procedente"
"543",861,2021-06-30,2022-02-22,"Não","Não","Sem mérito"
"544",862,2021-06-30,2025-02-11,"Não","Não","Procedente"
"545",863,2021-07-01,NA,"Não","Sim","Sem julgamento"
"546",864,2021-07-02,2022-03-04,"Não","Não","Sem mérito"
"547",865,2021-07-02,2023-02-02,"Sim","Não","Prejudicado"
"548",866,2021-07-09,2021-08-25,"Não","Não","Sem mérito"
"549",867,2021-07-15,NA,"Não","Sim","Sem julgamento"
"550",868,2021-07-19,2024-09-04,"Sim","Não","Prejudicado"
"551",869,2021-07-21,2022-12-02,"Não","Não","Sem mérito"
"552",870,2021-07-31,NA,"Sim","Sim","Sem julgamento"
"553",871,2021-08-02,2021-12-15,"Não","Não","Procedente em parte"
"554",872,2021-08-02,2023-09-05,"Não","Não","Procedente"
"555",873,2021-08-05,2023-03-10,"Não","Não","Procedente em parte"
"556",874,2021-08-10,2022-03-24,"Não","Não","Sem mérito"
"557",875,2021-08-12,NA,"Não","Sim","Sem julgamento"
"558",876,2021-08-19,NA,"Não","Sim","Sem julgamento"
"559",877,2021-08-20,NA,"Não","Sim","Sem julgamento"
"560",878,2021-08-26,2023-06-15,"Não","Não","Prejudicado"
"561",879,2021-09-01,2023-02-23,"Não","Não","Procedente"
"562",880,2021-09-03,2022-06-24,"Sim","Não","Sem mérito"
"563",881,2021-09-13,NA,"Não","Sim","Sem julgamento"
"564",882,2021-09-20,2022-02-14,"Não","Não","Sem mérito"
"565",883,2021-09-21,2022-02-16,"Não","Não","Sem mérito"
"566",884,2021-09-22,2022-03-25,"Não","Não","Procedente"
"567",885,2021-09-27,2023-08-03,"Sim","Não","Sem mérito"
"568",886,2021-09-27,2022-03-15,"Não","Não","Sem mérito"
"569",887,2021-10-06,2025-01-21,"Não","Não","Improcedente"
"570",888,2021-10-08,2022-02-09,"Não","Não","Sem mérito"
"571",889,2021-10-13,NA,"Não","Sim","Sem julgamento"
"572",890,2021-10-14,2022-03-23,"Não","Não","Procedente"
"573",891,2021-10-18,2022-06-09,"Não","Não","Sem mérito"
"574",892,2021-10-18,2024-10-08,"Não","Não","Prejudicado"
"575",893,2021-10-19,2022-09-16,"Não","Não","Procedente"
"576",894,2021-10-26,2021-11-26,"Não","Não","Sem mérito"
"577",895,2021-10-27,2021-12-14,"Não","Não","Sem mérito"
"578",896,2021-10-28,2023-05-04,"Não","Não","Improcedente"
"579",897,2021-11-03,2023-03-24,"Sim","Não","Sem mérito"
"580",898,2021-11-03,2022-12-19,"Não","Não","Prejudicado"
"581",899,2021-11-03,NA,"Não","Sim","Sem julgamento"
"582",900,2021-11-04,2023-03-10,"Não","Não","Prejudicado"
"583",901,2021-11-04,2022-12-19,"Não","Não","Prejudicado"
"584",902,2021-11-08,2023-04-13,"Sim","Não","Improcedente"
"585",903,2021-11-09,2021-12-17,"Não","Não","Sem mérito"
"586",904,2021-11-09,2022-04-22,"Não","Não","Sem mérito"
"587",905,2021-11-09,2022-12-19,"Não","Não","Prejudicado"
"588",906,2021-11-10,2024-03-19,"Não","Não","Sem mérito"
"589",907,2021-11-11,2022-12-19,"Não","Não","Prejudicado"
"590",908,2021-11-11,2024-03-19,"Não","Não","Sem mérito"
"591",909,2021-11-19,2022-02-07,"Não","Não","Sem mérito"
"592",910,2021-11-23,2023-08-09,"Não","Não","Procedente em parte"
"593",911,2021-11-23,2023-05-30,"Não","Não","Sem mérito"
"594",912,2021-11-23,2022-04-12,"Não","Não","Procedente"
"595",913,2021-11-29,2022-12-02,"Não","Não","Prejudicado"
"596",914,2021-11-30,2022-02-14,"Não","Não","Sem mérito"
"597",915,2021-12-01,2022-09-08,"Não","Não","Procedente"
"598",916,2021-12-02,2022-02-22,"Não","Não","Sem mérito"
"599",917,2021-12-02,2022-12-02,"Não","Não","Prejudicado"
"600",918,2021-12-03,2023-06-15,"Não","Não","Prejudicado"
"601",919,2021-12-03,NA,"Não","Sim","Sem julgamento"
"602",921,2021-12-09,2024-12-10,"Não","Não","Sem mérito"
"603",922,2021-12-13,2023-07-03,"Sim","Não","Sem mérito"
"604",923,2021-12-14,2022-10-27,"Não","Não","Sem mérito"
"605",924,2021-12-16,2024-12-10,"Não","Não","Sem mérito"
"606",925,2021-12-17,NA,"Sim","Sim","Sem julgamento"
"607",926,2021-12-17,2023-05-09,"Não","Não","Procedente"
"608",927,2021-12-17,2022-03-30,"Não","Não","Sem mérito"
"609",928,2021-12-23,NA,"Não","Sim","Sem julgamento"
"610",929,2021-12-29,2022-03-30,"Não","Não","Sem mérito"
"611",930,2021-12-30,2022-08-23,"Sim","Não","Sem mérito"
"612",931,2021-12-30,2022-08-23,"Sim","Não","Sem mérito"
"613",932,2022-01-04,2023-03-24,"Sim","Não","Sem mérito"
"614",933,2022-01-10,2022-03-14,"Não","Não","Sem mérito"
"615",934,2022-01-10,NA,"Não","Sim","Sem julgamento"
"616",935,2022-01-17,NA,"Não","Sim","Sem julgamento"
"617",936,2022-01-19,2024-11-11,"Não","Não","Procedente em parte"
"618",937,2022-01-21,NA,"Não","Sim","Sem julgamento"
"619",938,2022-02-01,2023-06-26,"Não","Não","Prejudicado"
"620",939,2022-02-02,2022-05-16,"Não","Não","Sem mérito"
"621",940,2022-02-07,2023-10-24,"Sim","Não","Sem mérito"
"622",941,2022-02-07,2022-06-25,"Não","Não","Sem mérito"
"623",942,2022-02-08,2025-06-04,"Não","Não","Sem mérito"
"624",944,2022-02-15,NA,"Não","Sim","Sem julgamento"
"625",945,2022-02-15,2023-08-15,"Não","Não","Sem mérito"
"626",946,2022-02-18,2025-03-06,"Não","Não","Procedente"
"627",947,2022-02-22,2022-04-27,"Não","Não","Prejudicado"
"628",948,2022-03-02,2022-10-17,"Não","Não","Sem mérito"
"629",949,2022-03-07,2024-08-21,"Não","Não","Procedente"
"630",950,2022-03-11,2022-09-23,"Não","Não","Sem mérito"
"631",951,2022-03-11,2024-02-16,"Não","Não","Sem mérito"
"632",952,2022-03-18,2022-10-17,"Não","Não","Sem mérito"
"633",953,2022-03-18,2022-04-18,"Não","Não","Sem mérito"
"634",954,2022-03-21,2022-04-19,"Não","Não","Sem mérito"
"635",955,2022-03-22,2022-08-24,"Não","Não","Sem mérito"
"636",956,2022-03-30,2024-06-07,"Não","Não","Procedente"
"637",957,2022-04-06,2022-08-04,"Não","Não","Sem mérito"
"638",958,2022-04-06,2023-09-01,"Não","Não","Sem mérito"
"639",959,2022-04-08,2024-02-07,"Não","Não","Procedente em parte"
"640",960,2022-04-18,2023-02-14,"Não","Não","Sem mérito"
"641",961,2022-04-18,2023-08-24,"Sim","Não","Prejudicado"
"642",962,2022-04-19,2024-06-26,"Não","Não","Procedente"
"643",963,2022-04-20,2022-08-24,"Não","Não","Sem mérito"
"644",964,2022-04-22,2023-08-25,"Não","Não","Procedente"
"645",965,2022-04-22,2023-08-25,"Sim","Não","Procedente"
"646",966,2022-04-22,2023-08-25,"Sim","Não","Procedente"
"647",967,2022-04-25,2023-08-25,"Não","Não","Procedente"
"648",968,2022-04-27,2023-12-11,"Não","Não","Prejudicado"
"649",969,2022-05-01,2023-10-25,"Não","Não","Procedente em parte"
"650",970,2022-05-01,2022-05-25,"Não","Não","Sem mérito"
"651",971,2022-05-06,2023-08-14,"Sim","Não","Improcedente"
"652",972,2022-05-13,NA,"Não","Sim","Sem julgamento"
"653",973,2022-05-13,NA,"Não","Sim","Sem julgamento"
"654",974,2022-05-18,2023-02-27,"Não","Não","Sem mérito"
"655",975,2022-05-23,2022-10-26,"Não","Não","Procedente"
"656",976,2022-05-23,NA,"Não","Sim","Sem julgamento"
"657",977,2022-05-26,NA,"Sim","Sim","Sem julgamento"
"658",978,2022-05-27,2022-10-14,"Não","Não","Sem mérito"
"659",979,2022-05-31,2023-08-03,"Não","Não","Sem mérito"
"660",980,2022-06-01,2023-03-20,"Não","Não","Sem mérito"
"661",981,2022-06-02,2023-04-11,"Sim","Não","Prejudicado"
"662",982,2022-06-10,2025-03-25,"Não","Não","Procedente"
"663",983,2022-06-14,2023-12-22,"Não","Não","Procedente em parte"
"664",984,2022-06-15,2024-03-08,"Não","Não","Sem mérito"
"665",985,2022-06-15,2024-08-19,"Não","Não","Procedente"
"666",986,2022-06-15,2023-04-10,"Sim","Não","Sem mérito"
"667",987,2022-06-24,NA,"Sim","Sim","Sem julgamento"
"668",988,2022-06-27,2022-11-07,"Não","Não","Procedente"
"669",989,2022-06-30,NA,"Não","Sim","Sem julgamento"
"670",990,2022-06-30,2023-02-09,"Sim","Não","Sem mérito"
"671",991,2022-06-30,NA,"Não","Sim","Sem julgamento"
"672",992,2022-07-04,NA,"Sim","Sim","Sem julgamento"
"673",993,2022-07-04,2022-09-27,"Não","Não","Sem mérito"
"674",994,2022-07-05,2022-08-24,"Não","Não","Sem mérito"
"675",995,2022-07-13,2023-10-19,"Não","Não","Procedente"
"676",996,2022-07-18,2022-11-22,"Não","Não","Sem mérito"
"677",997,2022-08-03,2024-10-12,"Não","Não","Sem mérito"
"678",998,2022-08-03,2022-10-13,"Não","Não","Sem mérito"
"679",999,2022-08-05,2023-03-17,"Sim","Não","Sem mérito"
"680",1000,2022-08-11,2023-08-16,"Não","Não","Sem mérito"
"681",1001,2022-08-11,2023-06-20,"Não","Não","Prejudicado"
"682",1002,2022-08-15,2023-04-20,"Não","Não","Improcedente"
"683",1003,2022-08-15,2023-02-28,"Sim","Não","Sem mérito"
"684",1004,2022-08-19,2024-10-21,"Sim","Não","Procedente"
"685",1005,2022-08-26,NA,"Sim","Sim","Sem julgamento"
"686",1006,2022-08-26,NA,"Sim","Sim","Sem julgamento"
"687",1007,2022-08-31,2023-02-27,"Não","Não","Sem mérito"
"688",1008,2022-09-09,2023-06-30,"Não","Não","Improcedente"
"689",1009,2022-09-12,NA,"Não","Sim","Sem julgamento"
"690",1010,2022-09-13,2022-11-11,"Não","Não","Sem mérito"
"691",1011,2022-09-14,2024-08-09,"Sim","Não","Procedente"
"692",1012,2022-09-23,2023-03-09,"Não","Não","Procedente"
"693",1013,2022-09-28,2024-08-07,"Não","Não","Procedente em parte"
"694",1014,2022-09-29,2025-04-23,"Sim","Não","Procedente"
"695",1015,2022-10-13,2023-05-04,"Não","Não","Sem mérito"
"696",1016,2022-10-18,2023-05-09,"Não","Não","Sem mérito"
"697",1017,2022-10-21,NA,"Não","Sim","Sem julgamento"
"698",1018,2022-10-24,2022-12-02,"Não","Não","Sem mérito"
"699",1019,2022-10-24,2022-12-07,"Não","Não","Sem mérito"
"700",1020,2022-10-24,2023-04-03,"Não","Não","Sem mérito"
"701",1021,2022-10-26,2024-12-18,"Sim","Não","Sem mérito"
"702",1023,2022-10-27,2024-05-21,"Não","Não","Sem mérito"
"703",1024,2022-11-03,2023-02-02,"Não","Não","Sem mérito"
"704",1025,2022-11-08,NA,"Não","Sim","Sem julgamento"
"705",1026,2022-11-09,NA,"Sim","Sim","Sem julgamento"
"706",1027,2022-11-14,NA,"Não","Sim","Sem julgamento"
"707",1028,2022-11-16,NA,"Não","Sim","Sem julgamento"
"708",1029,2022-11-16,NA,"Não","Sim","Sem julgamento"
"709",1030,2022-11-16,2024-06-27,"Sim","Não","Procedente em parte"
"710",1031,2022-11-18,2024-10-24,"Não","Não","Procedente"
"711",1032,2022-11-29,NA,"Sim","Sim","Sem julgamento"
"712",1033,2022-12-02,NA,"Sim","Sim","Sem julgamento"
"713",1034,2022-12-06,2023-05-15,"Não","Não","Sem mérito"
"714",1035,2022-12-09,2023-03-24,"Não","Não","Sem mérito"
"715",1036,2022-12-12,2025-03-21,"Não","Não","Procedente"
"716",1037,2022-12-19,2024-08-30,"Sim","Não","Procedente em parte"
"717",1038,2022-12-21,NA,"Não","Sim","Sem julgamento"
"718",1039,2022-12-28,2023-05-02,"Não","Não","Procedente"
"719",1040,2022-12-29,NA,"Não","Sim","Sem julgamento"
"720",1041,2023-01-09,2023-05-26,"Sim","Não","Sem mérito"
"721",1042,2023-01-18,2025-05-07,"Não","Não","Sem mérito"
"722",1043,2023-01-19,2024-03-25,"Não","Não","Procedente"
"723",1044,2023-02-13,2023-05-18,"Não","Não","Prejudicado"
"724",1045,2023-02-14,2024-06-29,"Não","Não","Sem mérito"
"725",1046,2023-02-14,NA,"Sim","Sim","Sem julgamento"
"726",1047,2023-02-27,NA,"Não","Sim","Sem julgamento"
"727",1048,2023-03-01,2023-04-04,"Não","Não","Sem mérito"
"728",1049,2023-03-15,2023-04-17,"Não","Não","Sem mérito"
"729",1050,2023-03-23,NA,"Não","Sim","Sem julgamento"
"730",1051,2023-03-29,NA,"Não","Sim","Sem julgamento"
"731",1052,2023-04-03,2023-06-16,"Não","Não","Sem mérito"
"732",1053,2023-04-03,NA,"Não","Sim","Sem julgamento"
"733",1054,2023-04-10,NA,"Não","Sim","Sem julgamento"
"734",1055,2023-04-10,NA,"Não","Sim","Sem julgamento"
"735",1056,2023-04-10,2023-12-18,"Não","Não","Improcedente"
"736",1057,2023-04-14,NA,"Não","Sim","Sem julgamento"
"737",1058,2023-04-14,NA,"Não","Sim","Sem julgamento"
"738",1059,2023-04-18,NA,"Não","Sim","Sem julgamento"
"739",1060,2023-04-26,NA,"Sim","Sim","Sem julgamento"
"740",1061,2023-04-27,2024-02-22,"Não","Não","Sem mérito"
"741",1062,2023-05-05,2023-06-06,"Não","Não","Sem mérito"
"742",1063,2023-05-11,2024-02-14,"Não","Não","Procedente"
"743",1064,2023-05-15,2024-10-16,"Sim","Não","Procedente em parte"
"744",1065,2023-05-19,2023-09-13,"Não","Não","Sem mérito"
"745",1066,2023-05-22,2025-05-26,"Não","Não","Procedente"
"746",1067,2023-05-24,2024-02-22,"Não","Não","Sem mérito"
"747",1068,2023-05-24,NA,"Sim","Sim","Sem julgamento"
"748",1069,2023-06-01,2025-02-25,"Não","Não","Sem mérito"
"749",1070,2023-06-06,2024-04-24,"Não","Não","Sem mérito"
"750",1071,2023-06-07,2024-09-10,"Sim","Não","Sem mérito"
"751",1072,2023-06-09,2024-05-22,"Não","Não","Sem mérito"
"752",1073,2023-06-13,2024-03-08,"Não","Não","Improcedente"
"753",1074,2023-06-15,2023-08-23,"Não","Não","Sem mérito"
"754",1075,2023-06-19,NA,"Sim","Sim","Sem julgamento"
"755",1076,2023-06-20,NA,"Não","Sim","Sem julgamento"
"756",1077,2023-06-30,NA,"Não","Sim","Sem julgamento"
"757",1078,2023-07-04,2024-08-09,"Sim","Não","Improcedente"
"758",1079,2023-07-06,NA,"Não","Sim","Sem julgamento"
"759",1080,2023-07-07,2023-09-28,"Não","Não","Sem mérito"
"760",1081,2023-07-14,NA,"Não","Sim","Sem julgamento"
"761",1082,2023-07-14,2024-04-15,"Sim","Não","Procedente"
"762",1083,2023-07-28,NA,"Não","Sim","Sem julgamento"
"763",1084,2023-08-28,2023-10-30,"Não","Não","Sem mérito"
"764",1085,2023-09-03,2024-03-26,"Não","Não","Prejudicado"
"765",1086,2023-09-19,2024-04-09,"Sim","Não","Procedente"
"766",1087,2023-09-22,NA,"Não","Sim","Sem julgamento"
"767",1088,2023-09-22,2024-03-15,"Não","Não","Procedente"
"768",1089,2023-09-29,2024-10-25,"Não","Não","Improcedente"
"769",1090,2023-10-03,NA,"Não","Sim","Sem julgamento"
"770",1091,2023-10-11,2024-04-26,"Não","Não","Procedente"
"771",1092,2023-10-24,NA,"Não","Sim","Sem julgamento"
"772",1093,2023-10-27,2025-02-14,"Sim","Não","Sem mérito"
"773",1094,2023-11-13,2024-06-10,"Não","Não","Prejudicado"
"774",1095,2023-11-14,NA,"Não","Sim","Sem julgamento"
"775",1096,2023-11-16,2024-08-19,"Não","Não","Procedente"
"776",1097,2023-11-16,NA,"Não","Sim","Sem julgamento"
"777",1098,2023-11-20,2024-04-16,"Não","Não","Sem mérito"
"778",1099,2023-11-24,2025-05-07,"Não","Não","Procedente em parte"
"779",1100,2023-11-24,NA,"Não","Sim","Sem julgamento"
"780",1101,2023-11-30,NA,"Não","Sim","Sem julgamento"
"781",1102,2023-12-05,NA,"Não","Sim","Sem julgamento"
"782",1103,2023-12-06,NA,"Não","Sim","Sem julgamento"
"783",1104,2023-12-07,NA,"Não","Sim","Sem julgamento"
"784",1105,2023-12-13,NA,"Não","Sim","Sem julgamento"
"785",1106,2023-12-14,NA,"Não","Sim","Sem julgamento"
"786",1107,2023-12-14,2024-09-03,"Não","Não","Procedente"
"787",1108,2023-12-15,NA,"Não","Sim","Sem julgamento"
"788",1109,2023-12-18,2024-03-22,"Não","Não","Sem mérito"
"789",1110,2023-12-18,NA,"Não","Sim","Sem julgamento"
"790",1112,2023-12-19,2024-04-10,"Não","Não","Sem mérito"
"791",1113,2023-12-19,2024-05-22,"Não","Não","Procedente"
"792",1114,2023-12-27,2024-08-23,"Não","Não","Sem mérito"
"793",1115,2024-01-10,NA,"Não","Sim","Sem julgamento"
"794",1116,2024-01-10,NA,"Não","Sim","Sem julgamento"
"795",1117,2024-01-12,NA,"Sim","Sim","Sem julgamento"
"796",1118,2024-01-15,NA,"Não","Sim","Sem julgamento"
"797",1119,2024-01-15,NA,"Sim","Sim","Sem julgamento"
"798",1120,2024-01-16,2024-03-07,"Não","Não","Sem mérito"
"799",1121,2024-01-16,2024-04-17,"Não","Não","Sem mérito"
"800",1122,2024-01-29,NA,"Não","Sim","Sem julgamento"
"801",1123,2024-02-14,NA,"Não","Sim","Sem julgamento"
"802",1124,2024-02-19,2024-04-18,"Não","Não","Sem mérito"
"803",1125,2024-02-22,2024-12-09,"Não","Não","Sem mérito"
"804",1126,2024-02-23,NA,"Não","Sim","Sem julgamento"
"805",1127,2024-02-26,2024-12-11,"Sim","Não","Sem mérito"
"806",1128,2024-02-27,NA,"Não","Sim","Sem julgamento"
"807",1129,2024-02-28,2024-03-26,"Não","Não","Sem mérito"
"808",1130,2024-02-29,NA,"Não","Sim","Sem julgamento"
