"","term","estimate","std.error","statistic","p.value","hr"
"1","resultadoPrejudicado",0.638738714835005,0.205170010387528,3.11321675925515,0.00185060046387715,1.89409038397125
"2","resultadoProcedente",0.260559195679111,0.188180495294217,1.38462381699937,0.166167524907174,1.29765552717904
"3","resultadoProcedente em parte",0.101855642958454,0.216379070028999,0.4707277970314,0.637835131470916,1.1072236246639
"4","resultadoSem mérito",0.873727748847405,0.174188813410584,5.01598082988215,5.27635898809619e-07,2.3958252627237
