"","classe","numero","data_autuacao","data_baixa","relator_atual","evento","tempo"
"69","ADPF","387",2016-03-01,2017-12-07,"MIN. GILMAR MENDES",1,646
"70","ADPF","388",2016-03-03,2016-08-25,"MIN. GILMAR MENDES",1,175
"71","ADPF","389",2016-03-10,2020-11-02,"MIN. LUÍS ROBERTO BARROSO",1,1698
"72","ADPF","390",2016-03-17,2017-09-18,"MIN. ALEXANDRE DE MORAES",1,550
"73","ADPF","391",2016-03-17,2017-10-09,"MIN. ALEXANDRE DE MORAES",1,571
"74","ADPF","392",2016-03-30,2017-02-23,"MIN. EDSON FACHIN",1,330
"75","ADPF","393",2016-04-08,2017-05-10,"MIN. GILMAR MENDES",1,397
"76","ADPF","394",2016-04-11,2017-03-16,"MIN. LUÍS ROBERTO BARROSO",1,339
"77","ADPF","395",2016-04-11,2019-10-23,"MIN. GILMAR MENDES",1,1290
"78","ADPF","396",2016-04-14,2020-03-19,"MIN. EDSON FACHIN",1,1435
"79","ADPF","397",2016-04-14,2016-05-23,"MIN. MARCO AURÉLIO",1,39
"80","ADPF","398",2016-04-15,2022-08-31,"MIN. EDSON FACHIN",1,2329
"81","ADPF","399",2016-05-02,2020-06-09,"MIN. EDSON FACHIN",1,1499
"82","ADPF","400",2016-05-02,2025-06-06,"MIN. NUNES MARQUES",0,3322
"83","ADPF","401",2016-05-02,2023-05-08,"MIN. EDSON FACHIN",1,2562
"84","ADPF","402",2016-05-03,2025-06-06,"MIN. MARCO AURÉLIO",0,3321
"85","ADPF","403",2016-05-03,2025-06-06,"MIN. EDSON FACHIN",0,3321
"86","ADPF","404",2016-05-04,2019-10-07,"MIN. MARCO AURÉLIO",1,1251
"87","ADPF","405",2016-05-05,2021-08-16,"MIN. ROSA WEBER",1,1929
"88","ADPF","406",2016-05-06,2017-02-21,"MIN. ROSA WEBER",1,291
"89","ADPF","407",2016-05-09,2016-06-08,"MIN. LUÍS ROBERTO BARROSO",1,30
"90","ADPF","408",2016-05-13,2017-11-17,"MIN. LUIZ FUX",1,553
"91","ADPF","409",2016-05-23,2016-09-28,"MIN. LUÍS ROBERTO BARROSO",1,128
"92","ADPF","410",2016-05-24,2016-06-24,"MIN. LUÍS ROBERTO BARROSO",1,31
"93","ADPF","411",2016-05-24,2021-08-18,"MIN. EDSON FACHIN",1,1912
"94","ADPF","412",2016-06-08,2020-03-10,"MIN. ALEXANDRE DE MORAES",1,1371
"95","ADPF","413",2016-06-16,2018-08-14,"MIN. DIAS TOFFOLI",1,789
"96","ADPF","414",2016-07-08,2017-03-30,"MIN. EDSON FACHIN",1,265
"97","ADPF","415",2016-07-14,2018-10-01,"MIN. CELSO DE MELLO",1,809
"98","ADPF","416",2016-07-19,2017-11-24,"MIN. MARCO AURÉLIO",1,493
"99","ADPF","417",2016-07-27,2017-08-22,"MIN. RICARDO LEWANDOWSKI",1,391
"100","ADPF","418",2016-07-27,2020-05-15,"MIN. ALEXANDRE DE MORAES",1,1388
"101","ADPF","419",2016-08-05,2021-09-01,"MIN. EDSON FACHIN",1,1853
"102","ADPF","420",2016-08-05,2025-06-06,"MIN. CRISTIANO ZANIN",0,3227
"103","ADPF","421",2016-08-24,2017-06-16,"MIN. ALEXANDRE DE MORAES",1,296
"104","ADPF","422",2016-09-13,2025-06-06,"MIN. LUIZ FUX",0,3188
"105","ADPF","423",2016-10-04,2020-07-09,"MIN. CÁRMEN LÚCIA",1,1374
"106","ADPF","424",2016-10-26,2025-06-06,"MIN. CRISTIANO ZANIN",0,3145
"107","ADPF","425",2016-10-31,2018-11-16,"MIN. EDSON FACHIN",1,746
"108","ADPF","426",2016-11-03,2021-11-26,"MIN. ROSA WEBER",1,1849
"109","ADPF","427",2016-11-04,2022-12-01,"MIN. ANDRÉ MENDONÇA",1,2218
"110","ADPF","428",2016-11-07,2017-05-26,"MIN. ROSA WEBER",1,200
"111","ADPF","429",2016-11-09,2025-06-06,"MIN. LUIZ FUX",0,3131
"112","ADPF","430",2016-11-11,2023-05-19,"MIN. DIAS TOFFOLI",1,2380
"113","ADPF","431",2016-11-11,2017-03-21,"MIN. DIAS TOFFOLI",1,130
"114","ADPF","432",2016-11-11,2017-02-13,"MIN. ROSA WEBER",1,94
"115","ADPF","433",2016-11-17,2025-06-06,"MIN. LUIZ FUX",0,3123
