"","numero","data_autuacao","data_baixa","tem_rito_art_12","resultado","evento","tempo"
"93",426,2016-11-03,2021-11-26,"Não","Sem mérito",1,1849
"94",427,2016-11-04,2022-12-01,"Não","Sem mérito",1,2218
"95",428,2016-11-07,2017-05-26,"Não","Sem mérito",1,200
"96",430,2016-11-11,2023-05-19,"Não","Sem mérito",1,2380
"97",431,2016-11-11,2017-03-21,"Não","Sem mérito",1,130
"98",432,2016-11-11,2017-02-13,"Não","Sem mérito",1,94
"99",435,2016-11-23,2018-10-02,"Não","Sem mérito",1,678
"100",436,2016-11-30,2017-02-24,"Não","Sem mérito",1,86
"101",437,2016-12-20,2020-10-26,"Não","Procedente",1,1406
"102",438,2016-12-20,2020-02-07,"Não","Sem mérito",1,1144
"103",439,2017-01-02,2017-06-13,"Não","Sem mérito",1,162
"104",440,2017-02-15,2020-02-10,"Não","Sem mérito",1,1090
"105",441,2017-02-24,2017-08-25,"Não","Sem mérito",1,182
"106",443,2017-03-14,2020-05-19,"Não","Sem mérito",1,1162
"107",444,2017-03-14,2020-06-18,"Sim","Procedente",1,1192
"108",446,2017-03-22,2019-11-06,"Não","Procedente em parte",1,959
"109",447,2017-03-29,2017-08-23,"Não","Sem mérito",1,147
"110",448,2017-04-05,2020-12-15,"Não","Sem mérito",1,1350
"111",449,2017-04-07,2019-11-04,"Não","Procedente",1,941
"112",450,2017-04-18,2019-10-08,"Sim","Sem mérito",1,903
"113",451,2017-04-27,2019-02-21,"Não","Sem mérito",1,665
"114",452,2017-05-03,2020-05-27,"Não","Procedente em parte",1,1120
"115",453,2017-05-04,2019-12-13,"Não","Sem mérito",1,953
"116",455,2017-05-11,2023-08-14,"Sim","Sem mérito",1,2286
"117",456,2017-05-16,2017-08-31,"Não","Sem mérito",1,107
"118",457,2017-05-22,2020-06-16,"Não","Procedente",1,1121
"119",458,2017-05-23,2019-11-22,"Não","Sem mérito",1,913
"120",459,2017-05-25,2017-08-03,"Não","Prejudicado",1,70
"121",460,2017-06-06,2020-09-11,"Não","Procedente",1,1193
"122",461,2017-06-06,2020-10-08,"Não","Procedente",1,1220
"123",462,2017-06-06,2024-08-30,"Não","Procedente",1,2642
"124",463,2017-06-07,2019-03-08,"Não","Prejudicado",1,639
"125",464,2017-06-08,2018-11-08,"Não","Sem mérito",1,518
"126",465,2017-06-08,2020-10-01,"Não","Procedente",1,1211
"127",467,2017-06-08,2020-08-14,"Não","Procedente",1,1163
"128",468,2017-06-09,2018-06-27,"Não","Sem mérito",1,383
"129",469,2017-06-20,2017-08-24,"Não","Sem mérito",1,65
"130",470,2017-06-22,2022-09-01,"Não","Sem mérito",1,1897
"131",471,2017-06-26,2020-05-26,"Sim","Sem mérito",1,1065
"132",472,2017-07-13,2017-11-06,"Não","Sem mérito",1,116
"133",474,2017-08-19,2024-09-30,"Não","Procedente em parte",1,2599
"134",475,2017-08-19,2023-05-12,"Sim","Improcedente",1,2092
"135",476,2017-08-22,2020-03-20,"Não","Prejudicado",1,941
"136",477,2017-08-24,2019-10-29,"Não","Prejudicado",1,796
"137",478,2017-08-29,2018-02-26,"Não","Sem mérito",1,181
"138",479,2017-08-30,2017-11-21,"Não","Sem mérito",1,83
"139",480,2017-09-15,2018-05-04,"Não","Sem mérito",1,231
"140",481,2017-09-15,2018-08-07,"Não","Sem mérito",1,326
"141",482,2017-09-15,2020-04-06,"Não","Procedente",1,934
"142",483,2017-09-21,2019-06-25,"Sim","Sem mérito",1,642
"143",484,2017-09-25,2020-11-19,"Não","Procedente em parte",1,1151
"144",485,2017-09-25,2021-02-17,"Não","Procedente",1,1241
"145",486,2017-10-06,2023-09-06,"Não","Procedente em parte",1,2161
"146",487,2017-10-09,2018-03-23,"Não","Sem mérito",1,165
"147",488,2017-10-11,2024-03-04,"Não","Sem mérito",1,2336
"148",489,2017-10-20,2020-04-02,"Não","Prejudicado",1,895
"149",491,2017-10-20,2020-06-08,"Não","Prejudicado",1,962
"150",492,2017-10-23,2021-02-08,"Sim","Procedente",1,1204
"151",493,2017-10-23,2021-02-12,"Não","Procedente",1,1208
"152",494,2017-10-27,2023-03-24,"Sim","Sem mérito",1,1974
"153",495,2017-10-30,2023-05-26,"Sim","Procedente",1,2034
"154",496,2017-10-30,2022-11-22,"Sim","Improcedente",1,1849
"155",497,2017-11-21,2019-11-04,"Não","Sem mérito",1,713
"156",498,2017-11-23,2020-06-01,"Não","Sem mérito",1,921
"157",499,2017-11-23,2023-08-09,"Sim","Procedente",1,2085
"158",500,2017-11-28,2022-05-11,"Não","Sem mérito",1,1625
"159",501,2017-11-30,2022-09-20,"Não","Procedente",1,1755
"160",502,2017-12-18,2018-03-19,"Não","Sem mérito",1,91
"161",503,2017-12-13,2019-11-05,"Não","Sem mérito",1,692
"162",504,2017-12-14,2020-12-09,"Não","Procedente",1,1091
"163",505,2017-12-21,2018-08-26,"Não","Prejudicado",1,248
"164",506,2017-12-21,2018-04-13,"Não","Sem mérito",1,113
"165",507,2018-01-08,2018-04-13,"Não","Sem mérito",1,95
"166",508,2018-01-19,2020-08-11,"Não","Sem mérito",1,935
"167",510,2018-02-06,2018-08-09,"Não","Sem mérito",1,184
"168",511,2018-02-21,2024-04-11,"Sim","Sem mérito",1,2241
"169",512,2018-02-23,2024-02-09,"Não","Procedente",1,2177
"170",513,2018-03-02,2021-02-17,"Não","Procedente",1,1083
"171",514,2018-04-20,2019-10-02,"Não","Procedente",1,530
"172",515,2018-05-02,2020-12-09,"Não","Prejudicado",1,952
"173",516,2018-05-10,2019-09-23,"Não","Procedente",1,501
"174",517,2018-05-16,2019-10-09,"Não","Sem mérito",1,511
"175",518,2018-05-16,2023-04-28,"Sim","Sem mérito",1,1808
"176",520,2018-06-07,2018-08-24,"Não","Sem mérito",1,78
"177",521,2018-06-11,2018-09-28,"Não","Sem mérito",1,109
"178",523,2018-06-12,2021-03-11,"Não","Improcedente",1,1003
"179",524,2018-06-15,2023-09-19,"Não","Procedente",1,1922
"180",525,2018-06-19,2019-03-28,"Não","Sem mérito",1,282
"181",526,2018-06-25,2020-06-23,"Sim","Procedente",1,729
"182",527,2018-06-25,2023-11-28,"Não","Sem mérito",1,1982
"183",528,2018-06-26,2022-08-08,"Não","Improcedente",1,1504
"184",529,2018-06-26,2020-04-29,"Sim","Sem mérito",1,673
"185",530,2018-06-27,2020-12-21,"Não","Procedente",1,908
"186",531,2018-06-28,2018-09-05,"Não","Sem mérito",1,69
"187",532,2018-07-13,2018-08-31,"Não","Prejudicado",1,49
"188",533,2018-07-23,2022-12-13,"Não","Sem mérito",1,1604
"189",534,2018-07-25,2020-09-28,"Não","Sem mérito",1,796
"190",535,2018-07-30,2021-08-25,"Não","Sem mérito",1,1122
"191",536,2018-08-03,2018-11-09,"Não","Sem mérito",1,98
"192",537,2018-08-16,2018-09-27,"Não","Sem mérito",1,42
"193",538,2018-08-30,2019-08-30,"Não","Prejudicado",1,365
"194",539,2018-09-10,2021-03-16,"Sim","Procedente em parte",1,918
"195",540,2018-09-12,2019-04-05,"Não","Sem mérito",1,205
"196",541,2018-09-19,2019-06-04,"Não","Improcedente",1,258
"197",542,2018-09-25,2020-11-13,"Não","Procedente",1,780
"198",543,2018-09-27,2019-03-13,"Não","Sem mérito",1,167
"199",544,2018-10-09,2022-06-27,"Não","Sem mérito",1,1357
"200",545,2018-10-11,2019-04-08,"Não","Sem mérito",1,179
"201",546,2018-10-17,2023-02-27,"Sim","Sem mérito",1,1594
"202",547,2018-10-17,2021-06-30,"Não","Procedente",1,987
"203",548,2018-10-26,2020-06-24,"Não","Procedente",1,607
"204",549,2018-10-30,2020-10-05,"Não","Sem mérito",1,706
"205",550,2018-11-09,2024-03-20,"Sim","Sem mérito",1,1958
"206",551,2018-11-19,2019-03-05,"Não","Sem mérito",1,106
"207",552,2018-11-20,2019-09-09,"Não","Sem mérito",1,293
"208",553,2018-11-20,2019-05-31,"Não","Sem mérito",1,192
"209",554,2018-11-21,2020-06-10,"Sim","Sem mérito",1,567
"210",555,2018-11-23,2020-05-27,"Não","Sem mérito",1,551
"211",556,2018-11-28,2020-08-28,"Não","Procedente em parte",1,639
"212",558,2018-12-11,2019-02-21,"Não","Sem mérito",1,72
"213",559,2018-12-12,2022-08-12,"Não","Sem mérito",1,1339
"214",560,2018-12-14,2020-03-09,"Não","Sem mérito",1,451
"215",561,2019-01-02,2020-11-26,"Não","Sem mérito",1,694
"216",562,2019-01-14,2019-08-09,"Não","Sem mérito",1,207
"217",563,2019-01-14,2021-03-30,"Não","Sem mérito",1,806
"218",565,2019-02-25,2019-08-13,"Não","Sem mérito",1,169
"219",566,2019-02-26,2019-09-23,"Não","Sem mérito",1,209
"220",567,2019-02-28,2021-04-12,"Não","Improcedente",1,774
"221",568,2019-03-12,2019-10-14,"Não","Sem mérito",1,216
"222",569,2019-03-13,2024-06-17,"Não","Procedente em parte",1,1923
"223",570,2019-03-14,2019-09-30,"Não","Sem mérito",1,200
"224",571,2019-03-19,2021-10-13,"Não","Sem mérito",1,939
"225",572,2019-03-25,2020-11-26,"Não","Improcedente",1,612
"226",573,2019-03-25,2023-05-04,"Não","Procedente em parte",1,1501
"227",574,2019-03-28,2021-05-10,"Não","Sem mérito",1,774
"228",575,2019-04-02,2019-05-31,"Não","Sem mérito",1,59
"229",576,2019-04-11,2019-06-13,"Não","Sem mérito",1,63
"230",577,2019-04-12,2019-11-05,"Não","Sem mérito",1,207
"231",579,2019-04-24,2021-02-03,"Não","Sem mérito",1,651
"232",580,2019-05-04,2019-08-06,"Não","Sem mérito",1,94
"233",581,2019-05-08,2024-02-16,"Não","Procedente em parte",1,1745
"234",582,2019-05-14,2020-10-13,"Sim","Prejudicado",1,518
"235",583,2019-05-15,2020-10-15,"Sim","Prejudicado",1,519
"236",584,2019-05-17,2020-03-27,"Não","Procedente",1,315
"237",585,2019-05-21,2022-05-06,"Não","Sem mérito",1,1081
"238",586,2019-05-23,2024-02-16,"Não","Procedente em parte",1,1730
"239",587,2019-05-27,2020-10-06,"Não","Sem mérito",1,498
"240",588,2019-05-28,2022-03-28,"Não","Procedente",1,1035
"241",589,2019-05-28,2019-08-07,"Não","Sem mérito",1,71
"242",590,2019-06-12,2020-10-06,"Sim","Procedente",1,482
"243",591,2019-06-12,2024-11-05,"Não","Improcedente",1,1973
"244",592,2019-06-14,2024-02-23,"Não","Sem mérito",1,1715
"245",593,2019-06-18,2025-02-14,"Não","Procedente em parte",1,2068
"246",594,2019-06-18,2023-02-06,"Não","Prejudicado",1,1329
"247",595,2019-06-19,2020-10-22,"Não","Prejudicado",1,491
"248",596,2019-06-21,2022-08-17,"Não","Procedente em parte",1,1153
"249",597,2019-06-24,2020-09-28,"Não","Procedente em parte",1,462
"250",598,2019-06-27,2021-08-12,"Não","Procedente em parte",1,777
"251",600,2019-07-10,2020-10-01,"Não","Procedente",1,449
"252",601,2019-07-11,2023-08-10,"Não","Sem mérito",1,1491
"253",602,2019-07-22,2019-09-10,"Não","Sem mérito",1,50
"254",603,2019-07-25,2022-08-22,"Sim","Sem mérito",1,1124
"255",604,2019-07-26,2019-08-30,"Não","Sem mérito",1,35
"256",607,2019-07-31,2022-06-09,"Sim","Procedente",1,1044
"257",608,2019-08-02,2019-09-12,"Não","Sem mérito",1,41
"258",609,2019-08-06,2020-05-27,"Não","Sem mérito",1,295
"259",610,2019-08-13,2022-11-09,"Sim","Prejudicado",1,1184
"260",611,2019-08-15,2019-09-13,"Não","Sem mérito",1,29
"261",612,2019-08-19,2020-10-09,"Não","Sem mérito",1,417
"262",613,2019-08-19,2020-09-01,"Não","Sem mérito",1,379
"263",614,2019-08-27,2021-04-29,"Sim","Prejudicado",1,611
"264",616,2019-09-02,2022-11-29,"Não","Procedente em parte",1,1184
"265",617,2019-09-09,2020-02-12,"Não","Sem mérito",1,156
"266",619,2019-09-12,2022-09-17,"Não","Sem mérito",1,1101
"267",620,2019-09-13,2021-03-23,"Não","Procedente",1,557
"268",621,2019-09-16,2020-06-16,"Não","Sem mérito",1,274
"269",622,2019-09-16,2021-06-07,"Não","Procedente em parte",1,630
"270",623,2019-09-16,2023-08-09,"Não","Procedente",1,1423
"271",624,2019-09-17,2020-10-23,"Não","Sem mérito",1,402
"272",625,2019-10-04,2020-02-13,"Não","Sem mérito",1,132
"273",627,2019-10-15,2020-11-05,"Não","Sem mérito",1,387
"274",628,2019-10-16,2020-04-22,"Não","Prejudicado",1,189
"275",629,2019-10-18,2020-02-21,"Não","Sem mérito",1,126
"276",630,2019-10-23,2021-05-28,"Sim","Sem mérito",1,583
"277",631,2019-10-30,2019-12-05,"Não","Sem mérito",1,36
"278",632,2019-11-12,2020-03-03,"Não","Sem mérito",1,112
"279",633,2019-11-18,2020-04-06,"Não","Sem mérito",1,140
"280",634,2019-11-19,2023-04-24,"Não","Procedente",1,1252
"281",636,2019-11-26,2020-02-14,"Não","Sem mérito",1,80
"282",638,2019-12-13,2022-03-24,"Não","Prejudicado",1,832
"283",639,2019-12-17,2021-08-23,"Não","Sem mérito",1,615
"284",640,2019-12-18,2023-10-30,"Não","Procedente",1,1412
"285",641,2019-12-19,2020-10-21,"Não","Sem mérito",1,307
"286",643,2020-01-06,2024-03-11,"Não","Improcedente",1,1526
"287",644,2020-01-08,2024-03-11,"Não","Improcedente",1,1524
"288",645,2020-01-13,2020-04-30,"Não","Sem mérito",1,108
"289",646,2020-01-24,2022-08-16,"Não","Sem mérito",1,935
"290",647,2020-01-23,2022-03-15,"Sim","Sem mérito",1,782
"291",648,2020-02-03,2021-10-04,"Sim","Sem mérito",1,609
"292",649,2020-02-05,2022-03-29,"Não","Sem mérito",1,783
"293",650,2020-02-06,2021-02-12,"Não","Sem mérito",1,372
"294",651,2020-02-10,2022-11-09,"Não","Procedente",1,1003
"295",652,2020-02-10,2020-03-25,"Não","Sem mérito",1,44
"296",653,2020-02-14,2020-05-04,"Não","Sem mérito",1,80
"297",654,2020-02-20,2020-05-15,"Não","Sem mérito",1,85
"298",655,2020-03-03,2020-11-25,"Não","Sem mérito",1,267
"299",656,2020-03-03,2022-05-25,"Não","Sem mérito",1,813
"300",658,2020-03-09,2022-05-25,"Não","Sem mérito",1,807
"301",659,2020-03-23,2022-05-17,"Não","Prejudicado",1,785
"302",660,2020-03-23,2020-04-30,"Não","Sem mérito",1,38
"303",661,2020-03-23,2021-09-28,"Não","Procedente em parte",1,554
"304",662,2020-03-24,2022-06-21,"Não","Sem mérito",1,819
"305",663,2020-03-24,2021-09-30,"Não","Procedente em parte",1,555
"306",664,2020-03-26,2021-05-13,"Não","Procedente",1,413
"307",665,2020-03-26,2022-06-27,"Sim","Prejudicado",1,823
"308",666,2020-03-26,2020-06-01,"Não","Sem mérito",1,67
"309",668,2020-03-30,2020-06-02,"Não","Sem mérito",1,64
"310",669,2020-03-30,2020-06-03,"Não","Sem mérito",1,65
"311",670,2020-03-30,2024-06-10,"Não","Procedente",1,1533
"312",671,2020-03-31,2020-08-20,"Não","Sem mérito",1,142
"313",672,2020-04-01,2020-11-13,"Não","Procedente em parte",1,226
"314",673,2020-04-02,2022-05-02,"Sim","Sem mérito",1,760
"315",674,2020-04-13,2022-04-05,"Não","Prejudicado",1,722
"316",675,2020-04-14,2020-05-15,"Não","Sem mérito",1,31
"317",676,2020-04-20,2020-11-18,"Não","Sem mérito",1,212
"318",678,2020-04-28,2020-05-26,"Não","Sem mérito",1,28
"319",679,2020-05-04,2020-06-01,"Não","Sem mérito",1,28
"320",680,2020-05-06,2025-03-25,"Não","Sem mérito",1,1784
"321",681,2020-05-07,2022-04-01,"Não","Prejudicado",1,694
"322",682,2020-05-08,2020-06-16,"Não","Sem mérito",1,39
"323",683,2020-05-11,2022-03-30,"Não","Prejudicado",1,688
"324",684,2020-05-13,2024-03-18,"Não","Sem mérito",1,1405
"325",685,2020-05-27,2021-04-14,"Não","Sem mérito",1,322
"326",686,2020-05-27,2021-11-11,"Não","Sem mérito",1,533
"327",687,2020-05-27,2020-08-17,"Não","Sem mérito",1,82
"328",688,2020-06-03,2021-02-03,"Não","Sem mérito",1,245
"329",689,2020-06-08,2020-08-23,"Não","Sem mérito",1,76
"330",690,2020-06-08,2021-04-28,"Não","Procedente em parte",1,324
"331",691,2020-06-09,2021-04-28,"Não","Procedente em parte",1,323
"332",692,2020-06-09,2021-04-28,"Não","Procedente em parte",1,323
"333",693,2020-06-12,2022-03-28,"Sim","Sem mérito",1,654
"334",694,2020-06-16,2021-10-19,"Não","Sem mérito",1,490
"335",695,2020-06-16,2023-06-30,"Não","Procedente em parte",1,1109
"336",696,2020-06-16,2021-08-06,"Não","Sem mérito",1,416
"337",697,2020-06-18,2021-08-25,"Não","Sem mérito",1,433
"338",698,2020-06-19,2020-08-21,"Não","Prejudicado",1,63
"339",699,2020-06-19,2020-08-24,"Não","Prejudicado",1,66
"340",700,2020-06-19,2020-08-21,"Não","Prejudicado",1,63
"341",701,2020-06-22,2022-11-23,"Não","Prejudicado",1,884
"342",702,2020-06-22,2022-11-23,"Não","Prejudicado",1,884
"343",703,2020-06-22,2021-03-11,"Não","Sem mérito",1,262
"344",704,2020-06-23,2021-09-22,"Sim","Sem mérito",1,456
"345",705,2020-06-24,2021-08-20,"Não","Sem mérito",1,422
"346",706,2020-06-30,2022-04-06,"Não","Procedente",1,645
"347",707,2020-06-30,2023-03-10,"Não","Prejudicado",1,983
"348",708,2020-06-30,2023-06-19,"Não","Procedente",1,1084
"349",710,2020-07-01,2021-08-18,"Não","Sem mérito",1,413
"350",711,2020-07-02,2020-12-15,"Não","Sem mérito",1,166
"351",712,2020-07-02,2023-08-10,"Não","Sem mérito",1,1134
"352",713,2020-07-07,2022-04-06,"Não","Procedente",1,638
"353",714,2020-07-06,2021-12-13,"Não","Procedente em parte",1,525
"354",715,2020-07-07,2021-03-08,"Sim","Procedente em parte",1,244
"355",717,2020-07-09,2022-11-17,"Sim","Sem mérito",1,861
"356",718,2020-07-09,2021-03-05,"Não","Procedente em parte",1,239
"357",719,2020-07-09,2021-09-22,"Não","Sem mérito",1,440
"358",720,2020-07-15,2021-08-27,"Não","Sem mérito",1,408
"359",721,2020-07-17,2021-09-22,"Não","Sem mérito",1,432
"360",722,2020-07-27,2022-06-20,"Não","Procedente",1,693
"361",723,2020-08-05,2021-04-27,"Sim","Sem mérito",1,265
"362",724,2020-08-12,2020-12-09,"Não","Sem mérito",1,119
"363",725,2020-08-20,2020-12-07,"Não","Sem mérito",1,109
"364",726,2020-08-21,2021-08-25,"Não","Sem mérito",1,369
"365",727,2020-08-24,2023-09-19,"Sim","Sem mérito",1,1121
"366",728,2020-08-25,2021-05-04,"Não","Sem mérito",1,252
"367",729,2020-08-25,2020-12-09,"Não","Sem mérito",1,106
"368",730,2020-08-25,2023-09-25,"Não","Sem mérito",1,1126
"369",731,2020-08-25,2021-04-14,"Sim","Procedente",1,232
"370",732,2020-08-25,2021-05-27,"Não","Procedente",1,275
"371",733,2020-08-26,2020-09-25,"Não","Sem mérito",1,30
"372",734,2020-08-28,2023-05-15,"Sim","Improcedente",1,990
"373",735,2020-09-01,2023-02-15,"Não","Prejudicado",1,897
"374",736,2020-09-03,2020-10-05,"Não","Sem mérito",1,32
"375",737,2020-09-03,2021-09-27,"Sim","Sem mérito",1,389
"376",738,2020-09-03,2021-08-05,"Não","Prejudicado",1,336
"377",739,2020-09-08,2021-02-10,"Não","Sem mérito",1,155
