"","classe","numero","data_autuacao","data_baixa","evento","tempo"
"112","ADPF","112",2007-05-29,2019-09-09,1,4486
"113","ADPF","113",2007-05-31,2015-02-19,1,2821
"114","ADPF","114",2007-06-20,2019-11-04,1,4520
"115","ADPF","116",2007-06-25,2025-06-06,0,6556
"116","ADPF","117",2007-06-26,2008-03-05,1,253
"117","ADPF","118",2007-06-27,2019-10-28,1,4506
"118","ADPF","119",2007-08-15,2010-04-16,1,975
"119","ADPF","120",2007-09-04,2007-10-05,1,31
"120","ADPF","121",2007-09-13,2008-07-10,1,301
"121","ADPF","122",2007-09-17,2007-10-29,1,42
"122","ADPF","123",2007-09-25,2017-06-19,1,3555
"123","ADPF","124",2007-10-04,2007-11-19,1,46
"124","ADPF","125",2007-10-11,2015-08-14,1,2864
"125","ADPF","126",2007-12-10,2013-03-13,1,1920
"126","ADPF","127",2007-12-18,2017-05-08,1,3429
"127","ADPF","128",2007-12-18,2008-07-07,1,202
"128","ADPF","129",2008-02-12,2020-02-03,1,4374
"129","ADPF","130",2008-02-19,2011-05-06,1,1172
"130","ADPF","131",2008-02-19,2021-12-21,1,5054
"131","ADPF","132",2008-02-27,2014-12-01,1,2469
"132","ADPF","133",2008-03-06,2019-10-29,1,4254
"133","ADPF","134",2008-03-11,2009-09-09,1,547
"134","ADPF","135",2008-03-13,2008-04-24,1,42
"135","ADPF","136",2008-03-24,2008-04-30,1,37
"136","ADPF","137",2008-03-28,2010-09-22,1,908
"137","ADPF","138",2008-04-01,2008-06-20,1,80
"138","ADPF","139",2008-04-02,2014-02-25,1,2155
"139","ADPF","140",2008-04-08,2008-10-15,1,190
"140","ADPF","141",2008-05-21,2010-07-08,1,778
"141","ADPF","142",2008-05-21,2019-11-05,1,4185
"142","ADPF","143",2008-06-13,2009-01-05,1,206
"143","ADPF","144",2008-06-26,2010-04-12,1,655
"144","ADPF","145",2008-07-08,2017-09-22,1,3363
"145","ADPF","146",2008-08-05,2009-03-23,1,230
"146","ADPF","147",2008-08-05,2011-04-28,1,996
"147","ADPF","148",2008-08-29,2009-02-25,1,180
"148","ADPF","149",2008-09-03,2022-10-07,1,5147
"149","ADPF","150",2008-09-03,2008-09-25,1,22
"150","ADPF","151",2008-09-04,2019-05-03,1,3893
"151","ADPF","152",2008-09-05,2019-09-09,1,4021
"152","ADPF","153",2008-10-21,2025-06-06,0,6072
"153","ADPF","154",2008-11-14,2014-12-12,1,2219
"154","ADPF","155",2008-11-24,2017-05-19,1,3098
"155","ADPF","156",2008-12-05,2012-03-15,1,1196
"156","ADPF","157",2008-12-12,2019-11-04,1,3979
"157","ADPF","158",2008-12-18,2015-06-18,1,2373
"158","ADPF","159",2008-12-18,2009-10-22,1,308
"159","ADPF","160",2008-12-29,2018-11-26,1,3619
"160","ADPF","161",2009-01-08,2018-06-28,1,3458
"161","ADPF","162",2009-01-16,2010-04-12,1,451
"162","ADPF","163",2009-01-29,2009-02-19,1,21
"163","ADPF","164",2009-02-16,2020-02-21,1,4022
"164","ADPF","165",2009-03-05,2025-06-06,0,5937
"165","ADPF","166",2009-03-24,2010-03-26,1,367
"166","ADPF","167",2009-04-02,2020-11-06,1,4236
"167","ADPF","168",2009-05-05,2009-06-24,1,50
"168","ADPF","169",2009-05-06,2013-10-25,1,1633
"169","ADPF","170",2009-05-11,2018-08-24,1,3392
"170","ADPF","171",2009-05-25,2022-08-09,1,4824
"171","ADPF","172",2009-06-02,2009-09-14,1,104
"172","ADPF","173",2009-06-03,2018-03-15,1,3207
"173","ADPF","174",2009-06-15,2014-06-24,1,1835
"174","ADPF","175",2009-06-18,2023-10-14,1,5231
"175","ADPF","176",2009-06-23,2014-12-16,1,2002
"176","ADPF","177",2009-07-02,2023-02-09,1,4970
"177","ADPF","178",2009-07-02,2009-07-23,1,21
"178","ADPF","179",2009-07-06,2019-09-02,1,3710
"179","ADPF","180",2009-07-09,2009-08-10,1,32
"180","ADPF","181",2009-07-09,2020-09-24,1,4095
"181","ADPF","182",2009-07-10,2020-06-03,1,3981
"182","ADPF","183",2009-07-14,2020-02-10,1,3863
"183","ADPF","184",2009-07-17,2009-11-09,1,115
"184","ADPF","185",2009-07-17,2019-09-04,1,3701
"185","ADPF","186",2009-07-20,2014-11-05,1,1934
"186","ADPF","187",2009-07-21,2014-06-17,1,1792
"187","ADPF","188",2009-09-01,2022-09-30,1,4777
"188","ADPF","189",2009-09-08,2024-10-25,1,5526
"189","ADPF","190",2009-09-08,2017-05-16,1,2807
"190","ADPF","191",2009-09-17,2009-10-13,1,26
"191","ADPF","192",2009-09-21,2015-09-28,1,2198
"192","ADPF","193",2009-09-29,2019-03-08,1,3447
"193","ADPF","194",2009-10-09,2020-10-22,1,4031
"194","ADPF","195",2009-10-28,2018-11-29,1,3319
"195","ADPF","196",2009-11-06,2018-08-13,1,3202
"196","ADPF","197",2009-11-13,2010-02-04,1,83
"197","ADPF","198",2009-11-13,2020-10-16,1,3990
"198","ADPF","199",2009-11-17,2019-07-04,1,3516
"199","ADPF","200",2009-11-06,2015-02-20,1,1932
"200","ADPF","201",2009-11-20,2024-02-23,1,5208
"201","ADPF","202",2009-12-02,2011-02-16,1,441
"202","ADPF","203",2009-12-14,2018-05-30,1,3089
"203","ADPF","204",2009-12-14,2020-08-20,1,3902
"204","ADPF","205",2010-01-08,2017-08-18,1,2779
"205","ADPF","206",2010-01-08,2020-04-13,1,3748
"206","ADPF","207",2010-03-03,2011-05-06,1,429
"207","ADPF","208",2010-03-11,2010-05-12,1,62
"208","ADPF","209",2010-03-17,2023-10-06,1,4951
"209","ADPF","210",2010-03-18,2013-08-06,1,1237
"210","ADPF","211",2010-04-14,2017-04-25,1,2568
"211","ADPF","212",2010-04-27,2010-06-09,1,43
"212","ADPF","214",2010-05-27,2010-08-19,1,84
"213","ADPF","215",2010-07-15,2021-02-10,1,3863
"214","ADPF","216",2010-08-20,2020-04-14,1,3525
"215","ADPF","217",2010-09-10,2011-04-26,1,228
"216","ADPF","218",2010-09-23,2025-05-20,1,5353
"217","ADPF","219",2010-10-25,2025-06-06,0,5338
"218","ADPF","220",2010-10-29,2010-11-29,1,31
"219","ADPF","221",2010-11-18,2021-10-15,1,3984
"220","ADPF","222",2010-12-09,2019-10-18,1,3235
"221","ADPF","223",2010-12-28,2023-06-02,1,4539
"222","ADPF","224",2011-02-03,2017-11-30,1,2492
"223","ADPF","225",2011-02-24,2011-02-24,1,0
"224","ADPF","226",2011-03-06,2011-08-08,1,155
"225","ADPF","227",2011-03-30,2021-05-25,1,3709
"226","ADPF","228",2011-04-04,2011-08-24,1,142
"227","ADPF","229",2011-04-04,2012-03-30,1,361
"228","ADPF","233",2011-04-19,2019-09-02,1,3058
"229","ADPF","234",2011-05-04,2025-06-06,0,5147
"230","ADPF","235",2011-05-20,2019-09-17,1,3042
"231","ADPF","236",2011-06-16,2018-12-19,1,2743
"232","ADPF","237",2011-06-22,2014-11-10,1,1237
"233","ADPF","238",2011-07-28,2011-11-09,1,104
"234","ADPF","239",2011-08-17,2012-06-04,1,292
"235","ADPF","240",2011-09-20,2013-10-29,1,770
"236","ADPF","241",2011-09-22,2019-02-21,1,2709
"237","ADPF","242",2011-09-23,2020-08-25,1,3259
"238","ADPF","243",2011-09-30,2016-07-19,1,1754
"239","ADPF","244",2011-11-07,2011-12-05,1,28
"240","ADPF","245",2011-12-09,2018-03-23,1,2296
"241","ADPF","246",2011-12-15,2025-06-06,0,4922
"242","ADPF","247",2012-01-25,2018-11-07,1,2478
"243","ADPF","248",2012-02-02,2025-06-06,0,4873
"244","ADPF","249",2012-02-16,2014-09-19,1,946
"245","ADPF","250",2012-03-09,2019-11-04,1,2796
"246","ADPF","251",2012-03-27,2013-10-29,1,581
"247","ADPF","252",2012-03-28,2016-10-05,1,1652
"248","ADPF","253",2012-04-17,2020-10-08,1,3096
"249","ADPF","254",2012-05-04,2017-08-17,1,1931
"250","ADPF","255",2012-06-22,2015-08-12,1,1146
"251","ADPF","256",2012-06-22,2013-09-19,1,454
"252","ADPF","257",2012-06-22,2013-09-19,1,454
"253","ADPF","258",2012-06-22,2013-09-19,1,454
"254","ADPF","259",2012-06-22,2013-09-19,1,454
"255","ADPF","260",2012-07-04,2018-08-21,1,2239
"256","ADPF","261",2012-07-06,2018-03-20,1,2083
"257","ADPF","262",2012-07-12,2021-10-06,1,3373
"258","ADPF","263",2012-07-12,2021-11-19,1,3417
"259","ADPF","264",2012-08-08,2016-02-19,1,1290
"260","ADPF","265",2012-08-24,2016-10-04,1,1502
"261","ADPF","266",2012-09-13,2017-06-08,1,1729
"262","ADPF","267",2012-10-08,2012-10-09,1,1
"263","ADPF","268",2012-10-08,2012-10-09,1,1
"264","ADPF","269",2012-10-25,2021-04-29,1,3108
"265","ADPF","270",2012-11-30,2018-05-28,1,2005
"266","ADPF","271",2012-12-07,2015-03-31,1,844
"267","ADPF","272",2013-02-05,2021-04-29,1,3005
"268","ADPF","273",2013-04-30,2017-08-28,1,1581
"269","ADPF","274",2013-04-30,2020-12-02,1,2773
"270","ADPF","275",2013-05-29,2019-08-14,1,2268
"271","ADPF","276",2013-06-10,2020-09-08,1,2647
"272","ADPF","277",2013-06-10,2020-06-09,1,2556
"273","ADPF","278",2013-06-14,2015-02-20,1,616
"274","ADPF","279",2013-06-17,2022-03-25,1,3203
"275","ADPF","280",2013-06-17,2017-06-08,1,1452
"276","ADPF","281",2013-06-17,2020-10-28,1,2690
"277","ADPF","282",2013-06-17,2023-06-09,1,3644
"278","ADPF","283",2013-06-21,2019-09-12,1,2274
"279","ADPF","284",2013-07-03,2020-12-02,1,2709
"280","ADPF","285",2013-07-05,2019-08-29,1,2246
