"","ano","n","recorte"
"1",2000,10,"0"
"2",2001,16,"0"
"3",2002,10,"0"
"4",2003,10,"0"
"5",2004,16,"0"
"6",2005,24,"0"
"7",2006,20,"0"
"8",2007,21,"0"
"9",2008,32,"0"
"10",2009,44,"0"
"11",2010,18,"0"
"12",2011,20,"0"
"13",2012,25,"0"
"14",2013,34,"0"
"15",2014,15,"1"
"16",2015,48,"1"
"17",2016,59,"1"
"18",2017,68,"1"
"19",2018,54,"1"
"20",2019,82,"1"
"21",2020,135,"1"
"22",2021,154,"1"
"23",2022,109,"1"
"24",2023,74,"1"
"25",2024,89,"1"
"26",2025,30,"0"
