"","classe","numero","data_autuacao","data_baixa","tem_rito_art_12","evento","tempo"
"97","ADPF","413",2016-06-16,2018-08-14,"Não",1,789
"98","ADPF","414",2016-07-08,2017-03-30,"Não",1,265
"99","ADPF","415",2016-07-14,2018-10-01,"Não",1,809
"100","ADPF","416",2016-07-19,2017-11-24,"Não",1,493
"101","ADPF","417",2016-07-27,2017-08-22,"Não",1,391
"102","ADPF","418",2016-07-27,2020-05-15,"Não",1,1388
"103","ADPF","419",2016-08-05,2021-09-01,"Não",1,1853
"104","ADPF","420",2016-08-05,2025-06-06,"Não",0,3227
"105","ADPF","421",2016-08-24,2017-06-16,"Não",1,296
"106","ADPF","422",2016-09-13,2025-06-06,"Não",0,3188
"107","ADPF","423",2016-10-04,2020-07-09,"Sim",1,1374
"108","ADPF","424",2016-10-26,2025-06-06,"Não",0,3145
"109","ADPF","425",2016-10-31,2018-11-16,"Não",1,746
"110","ADPF","426",2016-11-03,2021-11-26,"Não",1,1849
"111","ADPF","427",2016-11-04,2022-12-01,"Não",1,2218
"112","ADPF","428",2016-11-07,2017-05-26,"Não",1,200
"113","ADPF","429",2016-11-09,2025-06-06,"Não",0,3131
"114","ADPF","430",2016-11-11,2023-05-19,"Não",1,2380
"115","ADPF","431",2016-11-11,2017-03-21,"Não",1,130
"116","ADPF","432",2016-11-11,2017-02-13,"Não",1,94
"117","ADPF","433",2016-11-17,2025-06-06,"Não",0,3123
"118","ADPF","434",2016-11-18,2025-06-06,"Não",0,3122
"119","ADPF","435",2016-11-23,2018-10-02,"Não",1,678
"120","ADPF","436",2016-11-30,2017-02-24,"Não",1,86
"121","ADPF","437",2016-12-20,2020-10-26,"Não",1,1406
"122","ADPF","438",2016-12-20,2020-02-07,"Não",1,1144
"123","ADPF","439",2017-01-02,2017-06-13,"Não",1,162
"124","ADPF","440",2017-02-15,2020-02-10,"Não",1,1090
"125","ADPF","441",2017-02-24,2017-08-25,"Não",1,182
"126","ADPF","442",2017-03-08,2025-06-06,"Não",0,3012
"127","ADPF","443",2017-03-14,2020-05-19,"Não",1,1162
"128","ADPF","444",2017-03-14,2020-06-18,"Sim",1,1192
"129","ADPF","445",2017-03-22,2025-06-06,"Não",0,2998
"130","ADPF","446",2017-03-22,2019-11-06,"Não",1,959
"131","ADPF","447",2017-03-29,2017-08-23,"Não",1,147
"132","ADPF","448",2017-04-05,2020-12-15,"Não",1,1350
"133","ADPF","449",2017-04-07,2019-11-04,"Não",1,941
"134","ADPF","450",2017-04-18,2019-10-08,"Sim",1,903
"135","ADPF","451",2017-04-27,2019-02-21,"Não",1,665
"136","ADPF","452",2017-05-03,2020-05-27,"Não",1,1120
"137","ADPF","453",2017-05-04,2019-12-13,"Não",1,953
"138","ADPF","454",2017-05-08,2025-06-06,"Não",0,2951
"139","ADPF","455",2017-05-11,2023-08-14,"Sim",1,2286
"140","ADPF","456",2017-05-16,2017-08-31,"Não",1,107
"141","ADPF","457",2017-05-22,2020-06-16,"Não",1,1121
"142","ADPF","458",2017-05-23,2019-11-22,"Não",1,913
"143","ADPF","459",2017-05-25,2017-08-03,"Não",1,70
"144","ADPF","460",2017-06-06,2020-09-11,"Não",1,1193
"145","ADPF","461",2017-06-06,2020-10-08,"Não",1,1220
"146","ADPF","462",2017-06-06,2024-08-30,"Não",1,2642
"147","ADPF","463",2017-06-07,2019-03-08,"Não",1,639
"148","ADPF","464",2017-06-08,2018-11-08,"Não",1,518
"149","ADPF","465",2017-06-08,2020-10-01,"Não",1,1211
"150","ADPF","466",2017-06-08,2025-06-06,"Não",0,2920
"151","ADPF","467",2017-06-08,2020-08-14,"Não",1,1163
"152","ADPF","468",2017-06-09,2018-06-27,"Não",1,383
"153","ADPF","469",2017-06-20,2017-08-24,"Não",1,65
"154","ADPF","470",2017-06-22,2022-09-01,"Não",1,1897
"155","ADPF","471",2017-06-26,2020-05-26,"Sim",1,1065
"156","ADPF","472",2017-07-13,2017-11-06,"Não",1,116
"157","ADPF","473",2017-07-25,2025-06-06,"Não",0,2873
"158","ADPF","474",2017-08-19,2024-09-30,"Não",1,2599
"159","ADPF","475",2017-08-19,2023-05-12,"Sim",1,2092
"160","ADPF","476",2017-08-22,2020-03-20,"Não",1,941
"161","ADPF","477",2017-08-24,2019-10-29,"Não",1,796
"162","ADPF","478",2017-08-29,2018-02-26,"Não",1,181
"163","ADPF","479",2017-08-30,2017-11-21,"Não",1,83
"164","ADPF","480",2017-09-15,2018-05-04,"Não",1,231
"165","ADPF","481",2017-09-15,2018-08-07,"Não",1,326
"166","ADPF","482",2017-09-15,2020-04-06,"Não",1,934
"167","ADPF","483",2017-09-21,2019-06-25,"Sim",1,642
"168","ADPF","484",2017-09-25,2020-11-19,"Não",1,1151
"169","ADPF","485",2017-09-25,2021-02-17,"Não",1,1241
"170","ADPF","486",2017-10-06,2023-09-06,"Não",1,2161
"171","ADPF","487",2017-10-09,2018-03-23,"Não",1,165
"172","ADPF","488",2017-10-11,2024-03-04,"Não",1,2336
"173","ADPF","489",2017-10-20,2020-04-02,"Não",1,895
"174","ADPF","490",2017-10-20,2025-06-06,"Sim",0,2786
"175","ADPF","491",2017-10-20,2020-06-08,"Não",1,962
"176","ADPF","492",2017-10-23,2021-02-08,"Sim",1,1204
"177","ADPF","493",2017-10-23,2021-02-12,"Não",1,1208
"178","ADPF","494",2017-10-27,2023-03-24,"Sim",1,1974
"179","ADPF","495",2017-10-30,2023-05-26,"Sim",1,2034
"180","ADPF","496",2017-10-30,2022-11-22,"Sim",1,1849
"181","ADPF","497",2017-11-21,2019-11-04,"Não",1,713
"182","ADPF","498",2017-11-23,2020-06-01,"Não",1,921
"183","ADPF","499",2017-11-23,2023-08-09,"Sim",1,2085
"184","ADPF","500",2017-11-28,2022-05-11,"Não",1,1625
"185","ADPF","501",2017-11-30,2022-09-20,"Não",1,1755
"186","ADPF","502",2017-12-18,2018-03-19,"Não",1,91
"187","ADPF","503",2017-12-13,2019-11-05,"Não",1,692
"188","ADPF","504",2017-12-14,2020-12-09,"Não",1,1091
"189","ADPF","505",2017-12-21,2018-08-26,"Não",1,248
"190","ADPF","506",2017-12-21,2018-04-13,"Não",1,113
"191","ADPF","507",2018-01-08,2018-04-13,"Não",1,95
"192","ADPF","508",2018-01-19,2020-08-11,"Não",1,935
"193","ADPF","509",2018-01-26,2025-06-06,"Não",0,2688
"194","ADPF","510",2018-02-06,2018-08-09,"Não",1,184
"195","ADPF","511",2018-02-21,2024-04-11,"Sim",1,2241
"196","ADPF","512",2018-02-23,2024-02-09,"Não",1,2177
"197","ADPF","513",2018-03-02,2021-02-17,"Não",1,1083
"198","ADPF","514",2018-04-20,2019-10-02,"Não",1,530
"199","ADPF","515",2018-05-02,2020-12-09,"Não",1,952
"200","ADPF","516",2018-05-10,2019-09-23,"Não",1,501
"201","ADPF","517",2018-05-16,2019-10-09,"Não",1,511
"202","ADPF","518",2018-05-16,2023-04-28,"Sim",1,1808
"203","ADPF","519",2018-05-25,2025-06-06,"Não",0,2569
"204","ADPF","520",2018-06-07,2018-08-24,"Não",1,78
"205","ADPF","521",2018-06-11,2018-09-28,"Não",1,109
"206","ADPF","522",2018-06-12,2025-06-06,"Não",0,2551
"207","ADPF","523",2018-06-12,2021-03-11,"Não",1,1003
"208","ADPF","524",2018-06-15,2023-09-19,"Não",1,1922
"209","ADPF","525",2018-06-19,2019-03-28,"Não",1,282
"210","ADPF","526",2018-06-25,2020-06-23,"Sim",1,729
"211","ADPF","527",2018-06-25,2023-11-28,"Não",1,1982
"212","ADPF","528",2018-06-26,2022-08-08,"Não",1,1504
"213","ADPF","529",2018-06-26,2020-04-29,"Sim",1,673
"214","ADPF","530",2018-06-27,2020-12-21,"Não",1,908
"215","ADPF","531",2018-06-28,2018-09-05,"Não",1,69
"216","ADPF","532",2018-07-13,2018-08-31,"Não",1,49
"217","ADPF","533",2018-07-23,2022-12-13,"Não",1,1604
"218","ADPF","534",2018-07-25,2020-09-28,"Não",1,796
"219","ADPF","535",2018-07-30,2021-08-25,"Não",1,1122
"220","ADPF","536",2018-08-03,2018-11-09,"Não",1,98
"221","ADPF","537",2018-08-16,2018-09-27,"Não",1,42
"222","ADPF","538",2018-08-30,2019-08-30,"Não",1,365
"223","ADPF","539",2018-09-10,2021-03-16,"Sim",1,918
"224","ADPF","540",2018-09-12,2019-04-05,"Não",1,205
