face;282;nom
ementa;282;nom
principio;281;nom
formular;281;ver
realizar;280;ver
procedimento;280;nom
populacao;276;nom
somente;275;adv
paragrafar;274;nr
ele;273;pro_per
entender;271;ver
realizacao;270;nom
evidenciar;270;ver
sanitario;269;adj
local;269;nom
economico;267;adj
defesa;267;nom
brasilia;266;nom
seguimento;265;nom
individual;265;adj
liminar;264;nom
sustentar;263;ver
manifestacao;263;nom
impugnacao;263;nom
base;263;nom
legislativo;261;adj
arts;261;nr
relatoria;260;nr
atuacao;259;nom
valor;258;nom_sup
conhecido;257;adj
conferir;257;ver
representacao;255;nom
eventual;255;adj
texto;254;nom
dias_toffoli;254;nr
regra;252;nom
r;252;nom_sup
ente;252;nom
d;252;nom_sup
cargo;252;nom
edoc;251;nr
relatorio;250;nom
necessidade;249;nom
mc;247;nr
diverso;247;adj
acordo;247;nom
preceito;245;nom
legitimidade;245;nom
contexto;244;nom
uso;243;nom
criterio;243;nom
tecnica;242;nom
politica;242;nom
respectivo;241;adj
pleno;241;adj
permitir;241;ver
edson_fachin;241;nr
praticar;240;ver
pai;240;nom
gilmar_mendes;240;nr
capaz;239;adj
veicular;238;adj
revelar;238;ver
observancia;237;nom
especificar;237;ver
demonstrar;237;ver
decidir;237;ver
ante;237;pre
respeito;236;nom
porque;236;adv
suprema_corte;234;nr
amplo;234;adj
regulamentar;232;adj
dezembro;231;nom
dizer;229;ver_sup
carmen_lucia;229;nr
advogado_geral_da_uniao;229;nr
omissao;227;nom
peticao_inicial;224;nr
data;224;nom
verificar;223;ver
suspensao;223;nom
ordinario;223;adj
codigo;222;nom
conhecer;220;ver
alegar;220;ver
maior;219;adj
autorizar;219;ver
mediante;218;pre
educacao;218;nom
tese;217;nom
subjetivo;217;adj
pretensao;217;nom
ms;217;nr
mecanismo;217;nom
b;217;nom
ativo;217;adj
prestar;215;ver
pressuposto;215;nom
internacional;215;adj
ora;214;conj
contar;214;ver
assentar;213;ver
manifestar;212;ver
atender;212;ver
liberdade;211;nom
justica;211;nom
determinado;211;adj
impedir;210;ver
inobservancia;209;nom
inelegibilidade;209;nom
funcao;209;nom
ajuizado;209;adj
tribunal_de_justica;207;nr
destacar;207;ver
prefeito;206;nom
arguente;206;nr
justificar;205;ver
exigencia;205;nom
diante;205;adv
cabivel;205;adj
diretor;204;nom
programa;203;nom
limite;203;nom
grifar;203;ver
existir;201;ver
constituir;200;ver
afastar;200;ver
regional;199;adj
mencionar;199;ver
instituicao;199;nom
empresa;199;nom
lei_complementar;198;nr
proposta;197;nom
alteracao;197;nom
transitar;196;ver
roberto_barroso;196;nr
declarar;196;ver
cada;196;pro_ind
senhor;195;nom
militar;195;adj
legislacao;195;nom
disponivel;195;adj
governo_federal;194;nr
declaracao;194;nom
tutela;193;nom
supremo;192;adj
perante;192;pre
contrariar;192;ver
civil;192;adj
vida;191;nom
mandar;191;ver
inexistencia;191;nom
financeiro;191;adj
entidade;191;nom
tema;190;nom
material;190;nom
legitimar;190;ver
evento;190;nom
incluir;189;ver
constituicao_da_republica;189;nr
superveniente;188;adj
pagamento;188;nom
possuir;187;ver
imunizacao;187;nom
ela;187;pro_per
trabalho;186;nom_sup
sessao;186;nom
in;186;pre
cuja;186;pre
previsao;185;nom
sp;184;nr
prejudicar;184;ver
promover;183;ver
partir;183;ver
membro;183;nom
ademais;183;adv
anterior;182;adj
acercar;182;ver
sao_paulo;181;nr
mostrar;181;ver
momento;181;nom
indicar;181;ver
ensino;181;nom
pena;180;nom
luiz_fux;180;nr
causar;180;ver
rosa_weber;179;nr
fundamental;178;adj
especie;178;nom
disposto;178;adj
atendimento;178;nom
politicar;177;nr
juizo;177;nom
concessao;177;nom
sempre;176;adv
instituto;176;nom
firmar;176;ver
execucao;176;nom
sucedaneo;175;nom
ficar;175;ver
evitar;175;ver
cumprimento;175;nom
aplicar;175;ver
ressaltar;174;ver
jurisdicional;174;adj
submeter;173;ver
governo;173;nom
violar;172;ver
exercer;172;ver
controle_de_constitucionalidade;172;nr
revogar;171;ver
prova;171;nom
impossibilidade;170;nom
estatal;170;adj
enem;170;nr
nota;169;nom
maneira;169;nom
destinar;169;ver
controle_concentrado;169;nr
coletivo;169;adj
razoar;168;ver
mero;167;adj
contrato;167;nom
area;167;nom
editar;166;ver
demanda;166;nom
pleito;165;nom
diploma;165;nom
deferir;165;ver
cientificar;165;nr
iniciar;164;ver_sup
crianca;164;nom
solucao;163;nom
proc;163;nr
organizacao;163;nom
secretaria;162;nom
regimento_interno;162;nr
quadro;162;nom
prejuizo;162;nom
postulado;162;nom
nem;162;conj
peticao;160;nom
manter;160;ver
so;159;nom
pretender;159;ver
j;159;nom_sup
configurar;159;ver
levar;158;ver
busca;158;nom
admissibilidade;158;nom
tribunal_superior_eleitoral;157;nr
territorio;157;nom
assegurar;157;ver
grave;156;adj
cumprir;155;ver
controle_concentrado_de_constitucionalidade;155;nr
essencial;154;adj
definir;154;ver
congresso_nacional;154;nr
causa;154;nom
preliminar;153;adj
poder_judiciario;153;nr
embora;153;adv
tanto;152;pro_ind
representar;152;ver
publico;152;nom
fixar;152;ver
final;152;nom
exemplo;152;nom
taxa;151;nom
improcedencia;151;nom
garantia;151;nom
envolver;151;ver
alegacao;151;nom
redacao;150;nom
doer;150;ver
superior;149;adj
relacionar;149;ver
privado;149;adj
pag;149;nr
tratamento;148;nom
tecnico;148;nom
negativo;148;adj
executivo;148;adj
embargos_de_declaracao;148;nr
atribuicao;148;nom
trazer;147;ver
passar;147;ver
minha;147;pro_pos
carta;147;nom
agravante;147;nom
adolescente;147;adj
penal;146;adj
item;146;nom
deixar;146;ver
conteudo;146;nom
ambiental;146;adj
providenciar;145;ver
nosso;145;pro_pos
efetivo;145;adj
defender;145;ver
ultimar;144;ver
teor;144;nom
revogacao;144;nom
marco;144;nom
tornar;143;ver
legalidade;143;nom
impor;143;ver
candidato;143;nom
relativo;142;adj
oxigenio;142;nom
marco_aurelio;142;nr
intervencao;142;nom
controle_abstrato_de_constitucionalidade;142;nr
conselho;142;nom
visar;141;ver
intdo;141;nr
incidental;141;adj
garantir;141;ver
diretorio;141;adj
cautelar;141;adj
caracterizar;141;ver
autonomia;141;nom
especialmente;140;adv
disposicao;140;nom
regime;139;nom
parametro;139;nom
indicacao;139;nom
entao;139;adv
tse;138;nr
ordenamento;138;nom
menos;138;adv
discutir;138;ver
tomar;137;ver
previo;137;adj
lhe;137;pro_per
grupo;137;nom
chefe;137;nom
atual;137;adj
argumento;137;nom
antes;137;adv
virtual;136;adj
validade;136;nom
linha;136;nom
finalidade;136;nom
cujo;136;pre
agravar;136;ver
procurador_geral_da_republica;135;nr
detran;135;nr
conjunto;135;nom
organico;134;adj
efetividade;134;nom
assinar;134;ver
administracao_publica;134;nr
requerimento;133;nom
interpor;133;ver
autorizacao;133;nom
periodo;132;nom
investigacao;132;nom
incidencia;132;nom
idoneo;132;adj
apreciacao;132;nom
agdo;132;nr
significar;131;ver
responsavel;131;adj
referir;131;ver
orientacao;131;nom
informar;131;ver
elemento;131;nom
concluir;131;ver
produto;130;nom
preservacao;130;nom
instauracao;130;nom
acima;130;adv
sumular;129;nr
relevancia;129;nom
partido_politico;129;nr
indole;129;nom
enfrentamento;129;nom
edital;129;nom
ed;129;nr
doenca;129;nom
campo;129;nom
aprovar;129;ver
saude_publica;128;nr
inquerito;128;nom
inc;128;nr
governador;128;nom
concentrado;128;adj
reger;127;ver
posto;127;nom
manaus;127;nom
constante;127;adj
citar;127;ver
habeas_corpus;126;nr
argumentar;126;ver
profissional;125;adj
mandato;125;nom
indireto;125;adj
implicar;125;ver
grifo;125;nom
