a;33072;pre
ser;28253;ver_sup
em;21315;pre
o;18791;ono
que;11947;pro_ind
nao;5360;adv
ao;4143;adv
n;3757;nom_sup
com;3625;pre
como;2660;adv
outro;1773;pro_ind
poder;1767;ver_sup
ter;1603;ver_sup
s;1519;nom_sup
estado;1513;nom_sup
ir;1400;ver_sup
meio;1368;adv
estar;1308;ver_sup
haver;1283;ver_sup
qual;1187;pro_ind
uma;1102;art_def
um;1072;art_def
sobre;1069;pre
todo;1063;pro_ind
seu;995;pro_pos
i;945;sw
contra;819;pre
qualquer;795;pro_ind
mesmo;795;adv
sem;767;pre
ainda;751;adv
bem;702;adv
mais;685;adv
ver;668;ver_sup
ja;663;adv
assim;652;adv
quando;649;adv
fazer;633;ver_sup
tambem;586;adv
tal;585;pro_ind
entre;540;pre
parte;529;nom_sup
quanto;493;pro_ind
fim;461;nom_sup
sob;430;pre
esse;396;pro_dem
apenas;392;adv
essa;376;pro_dem
segundo;366;adj_num
isso;341;pro_ind
p;338;nom_sup
este;337;pro_dem
v;336;nom_sup
desde;324;pre
demais;316;adv
primeiro;301;adj_num
inclusive;284;adv
somente;275;adv
ele;273;pro_per
valor;258;nom_sup
r;252;nom_sup
d;252;nom_sup
ante;237;pre
porque;236;adv
dizer;229;ver_sup
mediante;218;pre
diante;205;adv
cada;196;pro_ind
perante;192;pre
ela;187;pro_per
trabalho;186;nom_sup
in;186;pre
cuja;186;pre
ademais;183;adv
sempre;176;adv
iniciar;164;ver_sup
j;159;nom_sup
embora;153;adv
tanto;152;pro_ind
minha;147;pro_pos
nosso;145;pro_pos
especialmente;140;adv
entao;139;adv
menos;138;adv
lhe;137;pro_per
antes;137;adv
cujo;136;pre
acima;130;adv
tempo;122;nom_sup
expressamente;118;adv
diretamente;117;adv
sobretudo;113;adv
muito;112;adv
m;111;nom_sup
algum;111;pro_ind
aqui;110;adv
dentro;108;adv
eis;107;adv
terceiro;106;adj_num
t;106;nom_sup
g;103;nom_sup
tres;102;adj_num
mil;101;adj_num
durante;99;pre
verdadeiro;98;adj_sup
digitalmente;97;adv
si;93;pro_per
saber;93;ver_sup
maioria;90;nom_sup
tampouco;85;adv
entanto;84;adv
notadamente;82;adv
especificamente;81;adv
tao;80;adv
ambos;78;adj_num
juridicamente;75;adv
igualmente;75;adv
nenhum;74;pro_ind
nada;73;adv
exclusivamente;72;adv
parcialmente;71;adv
lhes;71;pro_per
eventualmente;71;adv
meramente;68;adv
cinco;68;adj_num
excelencia;66;pro_ind
povo;65;nom_sup
legitimamente;65;adv
independentemente;65;adv
alegadamente;62;adv
