"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 100";0,0129356431994405;0,336535598469843;89,870820530819
"facteur 101";0,0126423210250465;0,328904485584135;90,1997250164032
"facteur 102";0,0124344197345982;0,323495694994836;90,523220711398
"facteur 103";0,0122555945260362;0,318843352033837;90,8420640634318
"facteur 104";0,0116495699264477;0,303076926803525;91,1451409902354
"facteur 105";0,0115183177191196;0,29966225004856;91,4448032402839
"facteur 106";0,0113910054346124;0,296350074905925;91,7411533151898
"facteur 107";0,0111617408201773;0,290385492933671;92,0315388081235
"facteur 108";0,0108738218951787;0,282894951779957;92,3144337599035
"facteur 109";0,0106594729043823;0,277318416868867;92,5917521767723
"facteur 110";0,0104683858797504;0,272347068695232;92,8640992454676
"facteur 111";0,0101611322238392;0,264353512334728;93,1284527578023
"facteur 112";0,0100894844013456;0,262489512033374;93,3909422698357
"facteur 113";0,00991241801960276;0,25788292696992;93,6488251968056
"facteur 114";0,00973441628167617;0,253252007542242;93,9020772043478
"facteur 115";0,00944241093968188;0,245655153562172;94,14773235791
"facteur 116";0,00924451378857607;0,240506632135286;94,3882389900453
"facteur 117";0,00885616176341025;0,23040320865714;94,6186421987024
"facteur 118";0,00879903808091147;0,228917070520819;94,8475592692233
"facteur 119";0,00857970475524911;0,223210862419829;95,0707701316431
"facteur 120";0,00843329549407031;0,21940185751975;95,2901719891628
"facteur 121";0,00834685234096825;0,217152939718425;95,5073249288813
"facteur 122";0,00815165930178636;0,212074768865578;95,7193996977468
"facteur 123";0,00788902320844209;0,205241989583507;95,9246416873303
"facteur 124";0,00777050944975444;0,202158718184325;96,1268004055147
"facteur 125";0,00757472382995116;0,197065130666765;96,3238655361814
"facteur 126";0,00750933892705768;0,19536406740405;96,5192296035855
"facteur 127";0,00718727400905789;0,186985179067838;96,7062147826533
"facteur 128";0,00695592612395467;0,180966398419086;96,8871811810724
"facteur 129";0,00689134014520749;0,179286120084617;97,066467301157
"facteur 130";0,0067848615264864;0,176515956659184;97,2429832578162
"facteur 131";0,00676173966252042;0,175914414841158;97,4188976726574
"facteur 132";0,00660134896134665;0,171741666739166;97,5906393393965
"facteur 133";0,00646467602075163;0,168185963389233;97,7588253027858
"facteur 134";0,00615323885843628;0,160083568310025;97,9189088710958
"facteur 135";0,00602378367527504;0,156715643200427;98,0756245142962
"facteur 136";0,00594477362448056;0,154660106083386;98,2302846203796
"facteur 137";0,00579185421999316;0,150681732336262;98,3809663527159
"facteur 138";0,00563334960815881;0,146558053012283;98,5275244057281
"facteur 139";0,00551159024478594;0,14339034348364;98,6709147492118
"facteur 140";0,00536080610401411;0,139467521071794;98,8103822702836
"facteur 141";0,00519629337922017;0,135187533796261;98,9455698040798
"facteur 142";0,00499820067921188;0,13003392494033;99,0756037290202
"facteur 143";0,00479463929570433;0,124738042009126;99,2003417710293
"facteur 144";0,00470690228056999;0,122455462902625;99,3227972339319
"facteur 145";0,00452690261913059;0,11777256520261;99,4405697991345
"facteur 146";0,00445945863083404;0,116017932470814;99,5565877316053
"facteur 147";0,00439721663412935;0,114398635518354;99,6709863671237
"facteur 148";0,00367338332622461;0,0955672815831538;99,7665536487069
"facteur 149";0,00285819391174247;0,0743591937254976;99,8409128424323
"facteur 150";0,00251801679511673;0,0655090957625034;99,9064219381949
"facteur 151";0,00219699522353477;0,0571573512803473;99,9635792894752
"facteur 152";0,000693564229838826;0,0180438691426013;99,9816231586178
"facteur 153";0,000342749664175027;0,00891702573888782;99,9905401843567
"facteur 154";0,000324099168931198;0,00843181170802211;99,9989719960647
"facteur 155";3,95140727311351e-05;0,00102800393529164;100
