"";"*adpf_1003";"*adpf_1016";"*adpf_1021";"*adpf_1035";"*adpf_1041";"*adpf_1045";"*adpf_1048";"*adpf_1061";"*adpf_1065";"*adpf_1067";"*adpf_1072";"*adpf_1074";"*adpf_1093";"*adpf_1112";"*adpf_1124";"*adpf_1127";"*adpf_1129";"*adpf_1131";"*adpf_1134";"*adpf_1140";"*adpf_1177";"*adpf_1195";"*adpf_340";"*adpf_343";"*adpf_344";"*adpf_350";"*adpf_355";"*adpf_360";"*adpf_365";"*adpf_375";"*adpf_382";"*adpf_383";"*adpf_390";"*adpf_397";"*adpf_407";"*adpf_409";"*adpf_410";"*adpf_412";"*adpf_417";"*adpf_426";"*adpf_436";"*adpf_450";"*adpf_456";"*adpf_458";"*adpf_470";"*adpf_500";"*adpf_503";"*adpf_506";"*adpf_507";"*adpf_518";"*adpf_533";"*adpf_545";"*adpf_546";"*adpf_550";"*adpf_551";"*adpf_558";"*adpf_563";"*adpf_570";"*adpf_571";"*adpf_576";"*adpf_579";"*adpf_592";"*adpf_601";"*adpf_602";"*adpf_603";"*adpf_612";"*adpf_617";"*adpf_621";"*adpf_629";"*adpf_639";"*adpf_645";"*adpf_656";"*adpf_658";"*adpf_669";"*adpf_671";"*adpf_673";"*adpf_678";"*adpf_679";"*adpf_684";"*adpf_685";"*adpf_686";"*adpf_689";"*adpf_693";"*adpf_697";"*adpf_704";"*adpf_705";"*adpf_710";"*adpf_711";"*adpf_712";"*adpf_719";"*adpf_721";"*adpf_724";"*adpf_726";"*adpf_729";"*adpf_730";"*adpf_736";"*adpf_737";"*adpf_752";"*adpf_753";"*adpf_754";"*adpf_755";"*adpf_756";"*adpf_757";"*adpf_773";"*adpf_776";"*adpf_778";"*adpf_780";"*adpf_782";"*adpf_784";"*adpf_786";"*adpf_790";"*adpf_797";"*adpf_799";"*adpf_801";"*adpf_803";"*adpf_805";"*adpf_806";"*adpf_807";"*adpf_813";"*adpf_815";"*adpf_816";"*adpf_830";"*adpf_831";"*adpf_841";"*adpf_843";"*adpf_845";"*adpf_864";"*adpf_869";"*adpf_874";"*adpf_891";"*adpf_894";"*adpf_895";"*adpf_906";"*adpf_908";"*adpf_911";"*adpf_921";"*adpf_922";"*adpf_923";"*adpf_924";"*adpf_930";"*adpf_932";"*adpf_939";"*adpf_940";"*adpf_952";"*adpf_954";"*adpf_958";"*adpf_960";"*adpf_963";"*adpf_978";"*adpf_980";"*adpf_986";"*adpf_993";"*adpf_996";"*adpf_997";"*adpf_998";"*adpf_999"
"subscritor";0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"relogio";0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"guardar";0;0;0;0;1;0;0;0;0;0;0;0;0;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"compensatorio";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"prazo";13;1;5;0;1;2;0;0;2;0;1;0;0;0;2;0;1;1;0;4;0;0;0;0;1;5;0;1;0;13;14;0;0;0;0;1;0;0;0;0;1;3;0;0;12;0;3;0;4;10;7;0;2;2;1;1;0;1;0;0;0;0;0;2;85;0;0;0;0;0;3;51;13;1;0;9;0;0;1;2;1;1;3;0;3;0;9;1;0;1;1;1;1;0;0;0;1;1;0;19;3;34;0;4;3;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;2;0;1;0;14;0;12;1;27;5;0;2;0;0;1;6;0;4;0;0;0;57;0;3;1;0;0;0;0;1;17;10;1;5;1;1
"igual";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;1;0;0;1;0;2;2;0;1;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"adequado";1;0;4;0;1;0;1;1;0;2;1;0;1;0;4;1;2;0;3;5;4;0;2;0;4;0;1;0;0;8;1;0;0;1;0;0;0;1;1;0;2;0;0;0;0;0;0;1;0;1;3;0;0;1;1;1;2;13;2;0;0;0;3;2;6;2;2;2;0;0;6;1;1;3;7;3;2;1;3;0;7;1;1;1;2;0;1;13;3;3;3;2;2;1;2;0;0;1;0;13;1;27;0;2;3;1;1;3;1;1;1;1;1;1;0;0;0;0;4;1;2;2;6;1;1;0;3;4;3;0;0;0;0;0;0;2;0;3;2;0;1;9;6;0;1;0;1;0;0;3;6;3;0;1;0;1
"estrangeiro";0;0;0;0;0;1;0;0;0;0;9;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;4;0;0;0;0;0;0;41;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"regional";0;1;1;0;0;0;6;0;0;0;12;6;0;0;1;0;1;7;0;12;0;0;3;11;3;0;0;0;0;1;0;0;0;0;0;0;7;0;0;0;1;2;0;0;0;0;0;0;4;0;0;0;0;0;6;3;0;0;0;0;0;0;0;0;3;0;0;23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;3;0;0;0;0;0;0;0;0;6;0;0;0;0;0;3;0;7;2;0;15;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;12;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;12;1;0;7
"atingir";0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;11;0;6;2;0;3;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;3;0;0;1;0;0;0;0;2;7;0;0;0;3;0;0;1;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"prudenciar";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"planejamento";0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;22;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0
"basico";0;3;7;0;0;0;1;1;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;5;0;8;0;1;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0
"imediatamente";0;7;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;10;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0
"edicao";0;0;0;0;0;0;0;0;2;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;7;0;0;0;0;1;0;3;0;1;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;0;0;0;0;1;2;1;2;2;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;5;0;2;9;4;5;1;0;1;0;0;0;0;2;0;1;1;0;1;0;1;1;0;1;0;1;1;0;0;0;0;0;12;0;0;8;0;0;0;0;0;0;0;1;1;0;2;1;0;0;0;2;0;1;10;0;1;1;0;0
"consequentemente";0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1;0;0;0;0;0;1;0;3;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"aproveitamento";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"numerar";0;3;0;0;0;0;0;0;1;0;1;0;0;0;3;1;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;4;0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;15;0;27;2;2;0;1;0;0;0;0;0;0;0;6;0;0;0;1;1;0;0;1;0;0;0;0;0;1;13;0;0;1;1;1;2;0;0;0;0;0;0;1;0;0;0;1;5;0;0;0;1;0;1;0;0;0
"ementa";0;5;2;0;2;1;0;0;1;0;17;2;1;0;3;1;4;0;2;2;3;1;2;1;0;1;0;4;0;4;1;0;1;0;0;1;0;2;0;2;0;2;0;1;0;2;1;0;0;8;6;10;2;1;2;0;1;0;0;0;5;1;1;0;6;1;1;3;1;2;4;2;0;2;2;1;0;0;1;2;0;2;3;1;3;0;0;1;0;3;3;0;0;6;0;0;0;0;1;6;1;14;3;0;3;2;0;1;0;0;1;0;0;0;1;2;1;1;1;0;0;1;2;0;14;0;1;9;1;4;3;11;1;1;1;0;2;1;0;0;0;6;1;0;0;11;3;1;1;0;6;1;0;1;0;2
"ajuizamento";0;2;4;0;4;0;3;1;4;1;8;2;0;4;9;1;3;0;1;4;1;0;4;1;0;2;1;0;0;0;8;1;3;1;0;0;3;4;0;4;2;8;3;3;1;0;7;0;1;1;2;12;2;0;8;1;2;2;2;1;1;4;1;0;6;2;3;7;14;1;0;2;0;0;2;10;1;3;2;1;2;1;1;3;5;1;0;5;0;5;5;0;2;6;3;3;0;1;9;2;3;3;3;1;5;21;1;0;0;2;2;0;0;1;5;0;0;2;2;0;0;2;3;1;12;0;4;6;1;2;0;8;3;3;0;2;0;1;1;0;0;2;1;1;1;6;6;5;2;1;2;2;3;1;1;3
"retomada";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"linha";0;0;1;0;0;0;1;1;0;1;2;0;0;0;3;1;0;0;1;0;2;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;3;0;0;0;0;0;0;0;0;0;1;2;1;6;0;1;2;4;9;10;2;0;2;1;2;0;1;0;0;4;0;0;1;0;0;0;7;0;0;0;0;1;0;0;1;0;1;0;8;1;16;0;0;5;2;0;3;0;0;0;0;0;1;0;0;0;0;2;0;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;1;0;4;0;0;0;1;0;0;0;0;0;0;0;0;1;0
"intubacao";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"inafastabilidade";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4
"proveito";0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"jurar";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"superior_tribunal_de_justica";0;0;0;0;0;0;0;0;0;0;6;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;12;12;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;4;8;0;0;0;0
"comparecer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"sinalizar";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"posteriormente";0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;2;0;0;0;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;1;0
"interamericano";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"celeridade";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;1;1;0;0;1;0
"condicao";0;3;2;1;1;1;1;0;2;1;7;0;2;0;8;1;1;1;0;1;5;0;1;0;0;0;3;2;0;10;39;0;0;1;0;0;0;1;0;1;2;1;0;0;1;0;4;0;0;9;2;0;1;0;0;0;0;0;0;0;1;0;0;1;16;0;2;0;3;0;4;5;2;4;1;0;0;0;3;3;0;0;0;2;1;1;1;1;2;1;1;0;1;0;0;0;0;0;0;11;0;29;0;0;3;1;0;2;0;1;1;0;0;0;3;1;0;0;1;0;2;1;3;2;6;1;0;5;8;3;0;2;0;0;0;4;0;0;5;2;1;2;1;3;1;1;0;3;1;3;4;1;0;1;1;0
"adquirir";0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;13;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"absoluto";0;2;0;0;0;0;0;1;0;1;1;0;0;0;0;2;0;2;0;3;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;4;0;10;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"milhao";0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;29;0;19;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0
"mediante";0;0;4;0;0;2;0;1;0;1;3;1;3;0;4;0;0;1;2;4;2;0;0;0;2;1;0;0;0;5;2;0;1;4;0;0;0;0;0;1;2;3;3;2;2;1;3;0;0;0;0;3;0;1;1;1;1;5;0;0;3;0;1;0;4;0;0;0;0;0;8;1;1;0;0;1;1;1;3;1;2;0;3;1;0;1;1;4;0;0;0;1;0;1;0;2;2;0;0;14;0;24;0;1;1;0;0;2;0;1;1;0;0;0;0;1;4;1;2;0;0;2;0;0;3;0;2;2;5;1;0;3;0;1;1;2;1;3;3;3;5;4;0;0;0;2;0;0;0;3;2;0;0;3;0;0
"milhar";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"sede";1;1;0;0;2;0;1;0;1;0;6;2;1;0;9;0;3;1;2;0;0;0;2;0;1;5;1;0;0;4;3;0;0;0;0;0;1;3;0;1;2;3;0;0;2;1;7;3;2;4;1;1;2;2;0;2;4;8;4;3;3;0;0;0;16;1;0;1;0;0;2;0;0;0;1;7;1;2;2;0;0;3;3;0;7;2;0;9;0;4;4;1;2;3;4;0;0;0;0;7;1;14;1;1;7;2;3;9;1;0;1;0;0;1;2;0;2;0;0;0;1;1;1;2;11;2;0;9;2;2;2;4;0;0;0;1;0;2;1;0;0;10;4;2;1;3;0;0;1;2;1;5;3;1;1;0
"ordenar";0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
