"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19"
"1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"3";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"5";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"6";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"7";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"8";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"9";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"10";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"11";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"12";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"13";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"14";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"15";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"16";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"17";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"18";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"19";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"21";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"22";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"23";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"24";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"25";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"26";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"27";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"28";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"29";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"30";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"31";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"32";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"33";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"34";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"35";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"36";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"37";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"38";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"39";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"40";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"41";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"42";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"43";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"44";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"45";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"46";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"47";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"48";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"49";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"50";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"51";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"52";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"53";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"54";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"55";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"56";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"57";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"58";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"59";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"60";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"61";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"62";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"63";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"64";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"65";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"66";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"67";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"68";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"69";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"70";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"71";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"72";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"73";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"74";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"75";0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5
"76";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"77";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"78";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"79";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"80";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"81";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"82";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"83";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"84";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"85";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"86";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"87";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"88";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"89";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"90";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"91";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"92";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"93";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
"94";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3
"95";0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4
