*id_despacho1254493;59;8;58;3;40
*adpf_891;0;1;29;0;22
*id_despacho1502878;1;2;0;0;14
*adpf_894;0;1;15;0;19
*adpf_895;59;8;58;3;40
*adpf_546;16;2;20;2;7
*adpf_545;3;7;54;2;45
*id_sjur429282;0;1;42;0;9
*id_despacho1130828;2;0;0;6;3
*uf_PI;9;2;63;0;50
*adpf_799;1;7;2;0;2
*adpf_797;2;6;2;0;3
*uf_PE;9;1;26;0;23
*uf_PB;8;6;22;2;79
*adpf_790;11;6;20;0;10
*id_despacho937769;1;4;5;0;16
*id_sjur432807;0;1;28;0;17
*id_despacho1179049;1;2;41;0;45
*uf_PR;1;7;50;0;35
*adpf_906;5;6;4;9;10
*id_sjur414374;1;1;1;0;14
*id_sjur359553;1;1;2;0;13
*id_despacho1006127;0;55;9;6;14
*id_sjur474291;0;0;6;0;10
*adpf_864;6;7;38;27;4
*id_despacho1613716;5;6;17;2;59
*adpf_940;14;26;6;2;15
*adpf_869;56;8;91;8;33
*dt_2018;46;86;130;3;149
*id_despacho1512930;1;0;0;0;15
*id_sjur473090;2;0;5;0;8
*id_despacho1220799;49;5;10;5;4
*id_despacho634130;0;1;0;0;5
*id_sjur463907;94;23;83;4;24
*dt_2020;241;247;481;289;518
*id_despacho1280136;1;3;3;10;10
*dt_2025;5;6;32;2;62
*id_sjur446549;0;0;20;1;14
*id_despacho1182241;0;2;0;1;3
*id_despacho1274508;6;7;38;27;4
*id_despacho1494648;5;6;4;9;10
*id_despacho1287928;5;4;26;0;25
*id_despacho1183863;6;1;9;4;12
*adpf_1112;1;2;0;0;14
*id_despacho1595526;3;15;31;42;15
*id_despacho1190953;9;18;0;129;5
*id_sjur406918;1;4;8;0;54
*id_sjur465971;4;0;14;0;28
*id_sjur427857;2;42;15;51;13
*id_despacho637794;0;0;0;0;7
*uf_GO;27;16;36;1;151
*adpf_999;0;0;11;0;18
*adpf_998;5;28;27;7;29
*id_despacho1479496;19;0;21;2;10
*adpf_996;5;1;7;0;16
*id_despacho1533110;0;13;7;0;20
*id_despacho1412892;0;0;6;0;18
*adpf_993;4;0;54;0;23
*id_despacho1065842;3;2;1;1;51
*id_despacho1518986;14;6;87;2;29
*id_sjur467839;1;1;39;0;64
*adpf_344;19;5;7;0;7
*adpf_617;1;3;23;0;19
*id_despacho1092622;115;53;18;11;12
*id_despacho1200743;0;3;33;43;8
*id_despacho1060406;23;1;4;0;10
*id_despacho1099260;1;1;0;3;2
*id_sjur443270;0;31;0;67;5
*id_despacho1261837;0;8;0;44;4
*adpf_350;0;2;16;0;48
*id_despacho1340113;5;28;27;7;29
*id_despacho1029435;1;0;0;0;3
*adpf_533;33;2;20;0;32
*id_despacho625899;0;4;9;1;10
*adpf_908;5;5;4;9;10
*id_sjur461269;10;68;25;81;16
*id_sjur417525;0;0;17;0;10
*id_despacho1171296;0;2;22;0;11
*adpf_830;0;3;33;43;8
*adpf_831;11;17;2;21;20
*id_sjur531654;0;0;14;0;0
*id_sjur453364;5;65;12;209;19
*id_despacho1090492;1;2;12;4;3
*id_sjur453426;0;0;17;0;10
*id_despacho1298311;4;0;15;0;15
*id_despacho842180;14;1;1;1;11
*adpf_409;3;3;0;0;21
*id_sjur522803;0;0;0;0;3
*id_despacho929113;1;13;1;0;6
*id_despacho742807;0;0;0;0;3
*id_despacho1006349;2;6;7;0;13
*id_despacho1090576;0;15;6;23;2
*adpf_1016;2;11;25;1;116
*id_despacho1213620;36;2;2;0;4
*id_despacho1173424;9;6;6;0;5
*uf_BA;1;2;0;0;14
*id_sjur477666;1;15;7;0;32
*id_despacho1181613;1;0;8;0;12
*id_despacho1177000;1;5;23;0;12
*adpf_658;18;6;1;8;5
*adpf_656;63;38;14;77;13
*id_sjur371363;0;0;10;0;10
*id_despacho1165722;0;1;0;21;1
*uf_CE;84;2;105;4;107
*adpf_712;7;1;3;4;10
*adpf_711;7;6;77;3;80
*adpf_710;36;2;2;0;4
*id_despacho1231815;8;48;4;12;8
*id_despacho1180831;9;0;11;1;14
*adpf_719;0;3;37;1;20
