"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"5";"***";"";""
"**";"classe";"1";"**";"";""
" 73";" 200";" 36.50";" 80.74";"contar";"2.573315e-19"
" 25";"  39";" 64.10";" 78.58";"tribunal_de_contas";"7.669908e-19"
" 35";"  67";" 52.24";" 78.43";"consumidor";"8.275251e-19"
" 20";"  27";" 74.07";" 78.34";"iptu";"8.676127e-19"
" 79";" 227";" 34.80";" 78.27";"economico";"8.979917e-19"
" 38";"  77";" 49.35";" 76.97";"anexo";"1.735614e-18"
" 14";"  15";" 93.33";" 76.06";"funai";"2.745449e-18"
" 63";" 166";" 37.95";" 75.90";"disposto";"2.977140e-18"
" 48";" 111";" 43.24";" 75.78";"alterar";"3.167832e-18"
" 15";"  17";" 88.24";" 75.45";"moeda";"3.757211e-18"
" 16";"  19";" 84.21";" 75.39";"demarcacao";"3.857626e-18"
" 16";"  19";" 84.21";" 75.39";"inspecao";"3.857626e-18"
" 22";"  33";" 66.67";" 73.49";"autarquia";"1.009068e-17"
" 33";"  64";" 51.56";" 72.25";"indigena";"1.893382e-17"
" 64";" 174";" 36.78";" 71.90";"lei_complementar";"2.259373e-17"
" 21";"  31";" 67.74";" 71.90";"instalacao";"2.265760e-17"
"137";" 500";" 27.40";" 71.57";"atar";"2.677442e-17"
" 12";"  12";"100.00";" 71.55";"laudo";"2.709792e-17"
" 12";"  12";"100.00";" 71.55";"repactuacao";"2.709792e-17"
" 12";"  12";"100.00";" 71.55";"icmbio";"2.709792e-17"
" 22";"  34";" 64.71";" 70.15";"celebrar";"5.482720e-17"
" 15";"  18";" 83.33";" 69.64";"proguaru";"7.129687e-17"
" 15";"  18";" 83.33";" 69.64";"contribuinte";"7.129687e-17"
" 15";"  18";" 83.33";" 69.64";"codefat";"7.129687e-17"
" 23";"  37";" 62.16";" 68.84";"tabela";"1.068697e-16"
" 23";"  37";" 62.16";" 68.84";"liberacao";"1.068697e-16"
"181";" 730";" 24.79";" 68.07";"prever";"1.577269e-16"
" 18";"  25";" 72.00";" 67.57";"documentacao";"2.029081e-16"
" 47";" 114";" 41.23";" 67.36";"instituir";"2.263481e-16"
" 20";"  30";" 66.67";" 66.80";"concorrencia";"3.007245e-16"
" 33";"  67";" 49.25";" 66.55";"indice";"3.404544e-16"
" 17";"  23";" 73.91";" 66.35";"assistencial";"3.766736e-16"
" 17";"  23";" 73.91";" 66.35";"mensal";"3.766736e-16"
" 71";" 209";" 33.97";" 66.24";"acordo";"4.002333e-16"
" 31";"  61";" 50.82";" 66.13";"beneficio";"4.227068e-16"
" 80";" 248";" 32.26";" 65.65";"paragrafar";"5.397746e-16"
" 11";"  11";"100.00";" 65.58";"aliquota";"5.585183e-16"
" 11";"  11";"100.00";" 65.58";"regressividade";"5.585183e-16"
" 21";"  33";" 63.64";" 65.22";"empregado";"6.686524e-16"
" 19";"  28";" 67.86";" 65.21";"ajuste";"6.744270e-16"
" 12";"  13";" 92.31";" 64.21";"automotor";"1.117487e-15"
" 12";"  13";" 92.31";" 64.21";"progresso";"1.117487e-15"
" 22";"  36";" 61.11";" 64.06";"efetuar";"1.207275e-15"
" 27";"  50";" 54.00";" 64.02";"tacito";"1.229738e-15"
" 13";"  15";" 86.67";" 63.76";"dissolucao";"1.403812e-15"
" 20";"  31";" 64.52";" 63.47";"locacao";"1.628931e-15"
" 38";"  86";" 44.19";" 62.50";"produto";"2.671051e-15"
" 17";"  24";" 70.83";" 62.27";"pericia";"2.999897e-15"
" 87";" 286";" 30.42";" 61.11";"registro";"5.386702e-15"
