"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"5";"***";"";""
"**";"classe";"1";"**";"";""
"****";"1945";"13531";"14.37";"****";""
" 27";"1656";" 1.63";"-248.98";"adpf";"4.323346e-56"
" 50";"1838";" 2.72";"-234.70";"arguicao_de_descumprimento_de_preceito_fundamental";"5.633308e-53"
"  9";"1108";" 0.81";"-180.35";"subsidiariedade";"4.073642e-41"
" 82";"1704";" 4.81";"-144.83";"acao";"2.344232e-33"
" 67";"1536";" 4.36";"-141.13";"constitucional";"1.510384e-32"
"  6";" 816";" 0.74";"-131.24";"processual";"2.188788e-30"
" 63";"1414";" 4.46";"-126.22";"decisao";"2.754422e-29"
" 38";"1152";" 3.30";"-125.50";"ministro";"3.950694e-29"
" 13";" 862";" 1.51";"-123.82";"relator";"9.202331e-29"
" 14";" 814";" 1.72";"-112.69";"supremo_tribunal_federal";"2.529285e-26"
"  0";" 601";" 0.00";"-105.58";"agravo_regimental";"9.102828e-25"
" 27";" 879";" 3.07";" -97.57";"arguicao";"5.188880e-23"
"  0";" 498";" 0.00";" -86.80";"lesividade";"1.202979e-20"
"  4";" 545";" 0.73";" -85.85";"sanar";"1.946003e-20"
"  7";" 578";" 1.21";" -85.00";"covid";"2.981752e-20"
" 10";" 612";" 1.63";" -84.53";"precedente";"3.778634e-20"
"  4";" 516";" 0.78";" -80.61";"min";"2.754751e-19"
"  0";" 458";" 0.00";" -79.58";"eficaz";"4.629926e-19"
" 12";" 581";" 2.07";" -74.73";"controversia";"5.400209e-18"
"  0";" 414";" 0.00";" -71.69";"agr";"2.513168e-17"
"  4";" 464";" 0.86";" -71.28";"preceito_fundamental";"3.106983e-17"
"  3";" 420";" 0.71";" -65.71";"rel";"5.213118e-16"
"  7";" 464";" 1.51";" -64.62";"jurisprudencia";"9.093955e-16"
" 15";" 557";" 2.69";" -64.40";"julgar";"1.013911e-15"
"  7";" 457";" 1.53";" -63.38";"dje";"1.704051e-15"
"  8";" 468";" 1.71";" -63.18";"vacinacao";"1.890713e-15"
" 70";"1059";" 6.61";" -56.27";"presente";"6.302981e-14"
"  4";" 369";" 1.08";" -54.44";"lesao";"1.602848e-13"
" 12";" 463";" 2.59";" -54.07";"corte";"1.930463e-13"
" 15";" 492";" 3.05";" -53.21";"plenario";"2.999533e-13"
"  1";" 323";" 0.31";" -53.18";"recursal";"3.039450e-13"
"  4";" 361";" 1.11";" -53.03";"ajuizamento";"3.276704e-13"
" 36";" 704";" 5.11";" -51.75";"requisito";"6.316198e-13"
" 16";" 493";" 3.25";" -51.49";"conhecimento";"7.214097e-13"
" 19";" 517";" 3.68";" -50.00";"auto";"1.540966e-12"
"  2";" 315";" 0.63";" -49.46";"abstrato";"2.020647e-12"
"  4";" 340";" 1.18";" -49.36";"negar";"2.133647e-12"
" 22";" 541";" 4.07";" -48.65";"julgamento";"3.063440e-12"
"  2";" 310";" 0.65";" -48.59";"apto";"3.158353e-12"
" 44";" 761";" 5.78";" -48.37";"objeto";"3.529925e-12"
"  8";" 381";" 2.10";" -47.99";"cabimento";"4.282993e-12"
"  5";" 330";" 1.52";" -45.44";"acao_direta_de_inconstitucionalidade";"1.570806e-11"
"  2";" 281";" 0.71";" -43.52";"agravo";"4.194689e-11"
"  6";" 331";" 1.81";" -43.50";"adir";"4.239826e-11"
"  3";" 290";" 1.03";" -42.85";"vacina";"5.919403e-11"
" 14";" 417";" 3.36";" -42.43";"instrumento";"7.326566e-11"
" 10";" 368";" 2.72";" -41.76";"provimento";"1.029741e-10"
" 12";" 385";" 3.12";" -40.80";"eleitoral";"1.684008e-10"
" 13";" 396";" 3.28";" -40.77";"concreto";"1.708549e-10"
"  5";" 299";" 1.67";" -40.08";"df";"2.436615e-10"
"  2";" 261";" 0.77";" -40.04";"tribunal_pleno";"2.487204e-10"
"  4";" 280";" 1.43";" -38.93";"proferido";"4.388504e-10"
" 90";"1108";" 8.12";" -38.32";"saude";"6.000487e-10"
"  2";" 250";" 0.80";" -38.13";"seguimento";"6.612444e-10"
" 65";" 881";" 7.38";" -37.48";"principiar";"9.246109e-10"
"  9";" 330";" 2.73";" -37.28";"relevante";"1.023045e-09"
" 25";" 493";" 5.07";" -35.98";"ausencia";"1.993936e-09"
"  6";" 283";" 2.12";" -35.27";"voto";"2.877232e-09"
" 59";" 810";" 7.28";" -35.19";"pedido";"2.987006e-09"
"  2";" 220";" 0.91";" -32.94";"revelar";"9.483410e-09"
" 34";" 561";" 6.06";" -32.87";"objectivo";"9.869262e-09"
" 27";" 489";" 5.52";" -32.31";"tribunal";"1.317473e-08"
"  4";" 239";" 1.67";" -31.89";"impugnacao";"1.634699e-08"
"  2";" 212";" 0.94";" -31.57";"subjetivo";"1.927888e-08"
" 41";" 611";" 6.71";" -30.54";"situacao";"3.274418e-08"
"  4";" 231";" 1.73";" -30.52";"conhecido";"3.304573e-08"
"  7";" 266";" 2.63";" -30.40";"perda";"3.517540e-08"
"  7";" 265";" 2.64";" -30.23";"constitucionalidade";"3.835311e-08"
"  8";" 276";" 2.90";" -30.15";"entendimento";"4.006290e-08"
"  6";" 252";" 2.38";" -30.01";"brasilia";"4.299193e-08"
"  1";" 185";" 0.54";" -29.16";"cabivel";"6.651093e-08"
"  1";" 182";" 0.55";" -28.65";"celso_de_mello";"8.682733e-08"
"  1";" 178";" 0.56";" -27.96";"superveniente";"1.238842e-07"
" 16";" 347";" 4.61";" -27.58";"existencia";"1.505757e-07"
" 14";" 323";" 4.33";" -27.10";"descumprimento";"1.931786e-07"
"  4";" 208";" 1.92";" -26.61";"peticao_inicial";"2.490786e-07"
"  1";" 168";" 0.60";" -26.24";"sucedaneo";"3.012894e-07"
"  3";" 190";" 1.58";" -25.63";"conhecer";"4.127453e-07"
"  2";" 176";" 1.14";" -25.39";"inexistencia";"4.684853e-07"
"  7";" 235";" 2.98";" -25.23";"capaz";"5.081350e-07"
"  2";" 175";" 1.14";" -25.22";"inelegibilidade";"5.118899e-07"
"  3";" 186";" 1.61";" -24.95";"alexandre_de_moraes";"5.872518e-07"
"  0";" 147";" 0.00";" -24.95";"gilmar_mendes";"5.887716e-07"
"  3";" 186";" 1.61";" -24.95";"pressuposto";"5.872518e-07"
" 18";" 350";" 5.14";" -24.88";"poder_publico";"6.109486e-07"
"  2";" 173";" 1.16";" -24.88";"imunizacao";"6.111368e-07"
"  2";" 171";" 1.17";" -24.54";"ricardo_lewandowski";"7.296282e-07"
" 10";" 264";" 3.79";" -24.52";"eleicao";"7.364213e-07"
" 58";" 717";" 8.09";" -24.30";"constituicao";"8.245236e-07"
"  1";" 154";" 0.65";" -23.84";"admissibilidade";"1.046243e-06"
" 13";" 290";" 4.48";" -23.56";"pandemia";"1.211633e-06"
"  3";" 177";" 1.69";" -23.43";"relatoria";"1.297994e-06"
