"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"classe 1";1,00982686997046;-0,747454164488374;-1,10584555439751;0,603343444414045;-0,446583056516637;-0,660711935502041;0,462792315175165;0,208061185992661;0,329146498832145;0,268261281352829;0,146971552464692;0,321701512336928;0,263065653845532;0,738503095996869;0,14347254113782
"classe 2";0,354448999393494;-0,160161032610059;1,336212953571;0,254692932067412;-0,115085338280543;0,960149402576369;0,104209254261691;0,0174599157207944;0,878330830017542;0,0427799652448944;0,0087346727480389;0,607972972693696;0,340512389313385;0,546259594417211;0,101608741865288
"classe 3";0,641044778420146;3,0261100200019;-0,555714396195472;0,203973462912929;0,962875232298911;-0,176822265149575;0,0506795000949863;0,926733066933876;0,0225874329711355;0,0377801486718222;0,841891947714142;0,0283916232813319;0,0919362803327035;1,41667644546838;0,184513554307589
"classe 4";-1,46240151278574;-0,0888152278194238;-0,371107003831512;-0,967602590182439;-0,0587648766322827;-0,245544123828341;0,960412959876693;0,00290689449080291;0,0366801456325238;0,651178604730454;0,00240182707312721;0,0419338916880441;0,304485676508379;0,742396796146663;0,16781819495641
