"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"  16";" 198";" 8.08";" -32.39";"independencia";"1.262508e-08"
"   2";" 108";" 1.85";" -32.28";"legitima_defesa";"1.335743e-08"
" 900";"4082";"22.05";" -32.11";"sua";"1.456377e-08"
"  30";" 276";"10.87";" -32.06";"consagrar";"1.495023e-08"
" 428";"2092";"20.46";" -31.96";"forma";"1.570325e-08"
"   9";" 154";" 5.84";" -31.95";"investigar";"1.581145e-08"
"  16";" 196";" 8.16";" -31.76";"pagamento";"1.744340e-08"
"   5";" 127";" 3.94";" -31.63";"consciencia";"1.866776e-08"
"   9";" 153";" 5.88";" -31.62";"moral";"1.874210e-08"
"  18";" 207";" 8.70";" -31.55";"dimensao";"1.946413e-08"
"  18";" 207";" 8.70";" -31.55";"mundo";"1.946413e-08"
"  17";" 201";" 8.46";" -31.49";"honra";"2.004045e-08"
"  64";" 450";"14.22";" -31.47";"indulto";"2.028476e-08"
"  26";" 252";"10.32";" -31.47";"disponivel";"2.025053e-08"
"   8";" 146";" 5.48";" -31.41";"transferencia";"2.092355e-08"
"  88";" 567";"15.52";" -31.29";"fundamental";"2.219537e-08"
"  71";" 484";"14.67";" -31.29";"publico";"2.223021e-08"
"   2";" 105";" 1.90";" -31.24";"remoto";"2.279601e-08"
"  17";" 200";" 8.50";" -31.18";"codigo_penal";"2.352099e-08"
"  11";" 164";" 6.71";" -31.14";"mercado";"2.398956e-08"
"  12";" 170";" 7.06";" -31.10";"identificacao";"2.447532e-08"
"  92";" 585";"15.73";" -31.01";"constituir";"2.570773e-08"
"  40";" 325";"12.31";" -30.83";"proibicao";"2.817092e-08"
"  11";" 163";" 6.75";" -30.82";"inerente";"2.835667e-08"
" 131";" 768";"17.06";" -30.73";"maior";"2.968037e-08"
"  22";" 227";" 9.69";" -30.68";"preciso";"3.042876e-08"
"   4";" 117";" 3.42";" -30.53";"autoria";"3.281679e-08"
