"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,247512384725793;41,4306972491903;41,4306972491903
"facteur 2";0,203107788996697;33,997883880425;75,4285811296153
"facteur 3";0,146792858544618;24,5714188703847;100
