"";"";"";"";"*adpf_661";""
"1";"*adpf_661";"0.359933738505858";"-0.597728292892956";"0.850280819953105";"46"
"2";"*adpf_1002";"0.977671415449934";"-0.704919008101764";"0.827717634238713";"70"
"3";"*id_sjur485137";"1.03046269861687";"-0.695842276326591";"0.826944128175805";"71"
"4";"*id_despacho1148191";"-1.63436828762456";"-0.440019876170677";"0.825616709847661";"76"
"5";"*adpf_388";"0.898492391756765";"-0.791974661683971";"0.825212632621088";"78"
"6";"*id_sjur465623";"-1.5235968083613";"-0.437767694909218";"0.824955156583425";"80"
"7";"*id_sjur438122";"-1.53989673067168";"-0.47733058484579";"0.824526440501574";"81"
"8";"*id_despacho1148307";"-1.5329652241011";"-0.458825800073354";"0.8203406069754";"88"
"9";"*id_despacho1301930";"1.01533585776797";"-0.691556799761389";"0.818974998421573";"90"
"10";"*id_sjur425819";"-1.24314750813976";"-0.384958277317854";"0.818679332158228";"92"
"11";"*adpf_526";"-1.14597293577816";"-0.374265239050584";"0.818116334315108";"95"
"12";"*id_sjur485048";"-1.936240279732";"-0.442620854690792";"0.818111098558361";"96"
"13";"*adpf_1001";"-1.77820084414641";"-0.505599547134395";"0.81609825807493";"102"
"14";"*id_despacho1408332";"-1.77820084414641";"-0.505599547134395";"0.81609825807493";"103"
"15";"*adpf_913";"-1.95257227139411";"-0.467623004197553";"0.815918856409931";"104"
"16";"*id_sjur485557";"0.891241345073331";"-0.85651628517431";"0.815689099084457";"106"
"17";"*id_sjur452359";"0.0345106597238451";"-0.476787223398865";"0.815350468817219";"108"
"18";"*adpf_761";"1.55133211749727";"-1.21844265891819";"0.813744015453042";"117"
"19";"*adpf_681";"-1.23566602677665";"-0.481342348297815";"0.813654545609811";"118"
"20";"*id_despacho1236674";"-1.23566602677665";"-0.481342348297815";"0.813654545609811";"119"
"21";"*id_sjur456975";"1.07204290655435";"-0.764793514518291";"0.813613275527219";"120"
"22";"*id_despacho1347811";"0.981293537779221";"-0.62132776096225";"0.813419706520435";"121"
"23";"*id_despacho1360959";"1.67740259083521";"-1.29501702428183";"0.813150527026514";"123"
"24";"*adpf_651";"0.0595864331625357";"-0.463272597355875";"0.812156965187397";"127"
"25";"*id_despacho1253550";"-2.00477560072179";"-0.298168682966199";"0.811518510849986";"129"
"26";"*id_despacho1253548";"-2.00477560072179";"-0.298168682966199";"0.811518510849986";"130"
"27";"*id_despacho1079861";"0.254409574254398";"-0.472702875878198";"0.81055497761574";"132"
"28";"*id_sjur411804";"1.06331509817642";"-0.731013949389977";"0.810380503721797";"134"
"29";"*adpf_364";"1.06331509817642";"-0.731013949389977";"0.810380503721797";"135"
"30";"*id_despacho1064725";"0.776711281992833";"-0.418948367485566";"0.810106396456821";"136"
"31";"*id_despacho1359878";"-1.94101572706393";"-0.309009807261267";"0.809694003616592";"138"
"32";"*adpf_794";"1.10763647703206";"-0.982169997764615";"0.809062478957228";"144"
"33";"*id_sjur457885";"-0.785150406294282";"-0.716189173673582";"0.808758189094535";"147"
"34";"*id_despacho1366004";"1.59570066806964";"-1.44501196419936";"0.808747101609659";"148"
"35";"*id_despacho598286";"1.6721887524357";"-1.40073602656215";"0.808599422470832";"150"
"36";"*id_despacho1395267";"1.96989913832973";"-1.59928844019129";"0.808493475393133";"152"
"37";"*adpf_825";"-1.22831821116874";"-0.590745482903591";"0.808351186003898";"153"
"38";"*id_sjur456546";"-1.22831821116874";"-0.590745482903591";"0.808351186003898";"154"
"39";"*adpf_541";"0.479257440894412";"-0.684066331871541";"0.808330396969757";"155"
"40";"*id_sjur403802";"0.479257440894412";"-0.684066331871541";"0.808330396969757";"156"
"41";"*id_despacho821848";"0.665595240636394";"-0.733495922344354";"0.808143141669638";"157"
"42";"*adpf_747";"-0.683512867691774";"-0.732541876350201";"0.808099407701518";"158"
"43";"*adpf_824";"1.62444648243707";"-1.25755548438957";"0.807812057051829";"159"
"44";"*id_despacho1367406";"0.961003570466106";"-0.601256268140421";"0.807694714503564";"161"
"45";"*id_despacho1364864";"-1.34616235208449";"-0.54750354582063";"0.807541029643763";"162"
"46";"*id_despacho1202776";"1.95659281380646";"-1.58612539300485";"0.806720093784443";"165"
"47";"*id_sjur489597";"-1.09191896757525";"-0.635311572340952";"0.806625850163001";"167"
"48";"*id_despacho1037038";"2.02977759868446";"-1.65852215253025";"0.80653776625538";"168"
"49";"*id_sjur444257";"-0.956768467078934";"-0.719133245869831";"0.806477555052792";"169"
"50";"*id_despacho1294356";"-1.38641913157098";"-0.599151414310701";"0.806291685688283";"170"
"51";"*adpf_395";"0.74712008275082";"-0.788776374347495";"0.806212071387163";"171"
"52";"*id_despacho1374070";"1.84158815185531";"-1.47235905660779";"0.805959985099092";"174"
"53";"*id_sjur446516";"-0.737724305023851";"-0.424449282967365";"0.805953979378118";"175"
"54";"*id_despacho1232976";"1.59066888941645";"-1.22414159537784";"0.805953671392427";"176"
"55";"*id_despacho592705";"1.62023575031057";"-1.39156146485276";"0.805805222289372";"177"
"56";"*id_despacho1190989";"1.53943968040956";"-1.2668230384578";"0.805789515019132";"178"
"57";"*id_sjur448578";"1.14049971113389";"-1.05359228092971";"0.805773345770356";"179"
"58";"*id_despacho692531";"1.30916939848413";"-1.31577507381046";"0.805349095481024";"183"
"59";"*id_despacho1154984";"1.67483176310367";"-1.55413283066536";"0.804951639946808";"186"
"60";"*id_despacho1154630";"1.67483176310367";"-1.55413283066536";"0.804951639946808";"187"
"61";"*id_despacho1416593";"1.09179347167895";"-1.30635192889074";"0.804564655926086";"191"
