"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"forma";-0,00494577344628239;0,187267238433515;0,369899356086315;-0,0119281272640146;0,451647750685911;0,892116600607976;0,000222471961285275;0,26173397610575;0,738043551932973;6,36496787301884e-08;9,12538909214992e-05;0,000356036833172318;0,00260212274506536;0,16496622791375;7,08137945947182e-05
"prever";0,311068143662801;0,65984563507564;0,795886364690565;0,288125532087926;0,611179185574699;0,737186327110926;0,116621578854075;0,430608087232422;0,452770333913508;0,000246855514887867;0,00111075034128021;0,001615972209256;0,00255112511956455;0,453173542244836;0,000523915023042707
"julgamento";1,17864878080723;-0,718205966345597;-0,524416529810973;0,798273361046879;-0,486425388134679;-0,3551759885197;0,703186969615779;0,214254352434042;0,0825586779502049;0,00344037815418478;0,00127742489591879;0,00068106741663109;0,00247649444809997;0,699274145678302;0,00121096698046904
"emenda";1,1773624469383;5,22186194073441;-0,925039057218516;0,216734287522792;0,961264333010249;-0,170285438879398;0,0571160693153105;0,921973350339141;0,0209105803455523;0,0029207868429785;0,0574553236732039;0,0018030162657564;0,00210707262435025;2,45092200331458;0,0126572245857882
"mau";-0,209505741959683;-0,285902853699584;0,241760159478772;-0,488305214910997;-0,666367676196237;0,563482153409983;0,301393321663791;0,460583513970593;0,238023164365615;0,000113504334978981;0,000211376921466969;0,000151143701886025;0,00258595276624803;0,189857424446406;9,32128438423127e-05
"principiar";-0,0551993636310901;-0,324584047875339;0,717540400290029;-0,0699193452734105;-0,411140683891047;0,908886474322365;0,00771672493838203;0,218951974634184;0,773331300427419;6,81813198403637e-06;0,000235749948242531;0,00115209947604421;0,00223767629941328;0,31261947408937;0,00021869019826666
"plenario";1,35647205111329;-0,679636807326848;-0,830310222144072;0,784292621303045;-0,39295622251482;-0,480073422880795;0,700177553688966;0,144234751384073;0,155587694926987;0,00346508325441166;0,000869852780388521;0,00129829308261412;0,00188318060995648;0,806501584909673;0,00122490504737578
"arguicao_de_descumprimento_de_preceito_fundamental";1,4283768730862;-1,03909975076745;-1,69489821075181;0,583489001896146;-0,424470101602689;-0,69236241774929;0,440661964870522;0,191365688439191;0,367972346690312;0,00373305502282557;0,00197557377627236;0,00525612898022788;0,00182969529540686;1,07050449164238;0,00209679397059749
"adpf";1,51258666418349;-1,19781925935543;-2,03402846472624;0,539523127679169;-0,427249035380489;-0,725515717586965;0,386538671199717;0,198913675610984;0,414547653189324;0,00450207900547815;0,002823287863345;0,00814116637812482;0,00196776203761635;1,21038145138321;0,00288281715102724
"min";1,54560655888897;-1,25306270145776;-1,90770255552685;0,560709641927275;-0,454581623380181;-0,692069537788528;0,409355400667974;0,220789222641281;0,369855376690771;0,00356867509598326;0,00234560410005401;0,0054366381587578;0,0014938572738162;1,20184139149463;0,00215776140213867
