"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"  24";"   40";" 60.00";"  24.65";"resumo";" 6.879158e-07"
"  29";"   52";" 55.77";"  24.63";"utilidade";" 6.940466e-07"
"  10";"   11";" 90.91";"  24.49";"elogio";" 7.477690e-07"
"  10";"   11";" 90.91";"  24.49";"inidoneo";" 7.477690e-07"
"  66";"  154";" 42.86";"  23.80";"jurisprudencial";" 1.068470e-06"
"  18";"   27";" 66.67";"  23.73";"sobrevir";" 1.109401e-06"
"  25";"   43";" 58.14";"  23.70";"intimacao";" 1.124752e-06"
"  11";"   13";" 84.62";"  23.62";"socialista";" 1.171243e-06"
"  98";"  251";" 39.04";"  23.52";"tutela";" 1.238589e-06"
"  62";"  143";" 43.36";"  23.40";"rejeitar";" 1.315643e-06"
"  39";"   79";" 49.37";"  23.19";"assentada";" 1.464115e-06"
"  12";"   15";" 80.00";"  23.16";"acionario";" 1.494284e-06"
"  12";"   15";" 80.00";"  23.16";"viragem";" 1.494284e-06"
"  12";"   15";" 80.00";"  23.16";"prospectivo";" 1.494284e-06"
"   8";"    8";"100.00";"  23.12";"sinduscon";" 1.521738e-06"
"   8";"    8";"100.00";"  23.12";"rejulgamento";" 1.521738e-06"
"   8";"    8";"100.00";"  23.12";"redundancia";" 1.521738e-06"
"   8";"    8";"100.00";"  23.12";"reconsideracao";" 1.521738e-06"
"   8";"    8";"100.00";"  23.12";"incindivel";" 1.521738e-06"
"   8";"    8";"100.00";"  23.12";"assegurei";" 1.521738e-06"
"  99";"  255";" 38.82";"  23.11";"posto";" 1.529477e-06"
"  15";"   21";" 71.43";"  22.99";"iguacu";" 1.626131e-06"
"  15";"   21";" 71.43";"  22.99";"inq";" 1.626131e-06"
"  15";"   21";" 71.43";"  22.99";"satisfatorio";" 1.626131e-06"
"  15";"   21";" 71.43";"  22.99";"aferido";" 1.626131e-06"
"  13";"   17";" 76.47";"  22.94";"desautorizar";" 1.669038e-06"
"  14";"   19";" 73.68";"  22.91";"verossimilhanca";" 1.701936e-06"
"  14";"   19";" 73.68";"  22.91";"impetrar";" 1.701936e-06"
"  14";"   19";" 73.68";"  22.91";"nunc";" 1.701936e-06"
"  14";"   19";" 73.68";"  22.91";"litigiar";" 1.701936e-06"
"  26";"   46";" 56.52";"  22.89";"toffoli";" 1.714958e-06"
"  50";"  110";" 45.45";"  22.52";"policia_federal";" 2.085056e-06"
"  94";"  241";" 39.00";"  22.44";"validade";" 2.168899e-06"
"  46";"   99";" 46.46";"  22.38";"reputar";" 2.232888e-06"
"  39";"   80";" 48.75";"  22.28";"antecipacao";" 2.357312e-06"
"  36";"   72";" 50.00";"  22.28";"pacificar";" 2.354635e-06"
"  88";"  223";" 39.46";"  22.21";"propor";" 2.447432e-06"
"  64";"  151";" 42.38";"  22.07";"capaz";" 2.635220e-06"
" 103";"  270";" 38.15";"  22.02";"circunstanciar";" 2.694048e-06"
"  37";"   75";" 49.33";"  21.96";"questionamento";" 2.791131e-06"
"  18";"   28";" 64.29";"  21.83";"rg";" 2.979360e-06"
"  24";"   42";" 57.14";"  21.75";"confederacao";" 3.107696e-06"
"   9";"   10";" 90.00";"  21.64";"abo2o";" 3.281152e-06"
"   9";"   10";" 90.00";"  21.64";"anajure";" 3.281152e-06"
"   9";"   10";" 90.00";"  21.64";"insubsistente";" 3.281152e-06"
"  26";"   47";" 55.32";"  21.60";"pt";" 3.360963e-06"
"  28";"   52";" 53.85";"  21.58";"residual";" 3.392548e-06"
" 113";"  303";" 37.29";"  21.45";"demanda";" 3.623479e-06"
"  17";"   26";" 65.38";"  21.44";"ministerio_publico_federal";" 3.649295e-06"
"  36";"   73";" 49.32";"  21.34";"ratificar";" 3.855426e-06"
"  48";"  106";" 45.28";"  21.32";"versar";" 3.889153e-06"
" 165";"  473";" 34.88";"  21.10";"final";" 4.360321e-06"
"  65";"  156";" 41.67";"  20.88";"pronunciar";" 4.891808e-06"
"  10";"   12";" 83.33";"  20.87";"suspensivo";" 4.922484e-06"
"  10";"   12";" 83.33";"  20.87";"reexame";" 4.922484e-06"
"  10";"   12";" 83.33";"  20.87";"rediscussao";" 4.922484e-06"
"  10";"   12";" 83.33";"  20.87";"inadmissao";" 4.922484e-06"
"  10";"   12";" 83.33";"  20.87";"cursar";" 4.922484e-06"
" 260";"  795";" 32.70";"  20.79";"razao";" 5.118924e-06"
"  11";"   14";" 78.57";"  20.49";"psdb";" 5.998468e-06"
"  11";"   14";" 78.57";"  20.49";"substancioso";" 5.998468e-06"
"  11";"   14";" 78.57";"  20.49";"esteio";" 5.998468e-06"
"  13";"   18";" 72.22";"  20.40";"postulacao";" 6.293947e-06"
"  13";"   18";" 72.22";"  20.40";"improrrogavel";" 6.293947e-06"
