"";"";"";"";"atualmente";""
"1";"atualmente";"-0.909374269437724";"-0.228934815741215";"0.817405407842165";"157"
"2";"cumulativamente";"1.17727178950289";"-1.96834390623707";"0.809611458957063";"200"
