*id_despacho1254493;70;63;40
*adpf_891;2;41;22
*id_despacho1502878;3;0;14
*adpf_894;1;18;19
*adpf_895;70;63;40
*adpf_546;20;22;7
*adpf_545;12;65;45
*id_sjur429282;1;46;9
*id_despacho1130828;8;1;3
*uf_PI;11;73;50
*adpf_799;8;2;2
*adpf_797;8;2;3
*uf_PE;10;31;23
*uf_PB;16;27;79
*adpf_790;17;21;10
*id_despacho937769;5;5;16
*id_sjur432807;1;29;17
*id_despacho1179049;3;44;45
*uf_PR;8;51;35
*adpf_906;20;5;10
*id_sjur414374;2;1;14
*id_sjur359553;2;3;13
*id_despacho1006127;61;15;14
*id_sjur474291;0;6;10
*adpf_864;40;39;4
*id_despacho1613716;13;22;59
*adpf_940;42;6;15
*adpf_869;93;105;33
*dt_2018;135;154;149
*id_despacho1512930;1;0;15
*id_sjur473090;2;5;8
*id_despacho1220799;59;10;4
*id_despacho634130;1;0;5
*id_sjur463907;121;87;24
*dt_2020;844;528;518
*id_despacho1280136;14;10;10
*dt_2025;13;39;62
*id_sjur446549;1;32;14
*id_despacho1182241;3;0;3
*id_despacho1274508;40;39;4
*id_despacho1494648;20;5;10
*id_despacho1287928;9;29;25
*id_despacho1183863;11;10;12
*adpf_1112;3;0;14
*id_despacho1595526;60;42;15
*id_despacho1190953;156;2;5
*id_sjur406918;5;8;54
*id_sjur465971;4;14;28
*id_sjur427857;97;16;13
*id_despacho637794;0;0;7
*uf_GO;44;47;151
*adpf_999;1;11;18
*adpf_998;40;30;29
*id_despacho1479496;21;22;10
*adpf_996;6;10;16
*id_despacho1533110;13;13;20
*id_despacho1412892;0;11;18
*adpf_993;4;59;23
*id_despacho1065842;6;2;51
*id_despacho1518986;102;92;29
*id_sjur467839;2;42;64
*adpf_344;24;7;7
*adpf_617;4;29;19
*id_despacho1092622;179;24;12
*id_despacho1200743;46;34;8
*id_despacho1060406;24;4;10
*id_despacho1099260;5;0;2
*id_sjur443270;98;2;5
*id_despacho1261837;52;2;4
*adpf_350;2;18;48
*id_despacho1340113;40;30;29
*id_despacho1029435;1;0;3
*adpf_533;35;23;32
*id_despacho625899;5;9;10
*adpf_908;19;6;10
*id_sjur461269;159;34;16
*id_sjur417525;0;20;10
*id_despacho1171296;2;23;11
*adpf_830;46;34;8
*adpf_831;49;3;20
*id_sjur531654;0;15;0
*id_sjur453364;279;20;19
*id_despacho1090492;7;14;3
*id_sjur453426;0;18;10
*id_despacho1298311;4;15;15
*id_despacho842180;16;1;11
*adpf_409;6;0;21
*id_sjur522803;0;1;3
