"";"classe 1";"classe 2";"classe 3"
"empregado";13,58;-7,726;-1,864
"emergencial";41;-13,817;-12,352
"dignidade";30,626;-10,423;-9,128
"configuracao";-2,635;-3,432;14,137
"completo";17,493;-9,198;-2,805
"cgu";32,882;-13,817;-7,556
"cassar";-19,313;1,028;15,922
"carvalho";-0,103;-6,267;8,629
"anterioridade";-0,435;-10,423;16,562
"afastado";0,05;-9,198;8,164
"admissivel";-16,522;29,469;-0,845
"abrangencia";-3,082;10,376;-1,682
"trabalhista";-11,645;-1,716;27,577
"terreno";23,885;-8,149;-7,1
"suprir";1,107;-6,751;2,14
"suporte";-1,661;1,279;0,099
"ressalvar";0,794;-0,003;-0,932
"regulamento";15,517;-1,948;-9,468
"referendum";1,107;-11,184;4,966
"reclamacao";-12,531;-3,694;36,31
"pdt";-12,531;-9,663;52,474
"oriundo";0,043;0,014;-0,129
"originario";-5,253;0;6,819
"obstaculo";-3,832;6,88;-0,204
"motivar";0,002;-6,751;6,819
"mineracao";26,936;-13,048;-4,988
"logistico";41;-13,817;-12,352
"legitimacao";-21,465;23,626;0,099
"invocacao";-31,768;94,263;-12,352
"funcionario";30,626;-10,423;-9,128
"exploracao";14,543;-4,315;-4,988
"dl";6,955;-12,663;0,402
"dispensar";1,974;-0,025;-2,09
"destaque";1,107;-2,189;0,099
"contagem";0,262;-8,052;5,417
"aplicavel";-6,898;-0,538;14,137
"ampliacao";3,626;-3,147;-0,129
"utilidade";-1,318;-6,403;15,305
"telecomunicacao";13,056;-5,556;-2,948
"secao";0,514;-2,868;0,843
"requisitar";3,626;-8,46;0,649
"remeter";3,759;-4,002;-0,027
"procurador";-1,602;-9,284;20,95
"primario";-22,064;59,856;-6,578
"pni";30,626;-13,048;-6,903
"perceber";8,537;-8,46;-0,129
"pendente";-16,816;0,985;13,51
"pauta";0,001;-6,056;6,219
"locacao";8,919;-2,596;-3,116
"jurisdicionar";-3,336;9,878;-1,289
"ipca";17,133;-3,391;-8,113
"inumero";-0,017;0,245;-0,129
"interpretativo";-10,132;9,878;0,174
"injuncao";-30,883;91,638;-12,008
"inepcia";-12,407;-1,948;29,87
"imunidade";33,416;-12,663;-8,789
"ideia";10,633;-1,948;-5,292
"gabinete";8,49;-6,634;-0,478
"financiamento";29,5;-12,663;-6,578
"extinguir";-6,769;-10,043;38,836
"expresso";-0,256;0,527;-0,027
"estado_de_coisas_inconstitucional";5,033;-0,409;-3,656
"esportivo";33,416;-12,663;-8,789
"escolar";29,5;-7,726;-11,32
"erario";-16,816;40,511;-3,384
"enviar";21,419;-8,527;-5,293
"deputado";-6,769;-7,726;34,012
"debate";-1,318;-1,035;5,565
"clareza";-4,69;12,399;-1,289
"circulacao";38,717;-13,048;-11,664
"celebrar";12,037;-0,858;-9,128
"celebracao";29,5;-10,043;-8,789
"beneficiario";31,753;-13,433;-7,229
"araujo";0,95;-2,298;0,194
"alegre";-0,309;-8,436;13,088
"vinculacao";1,172;-0,887;-0,074
"transparencia";19,216;-7,726;-4,687
"somar";14,543;-10,423;-1,106
"rn";-11,125;0,051;12,864
"procurador_geral";-0,907;-0,857;4,165
"menezes";-11,125;-0,403;19,986
"medida_provisoria";-0,401;-1,136;3,308
"magistrado";-8,682;-4,697;31,339
"infeccao";35,293;-11,894;-10,633
"incorporacao";31,142;-9,284;-10,633
"impedimento";-5,507;-2,073;17,344
"habil";-5,073;14,759;-1,864
"futuro";12,037;-2,868;-4,988
"fungibilidade";-22,933;50,87;-3,384
"fundamentacao";-5,665;-1,716;16,562
"fundacao";3,294;-4,697;0,022
"explicar";0,513;4,134;-8,451
"encerrar";-13,318;5,216;3,362
"detrimento";9,768;-6,056;-1,106
"continuidade";5,94;0,051;-9,128
"civel";-1,244;-8,905;18,837
"cercar";26,936;-13,048;-4,988
"automatico";-1,008;-13,048;23,595
"acolhimento";-2,863;0,051;2,91
"vacinal";32,278;-9,663;-10,976
"terminar";2,526;-12,663;3,362
"servicos_publicos";18,171;-5,371;-6,255
"respeitado";22,4;-10,043;-4,687
"proporcional";-4,5;-3,694;19,374
"processar";-15,99;-0,003;21,46
"prerrogativa";-0,732;-7,726;14,69
"marcelo";-6,292;-0,497;12,926
"junior";-4,47;-5,52;23,354
"inferior";5,235;-0,692;-3,116
"incerteza";4,557;0,717;-10,976
"imunizante";33,416;-10,043;-11,32
"impessoalidade";0,037;0,527;-0,932
"iminente";29,5;-10,043;-8,789
"ilegalidade";-8,012;5,898;0,558
"fixo";0,037;7,146;-8,789
"finalizar";7,628;-6,133;-0,384
"expectativa";-3,622;9,381;-0,932
"educacional";33,012;-11,125;-9,945
"corpo";32,278;-9,663;-10,976
"consumo";37,575;-12,663;-11,32
"confronto";-15,99;59,856;-11,32
"basear";16,276;-5,712;-4,687
"autarquia";19,216;-10,043;-3,116
"aula";30,731;-10,357;-9,258
"arquivar";-25,467;-7,726;74,494
"aliar";8,919;-5,712;-0,932
"adverso";35,293;-11,894;-10,633
"aditivo";26,127;-11,51;-5,612
"acreditar";7,648;-4,365;-1,043
"usuario";36,434;-12,279;-10,976
"soja";24,722;-12,279;-4,389
"sobrevir";-4,5;-9,663;31,581
"sindical";-7,966;0;10,521
"semeadura";27,25;-11,894;-5,933
"secretariar";9,847;-4,365;-2,096
"salario";2,375;-0,564;-0,987
"quantidade";35,293;-11,894;-10,633
"procuradoria";2,715;-2,801;-0,028
"probatorio";-6,13;1,543;2,432
"prescrito";-8,012;40,753;-10,976
"pontuar";0,131;0,717;-1,646
"operar";0;-3,093;3,328
"moreira";-22,927;31,539;-0,08
"monitoramento";26,6;-7,771;-9,258
"lewandowski";1,704;-2,681;0,035
"jovem";34,152;-11,51;-10,289
"intimacao";0;-8,905;9,5
"insuficiente";0,131;0,003;-0,222
"instalacao";32,278;-12,279;-8,451
"inepto";-28,23;57,31;-2,852
"incumbir";12,627;-2,33;-6,255
"gracie";-27,346;54,769;-2,594
"ferir";2,032;-0,116;-1,646
"favor";11,686;-9,284;-0,617
"estrutural";9,353;-0,404;-8,113
"estrategia";21,321;-12,279;-2,852
"equipa";26,6;-10,357;-6,764
"epidemia";34,152;-11,51;-10,289
"ellen";-27,346;54,769;-2,594
"decisorio";-3,121;1,543;0,558
"correcao";6,197;-0,541;-4,389
"conveniencia";4,557;-5,371;-0,004
"construcao";23,618;-6,997;-8,113
"concretizacao";12,627;-2,33;-6,255
"colegiado";-6,13;-0,116;10,135
"branco";6,433;-0,728;-4,11
"anm";17,049;-5,914;-4,976
"analogo";-4,5;-0,541;10,135
"aije";-22,044;-9,588;73,171
"abrigar";-5,507;33,562;-10,633
"abrangente";-8,012;16,086;-0,769
"1o";-12,726;29,036;-2,096
"verde";-1,34;-8,82;19,131
"triplice";-23,811;-10,357;79,035
"tradicional";12,323;-2,801;-5,293
"tentativa";-0,921;-1,583;5,715
"restrito";-2,644;-2,073;11,152
"repercussao";-3,946;4,739;0,002
"rediscutir";-27,346;38,38;-0,139
"parcela";9,353;-5,032;-1,436
"ministerio_publico_federal";3,294;-6,634;0,321
"lavra";0,287;-5,032;2,854
"inteligencia";19,423;-9,204;-3,729
"inovacao";5,464;-6,997;0,002
"indicio";24,332;-9,588;-6,093
"inafastavel";-20,328;60,878;-8,113
"inafastabilidade";-17,209;3,151;8,567
"fraude";-12,726;-4,365;38,799
"exaustivo";-9,551;24,563;-2,402
"epoca";11,686;-6,997;-1,436
"dito";1,579;-0,055;-1,436
"disponibilizacao";31,142;-9,284;-10,633
"digital";10,759;-4,697;-2,342
"detalhado";34,152;-11,51;-10,289
"desvio";10,105;-9,204;-0,275
"criminoso";25,005;-11,125;-5,293
"contratar";28,87;-8,527;-9,945
"condenatorio";-19,462;-11,51;72,819
"cartao";30,731;-10,357;-9,258
"atestar";14,28;-9,284;-1,436
"anulacao";-17,209;-6,997;55,722
"aluguel";6,028;-2,238;-1,625
"ajuste";23,885;-8,149;-7,1
"afetar";0,122;-0,284;0,022
"adpfs";-9,409;4,739;1,631
"surgir";-10,974;7,476;0,971
"sofrer";2,099;0,08;-3,801
"rodrigues";-5,784;-7,668;31,316
"ro";-25,578;-4,365;62,961
"respeitar";16,101;-4,697;-5,612
"reputar";-6,658;3,676;0,971
"reproduzir";-8,682;-4,697;31,339
"qualificado";0,513;5,409;-10,289
"pugnar";-10,974;-11,51;52,932
"preco";26,6;-7,771;-9,258
"pgr";-10,974;-0,887;22,653
"pequeno";11,363;-4,036;-3,228
"ofender";0,513;-6,634;3,328
"of";2,041;0,144;-4,101
"notorio";3,294;-8,905;0,971
"normatividade";-26,462;58,305;-3,801
"nacao";30,006;-11,51;-7,775
"marcacao";21,613;-7,284;-6,511
"interrupcao";21,419;-11,125;-3,513
"intencao";21,419;-6,273;-7,437
"instalar";18,109;-8,527;-3,513
"inseguranca";-8,682;19,08;-1,234
"guardar";-0,561;5,409;-2,342
"gravidade";10,759;-8,905;-0,478
"fila";18,109;-4,365;-7,437
"exaurido";-26,462;41,093;-0,478
"eugenio_jose_guilherme_de_aragao";-2,188;-1,236;8,034
"envio";0,815;2,721;-7,437
"entregar";21,613;-7,284;-6,511
"dirimir";-13,535;52,234;-10,289
"desbordar";-26,462;78,52;-10,289
"derivar";-4,902;7,476;-0,074
"cota";-11,923;-10,741;53,547
"concorrencia";16,101;-8,905;-2,342
"claudia";-8,808;-3,831;29,238
"arguicoes_de_descumprimento_de_preceito_fundamental";-4,139;-0,93;11,018
"aldeia";-3,414;22,816;-7,775
"afim";21,65;-9,972;-4,347
"aditamento";0,114;-10,741;8,865
"aberto";2,177;-8,149;1,541
"xxxv";-3,75;-1,354;11,638
"venia";-14,685;-0,101;22,217
"solido";12,323;-6,273;-2,096
"seara";17,049;-5,914;-4,976
"restritivo";1,627;-8,527;2,364
"relogio";5,682;-1,915;-1,712
"razoabilidade";17,049;-8,149;-3,228
"provisorio";-2,426;-0,549;6,469
"po";-6,002;17,158;-2,096
"planta";31,871;-10,741;-9,602
"pesar";0,815;2,721;-7,437
"operador";28,87;-11,125;-7,437
"operacional";21,419;-8,527;-5,293
"notificar";11,854;-6,267;-1,881
"notificacao";15,078;-8,527;-2,096
"non";22,767;-5,556;-9,258
"multa";6,826;-2,516;-1,857
"maranhao";0,258;-7,284;4,79
"lopes";-2,07;-2,155;9,95
"legislatura";-14,685;-10,741;60,087
"kit";4,256;-2,681;-0,464
"isentar";29,591;-9,972;-8,915
"ineficaz";-5,135;18,047;-3,122
"igual";-0,639;6,977;-3,228
"frisar";1,627;0;-2,096
"feminino";13,841;-8,436;-1,632
"exordial";0,815;-2,801;0,469
"exclusao";0,815;-4,365;1,235
"etc";9,847;-8,527;-0,354
"encerramento";-2,906;-2,801;13,469
"dotar";-0,921;17,158;-9,945
"dotacao";30,731;-10,357;-9,258
"documentacao";17,06;-9,588;-2,402
"distrital";10,415;-3,712;-2,948
"distanciamento";33,012;-11,125;-9,945
"digno";5,726;-1,583;-2,096
"despeito";0,815;-4,365;1,235
"descumprir";5,726;-2,801;-1,043
"del";14,947;-3,392;-6,428
"correa";-12,322;17,855;-0,102
"contribuir";21,419;-6,273;-7,437
"conceito";1,202;0,011;-1,857
"compatibilidade";-15,523;1,523;10,521
"coadunar";-15,523;38,68;-3,513
"calamidade";33,012;-11,125;-9,945
"cair";0,791;-0,922;-0,001
"abertura";4,082;-8,527;0,469
"sucessivo";-11,125;-7,771;44,628
"sublinhar";3,439;-4,036;-0,004
"sousa";1,704;-0,628;-0,464
"sindroma";9,093;-3,065;-2,74
"significativo";19,232;-10,357;-2,948
"saida";22,767;-7,771;-6,764
"ricardo";2,041;-4,778;0,37
"reabertura";19,232;-10,357;-2,948
"postura";2,833;-1,136;-0,694
"politica_publica";8,951;-2,516;-3,228
"patente";-7,262;-5,914;31,154
"onus";-7,262;6,977;0,139
"norte";25,465;-9,972;-6,428
"mendes";-0,907;8,242;-3,448
"mato_grosso";12,781;-8,052;-1,392
"logicar";0,114;-2,516;1,541
"lide";-24,694;59,514;-4,976
"lembrar";6,826;-1,354;-3,228
"insurgir";-14,685;3,225;6,469
"inelegivel";-21,07;-8,149;67,004
"futebol";28,45;-9,588;-8,571
"frente";10,415;-7,771;-0,694
"formalizar";-5,362;-4,036;22,217
"esforco";27,734;-10,741;-7,1
"emergente";-11,923;47,184;-9,602
"direcionar";3,439;-4,036;-0,004
"consolidar";-0,177;1,885;-0,862
"conjur";26,6;-10,357;-6,764
"comunicar";15,995;-10,357;-1,625
"comprobatorio";-11,923;47,184;-9,602
"comissivo";-3,75;12,159;-1,857
"breve";-0,061;-7,771;9,889
"assistir";-1,389;3,225;-0,245
"apropriado";3,439;0,903;-9,602
"aluno";27,311;-9,204;-8,228
"aguar";7,215;-7,394;-0,08
"acompanhamento";8,073;-7,771;-0,153
"vicio";-4,741;-1,136;12,864
"vedado";7,215;-9,972;0,028
"tutelar";-10,334;18,489;-0,539
"seriar";12,06;-7,394;-1,403
"refinanciamento";26,6;-10,357;-6,764
"recusar";2,268;-0,008;-2,672
"prestador";9,149;-1,219;-5,425
"preocupacao";10,415;-3,712;-2,948
"preferencia";20,535;-7,018;-6,093
"pi";-12,191;0,233;12,264
"pensamento";14,947;-7,394;-2,672
"patrimonial";22,067;-6,267;-7,884
"padrao";27,311;-9,204;-8,228
"pacto";14,947;-5,201;-4,347
"outorgar";0,019;-5,556;5,111
"objetivar";-0,401;-2,238;5,111
"multiplo";-5,895;2,781;1,14
"modelo";-1,975;13,469;-4,66
"mercadoria";22,067;-8,82;-5,425
"massa";19,232;-3,712;-9,258
"iptu";13,056;-1,136;-9,258
"intermedio";15,995;-7,771;-2,948
"interferencia";18,144;-5,201;-6,428
"incorrer";0,83;-3,712;0,874
"imbuhy";-6,571;29,074;-6,764
"igualitario";22,767;-5,556;-9,258
"higidez";-1,975;-0,403;5,111
"frequencia";26,6;-7,771;-9,258
"flagrante";-1,039;7,89;-2,948
"exarar";-14,298;1,156;10,4
"esvaziar";-6,571;7,89;0,003
"embasar";-0,401;0,051;0,243
"efetivar";4,281;-1,136;-1,625
"doutrinar";-23,811;44,669;-1,625
"dominio";12,06;-0,93;-8,915
"dificil";-0,213;8,903;-6,428
"designar";0,019;-10,357;9,889
"desatender";-18,438;58,375;-8,571
"costa";7,467;-4,982;-0,701
"contagiar";29,591;-9,972;-8,915
"constituinte";2,268;-0,008;-2,672
"consenso";18,313;-4,15;-7,884
"confundir";0,83;-10,357;5,111
"conflitante";-20,192;50,609;-4,66
"compromisso";18,144;-5,201;-6,428
"andamento";0,019;-5,556;5,111
"administrador";26,6;-10,357;-6,764
"abrir";0,83;-3,712;0,874
"xvi";0,106;4,437;-6,428
"vocacionar";-19,315;48,053;-4,347
"tre";-22,044;-4,848;58,3
"stj";-7,96;-0,008;11,018
"resp";-19,395;-0,271;31,091
"reservar";-1,557;-0,008;2,304
"regulacao";8,567;-1,708;-4,037
"rediscussao";-22,927;0,625;21,813
"rcl";-15,864;4,482;5,695
"piaui";0,002;-4,778;4,79
"pensar";0,106;1,511;-2,672
"nepotismo";-18,438;-9,588;65,525
"missao";13,841;-2,172;-7,541
"mineral";20,935;-5,893;-7,541
"medicinal";27,311;-9,204;-8,228
"marcar";1,238;-7,394;2,304
"lv";3,133;-8,82;1,045
"intuito";-0,005;1,511;-1,403
"instruir";-0,467;-7,018;12,264
"infantil";17,06;-3,078;-8,571
"industrial";25,465;-7,394;-8,915
"inconformismo";-13,018;-7,394;47,918
"imagem";10,105;-6,642;-0,987
"horario";8,858;-5,148;-1,162
"forte";4,324;-3,129;-0,319
"fortaleza";0,522;-4,497;1,823
"fechamento";3,607;-9,972;1,14
"fabricante";29,591;-9,972;-8,915
"excelso";-5,895;-0,276;11,018
"elegibilidade";-6,518;-9,204;36,449
"eduardo";0,872;-6,267;2,253
"delinear";-13,018;11,714;0,381
"condao";0,517;0,124;-1,403
"compra";24,332;-9,588;-6,093
"composicao";0,098;-9,204;7,597
"comerciar";28,45;-9,588;-8,571
"comercial";27,311;-9,204;-8,228
"celso";-2,945;0,755;1,151
"assembleia";-2,208;-9,588;23,813
"antecipado";5,256;-5,201;-0,08
"antecipacao";1,238;-7,394;2,304
"afetado";-0,005;2,781;-2,672
"afericao";-5,236;20,329;-4,037
"advocacia";-3,975;-0,029;6,045
"adquirir";24,332;-7,018;-8,571
"adin";-18,438;45,503;-4,037
"xxxvi";0,098;-4,497;3,308
"vulnerabilidade";20,535;-4,848;-8,571
"violencia";20,935;-8,436;-5,092
"variar";17,06;-4,848;-6,093
"torno";-9,551;7,395;0,557
"temporal";-5,236;-7,018;28,506
"telebras";4,514;-7,018;0,082
"tanger";-0,08;-0,17;0,557
"suma";1,748;-0,739;-0,399
"sujeitar";17,06;-3,078;-8,571
"subsequente";-7,232;-1,708;19,542
"responsabilizacao";13,907;-7,018;-2,402
"republica_federativa_do_brasil";20,535;-9,588;-4,037
"representativo";-2,483;16,208;-5,425
"reparacao";-7,232;13,061;-0,399
"relato";1,281;-6,642;1,823
"publicitar";23,199;-9,204;-5,759
"outorga";7,67;-4,497;-0,987
"justificacao";-1,755;-0,087;3,308
"justica_eleitoral";-15,154;-3,078;39,158
"inteiro";13,907;-9,588;-1,189
"identidade";-0,009;-4,497;5,233
"formalizacao";-9,551;0,001;12,264
"formalidade";-9,227;17,855;-0,74
"expedicao";-0,838;-9,204;17,326
"europeu";22,067;-8,82;-5,425
"domiciliar";3,805;-9,204;0,777
"destinacao";19,805;-5,52;-7,198
"cultura";18,676;-5,148;-6,855
"conmebol";22,067;-8,82;-5,425
"concretizar";-0,103;1,507;-0,797
"conciliacao";17,06;-3,078;-8,571
"coletividade";24,332;-7,018;-8,571
"coleta";28,45;-9,588;-8,571
"colapso";27,311;-9,204;-8,228
"caracterizacao";-4,595;3,954;0,17
"caracteristica";28,45;-9,588;-8,571
"assistencial";22,067;-6,267;-7,884
"ar";19,423;-4,497;-8,228
"apurar";1,281;-4,497;0,777
"aplicabilidade";-22,044;-3,078;51,498
"validar";10,105;-2,769;-3,729
"tocantins";0,258;-7,284;4,79
"thiago";-8,808;-3,831;29,238
"sugerir";10,105;-6,642;-0,987
"substitutivo";-14,298;37,182;-3,729
"singular";-21,161;55,763;-5,759
"servico_publico";1,281;-0,564;-0,275
"recuperacao";20,474;-6,9;-6,168
"ratificar";2,375;-9,204;1,823
"promulgacao";0,098;-4,497;3,308
"pericia";15,982;-9,204;-2,138
"pedro";-8,858;-5,365;33,47
"passivar";-3,007;14,553;-3,729
"oitiva";3,805;-9,204;0,777
"nomear";2,375;-6,642;0,777
"motivacao";9,149;-6,267;-0,797
"mensal";11,854;-1,219;-7,884
"liquidacao";20,935;-8,436;-5,092
"libra";4,789;-6,267;0,004
"investigativo";6,012;-6,516;-0,035
"ineficiencia";-13,444;46,569;-7,884
"evolucao";6,794;-2,467;-1,881
"endereco";21,613;-7,284;-6,511
"emissao";19,423;-4,497;-8,228
"duracao";-0,009;-4,497;5,233
"divergencia";0,098;-2,769;1,823
"distincao";0,005;-1,886;1,757
"disponibilidade";18,313;-6,267;-5,425
"desacreditacao";5,57;-2,769;-0,987
"delimitar";-0,009;3,954;-3,729
"decretacao";-0,838;-9,204;17,326
"debater";-8,776;-1,458;21,447
"cpf";12,506;-4,215;-3,768
"controlar";19,423;-9,204;-3,729
"consultoria";11,854;-4,15;-3,424
"conexao";-1,755;-4,497;13,643
"conducao";-0,256;-2,769;5,233
"cobrar";25,031;-8,436;-7,541
"cmn";19,423;-9,204;-3,729
"celeridade";-0,256;11,278;-8,228
"bienio";-7,255;-5,893;31,091
"atentar";5,57;-2,769;-0,987
"writ";-20,278;60,17;-7,884
"vulneravel";26,171;-8,82;-7,884
"votacao";0,901;-8,052;3,336
"viver";26,171;-8,82;-7,884
"venezuela";19,805;-8,052;-4,76
"variante";20,935;-8,436;-5,092
"urgente";6,794;-4,15;-0,797
"ulterior";-10,552;-0,029;15,172
"transferir";17,205;-3,805;-7,541
"suscetivel";-10,552;20,18;-0,797
"sul";18,676;-7,668;-4,43
"separacao_de_poderes";-1,34;1,507;0,004
"repetir";0,872;2,87;-7,884
"regulamentador";-1,99;14,223;-5,092
"refletir";6,794;-0,029;-7,884
"reclamar";0,009;-0,029;0,004
"realcar";6,794;-6,267;-0,171
"prosseguir";-0,103;-4,15;6,045
"passaporte";12,781;-5,52;-2,825
"orientar";0,872;-0,407;-0,171
"opiniao";17,205;-5,893;-5,092
"ocupacao";9,843;-8,052;-0,461
"nunes";3,41;-2,954;-0,122
"nitido";-3,975;0,087;3,92
"mao";26,171;-8,82;-7,884
"latino";4,789;0,087;-7,884
"isolamento";26,171;-8,82;-7,884
"internet";20,935;-8,436;-5,092
"interferir";6,794;-4,15;-0,797
"indefiro";-13,444;-2,467;33,759
"federalismo";15,295;-4,041;-5,825
"estimular";22,067;-6,267;-7,884
"especificacao";0,872;0,579;-3,424
"down";4,545;-1,532;-1,369
"demarcacao";12,781;-3,465;-4,76
"comportar";-0,546;-0,029;1,045
"centro";26,171;-8,82;-7,884
"arrastamento";-1,34;-6,267;15,172
"apreensao";18,197;-6,133;-5,482
"anualidade";-13,444;-6,267;45,803
"antonio";0,057;-1,257;0,77
"aliquota";22,753;-7,668;-6,855
"achar";-19,395;43,989;-3,122
"acervo";2,554;-0,922;-0,712
"xv";17,205;-5,893;-5,092
"velloso";-15,811;22,326;-0,089
"turno";1,398;-0,591;-0,319
"tortura";20,474;-6,9;-6,168
"terapia";23,892;-8,052;-7,198
"terapeutico";25,031;-8,436;-7,541
"seguida";5,942;-8,436;0,037
"revista";1,334;-0,271;-0,621
"reafirmar";0,09;-0,271;0,037
"prosperar";-1,99;-3,805;13,088
"pronunciar";-3,38;-8,436;25,871
"prevalecer";-2,811;-8,052;23,354
"pretexto";-0,016;-0,994;1,369
"pagar";22,753;-7,668;-6,855
"omnes";-15,811;0,188;16,87
"oliveira";-1,136;-1,563;6,27
"ocasionar";1,334;-2,172;0,037
"moeda";20,474;-6,9;-6,168
"modulacao";-3,38;-3,805;16,87
"metodologia";20,935;-8,436;-5,092
"internacao";23,892;-8,052;-7,198
"inspecao";15,001;-5,148;-4,43
"infectado";25,031;-8,436;-7,541
"inerente";0,09;3,475;-5,092
"incentivar";19,805;-8,052;-4,76
"hc";-12,335;23,569;-0,927
"funcionar";5,942;-2,172;-1,632
"feicao";-5,135;27,06;-7,541
"exmo";-2,274;-7,668;20,878
"excesso";-1,123;-0,072;2,217
"escassez";25,031;-8,436;-7,541
"erguer";-15,811;0,188;16,87
"equilibrado";10,842;-3,805;-3,122
"emergir";-9,742;32,248;-5,092
"desistencia";0,901;-1,886;0,105
"desconsiderar";13,841;-3,805;-5,092
"denotar";0,529;-2,172;0,463
"custodiar";0,529;-8,436;4,619
"contorno";-0,309;7,939;-5,092
"contestado";-9,742;14,223;-0,089
"conformacao";-1,99;5,48;-0,621
"concurso";0,901;-0,784;-0,032
"cogitar";-2,811;12,3;-2,825
"cliente";22,753;-7,668;-6,855
"chamamento";7,288;-8,052;-0,032
"barreira";5,516;-2,798;-0,944
"avanco";25,031;-8,436;-7,541
"assuncao";-6,513;-3,465;23,354
"aposentado";-0,027;-5,148;6,329
"amapa";-2,945;-2,598;13,1
"alimento";16,42;-6,9;-3,773
"aguardar";-0,967;-5,893;13,088
"absorver";-12,594;43,989;-7,541
"vontade";8,858;-1,61;-4,43
"tratativas";18,197;-6,133;-5,482
"superveniencia";-0,642;-5,52;11,086
"subsistencia";-8,938;-0,158;14,673
"subnacionais";15,001;-5,148;-4,43
"sistemico";-2,811;-0,158;5,417
"separacao";5,516;-2,798;-0,944
"representatividade";-0,642;-0,158;1,757
"reportar";3,329;-8,052;0,68
"renovacao";-11,746;-5,52;40,141
"proveniente";8,858;-5,148;-1,162
"proguaru";9,653;-6,9;-0,74
"progressista";-5,067;-6,133;26,208
"ponderacao";1,923;-5,52;0,68
"planejar";23,892;-8,052;-7,198
"percentual";23,892;-8,052;-7,198
"penitenciario";16,101;-5,52;-4,76
"panorama";-6,513;-8,052;34,043
"ocupado";-0,374;-3,129;6,329
"obra";-0,132;-1,886;3,336
"miocardite";22,753;-7,668;-6,855
"ministerial";0,901;-0,158;-0,461
"maria";9,578;-5,749;-1,17
"julgador";-4,47;-1,886;14,673
"intimem";-8,142;-7,668;37,325
"infringente";-14,937;-5,52;46,741
"inequivoco";-0,132;-1,886;3,336
"inaugurar";0,005;-3,465;3,336
"gustavo";0,791;-0,029;-0,712
"gasto";19,805;-8,052;-4,76
"francisco";-8,398;1,547;4,165
"figura";0,005;-0,784;0,68
"fernando";0;-5,749;6,124
"fazenda";-0,132;-3,465;5,417
"esteira";-1,535;0,335;0,68
"eleito";-6,513;-8,052;34,043
"dpu";9,653;-4,409;-1,964
"discurso";-2,274;-0,072;4,009
"desconstituir";-17,629;32,86;-1,162
"cunho";7,288;-1,886;-2,825
"convocar";18,676;-7,668;-4,43
"convir";-1,535;4,174;-0,461
"converter";-3,828;0,054;4,009
"contribuinte";16,101;-5,52;-4,76
"contaminacao";22,753;-7,668;-6,855
"comentar";1,923;-5,52;0,68
"combinar";-7,355;5,913;0,37
"carencia";-8,938;2,418;3,336
"assinatura";15,001;-7,668;-2,532
"anunciar";13,905;-4,778;-4,101
"albergar";-8,938;-3,465;28,448
"adicional";16,42;-6,9;-3,773
"aceitar";5,117;-0,158;-4,76
"vulnerar";18,676;-5,148;-6,855
"volta";6,012;-2,155;-1,69
"verba";4,324;-5,148;-0,003
"uti";22,753;-7,668;-6,855
"ultrapassar";8,858;-7,668;-0,319
"teste";13,05;-3,314;-5,139
"tela";0,539;-3,129;0,952
"surto";13,905;-7,284;-2,245
"substituicao";-0,027;-7,668;9,176
"subordinar";4,324;-0,072;-4,43
"submissao";-8,142;17,911;-1,162
"sintoma";19,336;-6,516;-5,825
"sindicato";2,16;-3,831;0,107
"similar";1,398;-0,591;-0,319
"silveira";-10,062;24,97;-2,245
"sexual";20,474;-6,9;-6,168
"sars";17,058;-5,749;-5,139
"regularidade";5,516;-4,778;-0,198
"raciocinio";-0,374;0,054;0,214
"propagacao";18,676;-5,148;-6,855
"procedimental";-7,355;-1,345;18,451
"prescrever";-3,828;1,517;0,952
"pilar";11,728;-1,61;-6,855
"petropolis";-5,163;-2,598;18,113
"perdurar";4,672;-6,9;0,049
"pandemico";13,905;-7,284;-2,245
"on";16,42;-4,409;-6,168
"movimento";5,516;-7,284;0,007
"milhar";10,685;-4,778;-2,245
"mascara";21,613;-7,284;-6,511
"licenciamento";6,939;-2,473;-1,964
"intinar";0,002;-7,284;7,373
"insuficiencia";-1,123;13,928;-6,855
"insistir";-0,374;-0,591;2,217
"inep";21,613;-7,284;-6,511
"incorporar";4,324;-3,129;-0,319
"incentivo";11,728;-7,668;-1,162
"implicito";-5,784;2,999;0,952
"hostilidade";0,258;0,797;-2,245
"gerador";18,676;-7,668;-4,43
"fornecimento";20,474;-6,9;-6,168
"favoravel";18,676;-7,668;-4,43
"especialista";22,753;-7,668;-6,855
"esclarecimento";11,728;-7,668;-1,162
"equivocar";2,66;-7,668;0,952
"energia";-10,586;34,918;-5,482
"embargante";-17,629;-3,129;43,862
"dr";-0,694;-5,365;11,098
"discricionariedade";11,728;-5,148;-2,532
"dinamica";5,11;-0,058;-5,482
"diferenciado";15,001;-3,129;-6,855
"desvirtuamento";-2,274;10,445;-2,532
"desigualdade";18,676;-7,668;-4,43
"deliberado";8,858;-5,148;-1,162
"defeito";-16,746;49,692;-6,511
"crer";18,676;-5,148;-6,855
"corrigir";6,39;-7,668;-0,003
"consonancia";-1,123;-3,129;9,176
"conitec";18,676;-5,148;-6,855
"compreensivo";4,324;0,054;-6,855
"complexidade";22,753;-7,668;-6,855
"chapa";-16,746;-7,284;55,587
"certidao";0,002;-4,778;4,79
"celular";13,05;-3,314;-5,139
