"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";0;0;0;0;0;0;0;0;0
"2";0;0;0;0;0;0;0;0;0
"3";0;0;0;0;0;0;0;0;1
"4";0;0;0;0;0;0;0;0;1
"5";0;0;0;0;0;0;3;3;3
"6";0;0;0;0;0;0;2;2;2
"7";0;0;0;0;0;0;0;0;1
"8";0;0;0;0;0;0;2;2;2
"9";0;0;0;0;0;0;0;0;1
"10";0;0;0;0;0;0;3;3;3
"11";0;0;0;0;0;0;2;2;2
"12";0;0;0;0;0;0;2;2;2
"13";0;0;0;0;0;0;3;3;3
"14";0;0;0;0;0;0;3;3;3
"15";0;0;0;0;0;0;3;3;3
"16";0;0;0;0;0;0;3;3;3
"17";0;0;0;0;0;0;3;3;3
"18";0;0;0;0;0;0;3;3;3
"19";0;0;0;0;0;0;0;0;0
"20";0;0;0;0;0;0;3;3;3
"21";0;0;0;0;0;0;3;3;3
"22";0;0;0;0;0;0;0;0;1
"23";0;0;0;0;0;0;3;3;3
"24";0;0;0;0;0;0;3;3;3
"25";0;0;0;0;0;0;0;0;1
"26";0;0;0;0;0;0;3;3;3
"27";0;0;0;0;0;0;0;0;1
"28";0;0;0;0;0;0;3;3;3
"29";0;0;0;0;0;0;3;3;3
"30";0;0;0;0;0;0;3;3;3
"31";0;0;0;0;0;0;3;3;3
"32";0;0;0;0;0;0;0;0;1
"33";0;0;0;0;0;0;0;0;1
"34";0;0;0;0;0;0;2;2;2
"35";0;0;0;0;0;0;3;3;3
"36";0;0;0;0;0;0;3;3;3
"37";0;0;0;0;0;0;0;0;1
"38";0;0;0;0;0;0;0;0;1
"39";0;0;0;0;0;0;0;0;1
"40";0;0;0;0;0;0;0;0;1
"41";0;0;0;0;0;0;0;0;1
"42";0;0;0;0;0;0;0;0;1
"43";0;0;0;0;0;0;0;0;1
"44";0;0;0;0;0;0;0;0;1
"45";0;0;0;0;0;0;3;3;3
"46";0;0;0;0;0;0;3;3;3
"47";0;0;0;0;0;0;2;2;2
"48";0;0;0;0;0;0;2;2;2
"49";0;0;0;0;0;0;2;2;2
"50";0;0;0;0;0;0;0;0;1
"51";0;0;0;0;0;0;0;0;1
"52";0;0;0;0;0;0;0;0;1
"53";0;0;0;0;0;0;0;0;1
"54";0;0;0;0;0;0;0;0;1
"55";0;0;0;0;0;0;0;0;1
