"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"2";"***";"";""
"**";"classe";"1";"**";"";""
"  11";"  332";" 3.31";"  -72.194";"evento";" 1.950462e-17"
"  88";"  833";"10.56";"  -72.002";"ordenamento";" 2.150195e-17"
"   9";"  315";" 2.86";"  -71.720";"mão";" 2.480214e-17"
"   4";"  275";" 1.45";"  -71.673";"aumentar";" 2.540025e-17"
"   7";"  299";" 2.34";"  -71.623";"incentivo";" 2.604512e-17"
"  50";"  597";" 8.38";"  -71.464";"principal";" 2.823598e-17"
"   4";"  274";" 1.46";"  -71.376";"centro";" 2.951868e-17"
"   8";"  306";" 2.61";"  -71.366";"previamente";" 2.967207e-17"
"  30";"  465";" 6.45";"  -71.343";"cnj";" 3.002127e-17"
"  15";"  359";" 4.18";"  -71.328";"emergência";" 3.024812e-17"
"  13";"  344";" 3.78";"  -71.290";"coletividade";" 3.084182e-17"
"   2";"  257";" 0.78";"  -71.269";"renda";" 3.117583e-17"
"   2";"  257";" 0.78";"  -71.269";"quantidade";" 3.117583e-17"
"   2";"  257";" 0.78";"  -71.269";"estratégia";" 3.117583e-17"
"  26";"  437";" 5.95";"  -71.194";"previdência";" 3.238338e-17"
"   8";"  305";" 2.62";"  -71.072";"ocupar";" 3.443751e-17"
"   5";"  281";" 1.78";"  -71.036";"arrecadação";" 3.508191e-17"
"  19";"  387";" 4.91";"  -71.009";"condenar";" 3.556308e-17"
"   8";"  304";" 2.63";"  -70.778";"tradicional";" 3.996802e-17"
"   5";"  280";" 1.79";"  -70.740";"vedado";" 4.075865e-17"
"   0";"  238";" 0.00";"  -70.720";"preconceito";" 4.116175e-17"
"  12";"  334";" 3.59";"  -70.569";"imprescindível";" 4.443898e-17"
"   7";"  294";" 2.38";"  -70.151";"supressão";" 5.494728e-17"
"   8";"  301";" 2.66";"  -69.897";"ocupação";" 6.247947e-17"
" 154";" 1203";"12.80";"  -69.810";"trabalhador";" 6.528490e-17"
"   3";"  260";" 1.15";"  -69.672";"preço";" 7.003710e-17"
"  33";"  479";" 6.89";"  -69.633";"composição";" 7.142359e-17"
"  15";"  353";" 4.25";"  -69.602";"soberania";" 7.257791e-17"
"  26";"  431";" 6.03";"  -69.528";"preocupação";" 7.533854e-17"
"   2";"  251";" 0.80";"  -69.485";"localizar";" 7.700493e-17"
"  44";"  550";" 8.00";"  -69.266";"perspectiva";" 8.602431e-17"
"  83";"  790";"10.51";"  -68.908";"voltar";" 1.031416e-16"
"  81";"  778";"10.41";"  -68.902";"relacionado";" 1.034559e-16"
"  11";"  320";" 3.44";"  -68.698";"investigar";" 1.147497e-16"
"  17";"  364";" 4.67";"  -68.568";"vantagem";" 1.225641e-16"
"  13";"  334";" 3.89";"  -68.395";"deliberativo";" 1.337992e-16"
"   8";"  295";" 2.71";"  -68.135";"história";" 1.526518e-16"
" 172";" 1294";"13.29";"  -67.997";"referir";" 1.637065e-16"
" 130";" 1059";"12.28";"  -67.965";"envolver";" 1.664105e-16"
"  32";"  466";" 6.87";"  -67.927";"multa";" 1.696287e-16"
"  15";"  347";" 4.32";"  -67.877";"territorial";" 1.739986e-16"
"  16";"  354";" 4.52";"  -67.787";"acompanhamento";" 1.821290e-16"
"  16";"  354";" 4.52";"  -67.787";"entrar";" 1.821290e-16"
"  29";"  445";" 6.52";"  -67.724";"inerente";" 1.880390e-16"
"  37";"  498";" 7.43";"  -67.594";"permanecer";" 2.009218e-16"
"  38";"  504";" 7.54";"  -67.440";"atenção";" 2.171594e-16"
"  86";"  801";"10.74";"  -67.297";"lugar";" 2.335621e-16"
" 162";" 1235";"13.12";"  -67.257";"especialmente";" 2.383140e-16"
"  12";"  322";" 3.73";"  -67.087";"construir";" 2.597754e-16"
"   7";"  283";" 2.47";"  -66.913";"custódia";" 2.838209e-16"
"  12";"  321";" 3.74";"  -66.797";"compensação";" 3.009205e-16"
"   9";"  298";" 3.02";"  -66.742";"fé";" 3.095482e-16"
"  21";"  386";" 5.44";"  -66.702";"viola";" 3.157908e-16"
" 206";" 1473";"13.99";"  -66.700";"encontrar";" 3.162085e-16"
"  23";"  400";" 5.75";"  -66.695";"estudante";" 3.168898e-16"
"  11";"  313";" 3.51";"  -66.662";"consolidação";" 3.223097e-16"
"  16";"  350";" 4.57";"  -66.643";"esforço";" 3.254350e-16"
"  12";"  320";" 3.75";"  -66.507";"graça";" 3.485760e-16"
"   3";"  249";" 1.20";"  -66.407";"usuário";" 3.668718e-16"
"  11";"  312";" 3.53";"  -66.371";"secreto";" 3.735262e-16"
"   1";"  232";" 0.43";"  -66.362";"cometer";" 3.752996e-16"
"  10";"  304";" 3.29";"  -66.254";"inscrição";" 3.964652e-16"
"  26";"  419";" 6.21";"  -66.208";"moral";" 4.058465e-16"
